Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2003-05-20,354.976
2003-05-21,355.451
2003-05-22,358.085
2003-05-23,361.296
2003-05-26,362.073
2003-05-27,364.757
2003-05-28,365.499
2003-05-29,366.22
2003-05-30,370.403
2003-06-02,373.612
2003-06-03,372.808
2003-06-04,376.908
2003-06-05,380.84
2003-06-06,381.349
2003-06-09,377.873
2003-06-10,379.161
2003-06-11,383.848
2003-06-12,384.959
2003-06-13,382.492
2003-06-16,387.51
2003-06-17,388.382
2003-06-18,386.606
2003-06-19,383.145
2003-06-20,383.104
2003-06-23,378.589
2003-06-24,377.221
2003-06-25,378.691
2003-06-26,378.798
2003-06-27,378.841
2003-06-30,378.435
2003-07-01,380.29
2003-07-02,385.185
2003-07-03,385.213
2003-07-04,385.067
2003-07-07,389.565
2003-07-08,390.48
2003-07-09,390.337
2003-07-10,386.976
2003-07-11,388.327
2003-07-14,391.769
2003-07-15,389.549
2003-07-16,387.4
2003-07-17,382.832
2003-07-18,385.469
2003-07-21,383.751
2003-07-22,385.626
2003-07-23,387.153
2003-07-24,388.816
2003-07-25,391.671
2003-07-28,392.972
2003-07-29,392.264
2003-07-30,391.236
2003-07-31,391.47
2003-08-01,390.029
2003-08-04,389.186
2003-08-05,386.29
2003-08-06,385.074
2003-08-07,386.841
2003-08-08,387.628
2003-08-11,389.147
2003-08-12,392.038
2003-08-13,393.076
2003-08-14,395.765
2003-08-15,396.198
2003-08-18,399.101
2003-08-19,401.104
2003-08-20,403.173
2003-08-21,405.354
2003-08-22,402.05
2003-08-25,401.482
2003-08-26,400.99
2003-08-27,401.949
2003-08-28,403.829
2003-08-29,406.793
2003-09-01,408.962
2003-09-02,411.773
2003-09-03,414.358
2003-09-04,414.286
2003-09-05,413.71
2003-09-08,416.857
2003-09-09,415.665
2003-09-10,410.812
2003-09-11,411.789
2003-09-12,414.105
2003-09-15,413.994
2003-09-16,417.327
2003-09-17,417.766
2003-09-18,421.631
2003-09-19,423.327
2003-09-22,420.705
2003-09-23,422.317
2003-09-24,419.212
2003-09-25,415.233
2003-09-26,412.077
2003-09-29,414.685
2003-09-30,413.232
2003-10-01,420.384
2003-10-02,423.708
2003-10-03,428.266
2003-10-06,430.487
2003-10-07,432.241
2003-10-08,431.832
2003-10-09,434.31
2003-10-10,435.774
2003-10-13,438.491
2003-10-14,439.897
2003-10-15,439.649
2003-10-16,441.548
2003-10-17,438.283
2003-10-20,438.996
2003-10-21,439.521
2003-10-22,435.378
2003-10-23,431.658
2003-10-24,431.675
2003-10-27,435.308
2003-10-28,438.638
2003-10-29,441.525
2003-10-30,443.199
2003-10-31,442.208
2003-11-03,444.498
2003-11-04,446.189
2003-11-05,445.945
2003-11-06,445.932
2003-11-07,447.868
2003-11-10,445.742
2003-11-11,442.508
2003-11-12,446.818
2003-11-13,449.257
2003-11-14,447.942
2003-11-17,441.555
2003-11-18,440.713
2003-11-19,440.495
2003-11-20,439.12
2003-11-21,440.623
2003-11-24,444.159
2003-11-25,447.617
2003-11-26,451.32
2003-11-27,451.554
2003-11-28,452.066
2003-12-01,457.838
2003-12-02,459.209
2003-12-03,459.215
2003-12-04,459.324
2003-12-05,458.424
2003-12-08,460.608
2003-12-09,459.433
2003-12-10,456.436
2003-12-11,459.288
2003-12-12,462.505
2003-12-15,461.286
2003-12-16,461.556
2003-12-17,461.872
2003-12-18,465.531
2003-12-19,465.858
2003-12-22,468.082
2003-12-23,469.936
2003-12-24,470.527
2003-12-25,470.532
2003-12-26,471.585
2003-12-29,475.861
2003-12-30,478.514
2003-12-31,478.293
2004-01-01,478.314
2004-01-02,479.596
2004-01-05,485.211
2004-01-06,485.993
2004-01-07,486.029
2004-01-08,488.681
2004-01-09,489.468
2004-01-12,490.423
2004-01-13,490.229
2004-01-14,492.497
2004-01-15,491.065
2004-01-16,491.686
2004-01-19,492.032
2004-01-20,495.816
2004-01-21,498.545
2004-01-22,499.04
2004-01-23,499.373
2004-01-26,499.564
2004-01-27,499.034
2004-01-28,494.905
2004-01-29,490.1
2004-01-30,491.592
2004-02-02,493.069
2004-02-03,493.845
