Date,FRANCE GROWTH Standard (Large+Mid Cap)
2003-05-21,1381.342
2003-05-22,1387.863
2003-05-23,1391.199
2003-05-26,1396.32
2003-05-27,1401.119
2003-05-28,1407.35
2003-05-29,1419.728
2003-05-30,1414.886
2003-06-02,1439.397
2003-06-03,1434.868
2003-06-04,1443.17
2003-06-05,1446.854
2003-06-06,1455.906
2003-06-09,1445.622
2003-06-10,1447.053
2003-06-11,1474.568
2003-06-12,1487.187
2003-06-13,1482.295
2003-06-16,1516.645
2003-06-17,1526.032
2003-06-18,1524.267
2003-06-19,1506.897
2003-06-20,1511.013
2003-06-23,1463.517
2003-06-24,1452.982
2003-06-25,1457.497
2003-06-26,1429.383
2003-06-27,1424.117
2003-06-30,1423.412
2003-07-01,1405.952
2003-07-02,1422.172
2003-07-03,1422.313
2003-07-04,1408.481
2003-07-07,1435.117
2003-07-08,1424.063
2003-07-09,1415.089
2003-07-10,1402.921
2003-07-11,1413.17
2003-07-14,1427.064
2003-07-15,1409.934
2003-07-16,1392.405
2003-07-17,1386.066
2003-07-18,1389.981
2003-07-21,1386.779
2003-07-22,1397.781
2003-07-23,1410.807
2003-07-24,1440.802
2003-07-25,1419.608
2003-07-28,1433.396
2003-07-29,1419.54
2003-07-30,1404.769
2003-07-31,1396.459
2003-08-01,1374.988
2003-08-04,1373.091
2003-08-05,1393.219
2003-08-06,1369.187
2003-08-07,1378.919
2003-08-08,1391.576
2003-08-11,1402.376
2003-08-12,1402.664
2003-08-13,1403.704
2003-08-14,1418.021
2003-08-15,1418.932
2003-08-18,1416.016
2003-08-19,1407.496
2003-08-20,1401.543
2003-08-21,1399.569
2003-08-22,1404.126
2003-08-25,1396.473
2003-08-26,1380.406
2003-08-27,1391.632
2003-08-28,1417.257
2003-08-29,1425.79
2003-09-01,1447.808
2003-09-02,1437.34
2003-09-03,1448.618
2003-09-04,1456.331
2003-09-05,1468.946
2003-09-08,1485.16
2003-09-09,1489.216
2003-09-10,1478.492
2003-09-11,1481.27
2003-09-12,1490.104
2003-09-15,1492.323
2003-09-16,1497.383
2003-09-17,1508.62
2003-09-18,1517.235
2003-09-19,1513.902
2003-09-22,1493.896
2003-09-23,1487.968
2003-09-24,1488.869
2003-09-25,1487.001
2003-09-26,1470.859
2003-09-29,1470.935
2003-09-30,1460.666
2003-10-01,1488.848
2003-10-02,1488.028
2003-10-03,1525.084
2003-10-06,1518.866
2003-10-07,1518.671
2003-10-08,1518.084
2003-10-09,1540.217
2003-10-10,1540.741
2003-10-13,1550.55
2003-10-14,1544.774
2003-10-15,1551.239
2003-10-16,1547.78
2003-10-17,1542.657
2003-10-20,1543.55
2003-10-21,1550.035
2003-10-22,1539.882
2003-10-23,1519.602
2003-10-24,1528.967
2003-10-27,1535.65
2003-10-28,1544.335
2003-10-29,1550.453
2003-10-30,1553.469
2003-10-31,1537.016
2003-11-03,1546.872
2003-11-04,1551.664
2003-11-05,1536.762
2003-11-06,1535.925
2003-11-07,1558.507
2003-11-10,1547.767
2003-11-11,1542.948
2003-11-12,1557.185
2003-11-13,1568.354
2003-11-14,1601.333
2003-11-17,1570.665
2003-11-18,1587.016
2003-11-19,1578.917
2003-11-20,1568.844
2003-11-21,1583.884
2003-11-24,1588.603
2003-11-25,1591.964
2003-11-26,1603.683
2003-11-27,1608.102
2003-11-28,1614.494
2003-12-01,1641.095
2003-12-02,1645.384
2003-12-03,1656.801
2003-12-04,1645.918
2003-12-05,1635.012
2003-12-08,1634.888
2003-12-09,1644.429
2003-12-10,1640.52
2003-12-11,1641.128
2003-12-12,1654.982
2003-12-15,1671.38
2003-12-16,1673.66
2003-12-17,1681.894
2003-12-18,1693.11
2003-12-19,1684.835
2003-12-22,1690.109
2003-12-23,1692.571
2003-12-24,1702.703
2003-12-25,1702.703
2003-12-26,1702.02
2003-12-29,1710.75
2003-12-30,1722.193
2003-12-31,1749.404
2004-01-01,1749.404
2004-01-02,1765.718
2004-01-05,1783.674
2004-01-06,1788.761
2004-01-07,1764.295
2004-01-08,1784.524
2004-01-09,1785.788
2004-01-12,1772.778
2004-01-13,1777.933
2004-01-14,1785.118
2004-01-15,1778.089
2004-01-16,1772.367
2004-01-19,1780.974
2004-01-20,1795.307
2004-01-21,1812.542
2004-01-22,1840.247
2004-01-23,1831.883
2004-01-26,1807.134
2004-01-27,1821.267
2004-01-28,1823.615
2004-01-29,1775.169
2004-01-30,1776.897
2004-02-02,1785.988
2004-02-03,1791.865
2004-02-04,1768.35
2004-02-05,1784.879
2004-02-06,1805.388
2004-02-09,1820.278
2004-02-10,1823.839
2004-02-11,1820.224
2004-02-12,1844.166
2004-02-13,1818.482
2004-02-16,1828.258
2004-02-17,1849.712
2004-02-18,1858.125
2004-02-19,1862.859
2004-02-20,1832.784
2004-02-23,1823.97
2004-02-24,1818.634
2004-02-25,1814.809
2004-02-26,1806.603
2004-02-27,1808.634
2004-03-01,1827.72
2004-03-02,1820.993
2004-03-03,1782.208
2004-03-04,1795.445
2004-03-05,1823.391
2004-03-08,1824.012
2004-03-09,1818.142
2004-03-10,1794.187
2004-03-11,1746.68
2004-03-12,1754.536
2004-03-15,1714.672
2004-03-16,1733.158
2004-03-17,1740.063
2004-03-18,1736.301
2004-03-19,1746.135
2004-03-22,1718.579
2004-03-23,1707.353
2004-03-24,1683.984
2004-03-25,1700.801
2004-03-26,1693.948
2004-03-29,1719.094
2004-03-30,1715.163
2004-03-31,1736.908
2004-04-01,1766.12
2004-04-02,1765.375
2004-04-05,1760.006
2004-04-06,1741.366
2004-04-07,1754.299
2004-04-08,1742.149
2004-04-09,1742.149
2004-04-12,1737.256
2004-04-13,1729.82
2004-04-14,1714.227
2004-04-15,1713.848
2004-04-16,1737.381
2004-04-19,1734.808
2004-04-20,1722.762
2004-04-21,1703.451
2004-04-22,1727.263
2004-04-23,1735.433
2004-04-26,1718.53
2004-04-27,1718.65
2004-04-28,1684.659
2004-04-29,1694.05
2004-04-30,1695.826
2004-05-03,1701.873
2004-05-04,1718.634
2004-05-05,1737.315
2004-05-06,1705.707
2004-05-07,1688.33
2004-05-10,1638.954
2004-05-11,1655.444
2004-05-12,1648.884
2004-05-13,1659.379
2004-05-14,1657.06
2004-05-17,1656.929
2004-05-18,1661.052
2004-05-19,1703.633
2004-05-20,1672.565
2004-05-21,1681.244
2004-05-24,1690.266
2004-05-25,1702.421
2004-05-26,1722.143
2004-05-27,1761.867
2004-05-28,1746.533
2004-05-31,1754.98
2004-06-01,1733.765
2004-06-02,1754.72
2004-06-03,1749.514
2004-06-04,1767.301
2004-06-07,1788.344
2004-06-08,1780.312
2004-06-09,1744.78
2004-06-10,1748.997
2004-06-11,1734.879
2004-06-14,1722.398
2004-06-15,1738.036
2004-06-16,1742.067
2004-06-17,1742.842
2004-06-18,1763.0
2004-06-21,1762.394
2004-06-22,1749.334
2004-06-23,1753.218
2004-06-24,1785.387
2004-06-25,1775.935
2004-06-28,1796.109
