Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2003-03-11,250.936
2003-03-12,251.515
2003-03-13,253.733
2003-03-14,256.942
2003-03-17,252.251
2003-03-18,259.152
2003-03-19,259.276
2003-03-20,263.229
2003-03-21,264.253
2003-03-24,261.462
2003-03-25,259.627
2003-03-26,260.437
2003-03-27,258.759
2003-03-28,258.477
2003-03-31,253.504
2003-04-01,254.872
2003-04-02,256.755
2003-04-03,258.156
2003-04-04,261.102
2003-04-07,267.237
2003-04-08,265.985
2003-04-09,263.651
2003-04-10,263.232
2003-04-11,263.658
2003-04-14,264.657
2003-04-15,268.887
2003-04-16,272.478
2003-04-17,272.658
2003-04-18,275.899
2003-04-21,275.862
2003-04-22,272.928
2003-04-23,273.928
2003-04-24,270.09
2003-04-25,265.303
2003-04-28,266.136
2003-04-29,272.221
2003-04-30,273.744
2003-05-01,273.883
2003-05-02,276.087
2003-05-05,278.815
2003-05-06,278.815
2003-05-07,281.5
2003-05-08,279.481
2003-05-09,281.851
2003-05-12,285.038
2003-05-13,285.297
2003-05-14,284.35
2003-05-15,285.071
2003-05-16,283.253
2003-05-19,280.527
2003-05-20,279.81
2003-05-21,280.081
2003-05-22,281.296
2003-05-23,286.407
2003-05-26,289.878
2003-05-27,288.126
2003-05-28,290.825
2003-05-29,292.605
2003-05-30,293.925
2003-06-02,298.05
2003-06-03,296.569
2003-06-04,297.991
2003-06-05,300.441
2003-06-06,301.504
2003-06-09,303.21
2003-06-10,302.772
2003-06-11,302.782
2003-06-12,306.64
2003-06-13,308.02
2003-06-16,309.287
2003-06-17,314.66
2003-06-18,312.884
2003-06-19,315.35
2003-06-20,314.153
2003-06-23,309.776
2003-06-24,308.503
2003-06-25,311.235
2003-06-26,311.54
2003-06-27,312.47
2003-06-30,311.75
2003-07-01,316.433
2003-07-02,320.854
2003-07-03,322.697
2003-07-04,324.704
2003-07-07,329.404
2003-07-08,331.581
2003-07-09,329.575
2003-07-10,326.673
2003-07-11,326.228
2003-07-14,333.271
2003-07-15,331.845
2003-07-16,330.569
2003-07-17,326.589
2003-07-18,324.624
2003-07-21,323.806
2003-07-22,325.079
2003-07-23,324.578
2003-07-24,327.335
2003-07-25,329.315
2003-07-28,333.739
2003-07-29,332.493
2003-07-30,331.169
2003-07-31,331.707
2003-08-01,332.526
2003-08-04,331.167
2003-08-05,329.382
2003-08-06,326.863
2003-08-07,329.369
2003-08-08,328.343
2003-08-11,330.501
2003-08-12,330.396
2003-08-13,335.058
2003-08-14,338.352
2003-08-15,339.657
2003-08-18,341.625
2003-08-19,343.11
2003-08-20,344.089
2003-08-21,348.479
2003-08-22,349.37
2003-08-25,348.107
2003-08-26,347.093
2003-08-27,348.855
2003-08-28,349.582
2003-08-29,353.433
2003-09-01,356.094
2003-09-02,355.994
2003-09-03,357.849
2003-09-04,359.013
2003-09-05,361.576
2003-09-08,363.024
2003-09-09,363.053
2003-09-10,362.037
2003-09-11,362.766
2003-09-12,362.148
2003-09-15,358.271
2003-09-16,361.623
2003-09-17,364.117
2003-09-18,363.951
2003-09-19,362.379
2003-09-22,357.337
2003-09-23,358.387
2003-09-24,360.58
2003-09-25,357.243
2003-09-26,354.57
2003-09-29,354.837
2003-09-30,356.095
2003-10-01,359.34
2003-10-02,364.662
2003-10-03,367.097
2003-10-06,369.815
2003-10-07,372.003
2003-10-08,373.311
2003-10-09,377.486
2003-10-10,382.041
2003-10-13,383.398
2003-10-14,381.433
2003-10-15,380.561
2003-10-16,383.915
2003-10-17,381.076
2003-10-20,382.006
2003-10-21,382.011
2003-10-22,381.585
2003-10-23,373.645
2003-10-24,373.506
2003-10-27,373.928
2003-10-28,379.746
2003-10-29,381.633
2003-10-30,382.117
2003-10-31,380.903
2003-11-03,386.742
2003-11-04,388.142
2003-11-05,387.741
2003-11-06,384.02
2003-11-07,387.203
2003-11-10,385.272
2003-11-11,380.975
2003-11-12,383.973
2003-11-13,388.799
2003-11-14,388.347
2003-11-17,381.928
2003-11-18,382.854
2003-11-19,377.256
2003-11-20,374.595
2003-11-21,376.101
2003-11-24,372.845
2003-11-25,377.016
2003-11-26,380.658
2003-11-27,379.827
2003-11-28,385.029
2003-12-01,392.004
2003-12-02,393.585
2003-12-03,395.113
2003-12-04,393.255
2003-12-05,391.615
2003-12-08,389.898
