Date,SPAIN Standard (Large+Mid Cap)
2003-10-24,2059.563
2003-10-27,2078.415
2003-10-28,2083.831
2003-10-29,2080.388
2003-10-30,2107.819
2003-10-31,2098.865
2003-11-03,2100.699
2003-11-04,2099.289
2003-11-05,2094.799
2003-11-06,2095.755
2003-11-07,2114.173
2003-11-10,2107.233
2003-11-11,2100.248
2003-11-12,2138.116
2003-11-13,2154.37
2003-11-14,2175.185
2003-11-17,2129.985
2003-11-18,2146.267
2003-11-19,2152.257
2003-11-20,2144.45
2003-11-21,2157.359
2003-11-24,2160.98
2003-11-25,2166.242
2003-11-26,2182.451
2003-11-27,2185.706
2003-11-28,2204.353
2003-12-01,2238.972
2003-12-02,2253.992
2003-12-03,2269.111
2003-12-04,2255.586
2003-12-05,2264.783
2003-12-08,2279.053
2003-12-09,2289.645
2003-12-10,2286.76
2003-12-11,2292.573
2003-12-12,2316.62
2003-12-15,2335.411
2003-12-16,2348.546
2003-12-17,2363.399
2003-12-18,2387.762
2003-12-19,2392.309
2003-12-22,2406.03
2003-12-23,2431.994
2003-12-24,2438.848
2003-12-25,2438.848
2003-12-26,2437.869
2003-12-29,2466.56
2003-12-30,2468.535
2003-12-31,2484.887
2004-01-01,2484.887
2004-01-02,2531.652
2004-01-05,2562.923
2004-01-06,2578.295
2004-01-07,2571.047
2004-01-08,2585.778
2004-01-09,2603.035
2004-01-12,2598.995
2004-01-13,2599.171
2004-01-14,2587.794
2004-01-15,2565.56
2004-01-16,2527.694
2004-01-19,2534.179
2004-01-20,2563.544
2004-01-21,2597.364
2004-01-22,2633.681
2004-01-23,2633.387
2004-01-26,2578.734
2004-01-27,2596.54
2004-01-28,2610.77
2004-01-29,2530.678
2004-01-30,2512.615
2004-02-02,2528.351
2004-02-03,2551.88
2004-02-04,2517.791
2004-02-05,2554.229
2004-02-06,2604.989
2004-02-09,2636.397
2004-02-10,2652.569
2004-02-11,2657.963
2004-02-12,2701.554
2004-02-13,2677.257
2004-02-16,2684.806
2004-02-17,2703.016
2004-02-18,2709.731
2004-02-19,2701.267
2004-02-20,2643.819
2004-02-23,2639.885
2004-02-24,2636.244
2004-02-25,2614.179
2004-02-26,2582.272
2004-02-27,2612.578
2004-03-01,2632.23
2004-03-02,2618.577
2004-03-03,2558.802
2004-03-04,2589.784
2004-03-05,2642.139
2004-03-08,2635.006
2004-03-09,2619.339
2004-03-10,2582.587
2004-03-11,2531.558
2004-03-12,2491.908
2004-03-15,2390.784
2004-03-16,2451.203
2004-03-17,2468.004
2004-03-18,2463.066
2004-03-19,2474.7
2004-03-22,2432.938
2004-03-23,2432.484
2004-03-24,2411.454
2004-03-25,2452.362
2004-03-26,2449.063
2004-03-29,2479.339
