Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
2003-12-08,405.047
2003-12-09,403.239
2003-12-10,403.869
2003-12-11,398.725
2003-12-12,405.118
2003-12-15,409.725
2003-12-16,406.588
2003-12-17,406.974
2003-12-18,403.235
2003-12-19,403.911
2003-12-22,405.798
2003-12-23,407.771
2003-12-24,412.909
2003-12-25,412.909
2003-12-26,412.076
2003-12-29,414.554
2003-12-30,419.727
2003-12-31,422.976
2004-01-01,422.976
2004-01-02,425.297
2004-01-05,429.055
2004-01-06,434.698
2004-01-07,432.149
2004-01-08,433.927
2004-01-09,436.392
2004-01-12,436.099
2004-01-13,436.217
2004-01-14,437.354
2004-01-15,432.563
2004-01-16,428.045
2004-01-19,422.851
2004-01-20,431.144
2004-01-21,434.668
2004-01-22,439.905
2004-01-23,440.183
2004-01-26,438.823
2004-01-27,437.658
2004-01-28,432.778
2004-01-29,421.74
2004-01-30,423.028
2004-02-02,421.719
2004-02-03,424.764
2004-02-04,421.643
2004-02-05,423.966
2004-02-06,427.201
2004-02-09,433.222
2004-02-10,434.986
2004-02-11,437.261
2004-02-12,446.582
2004-02-13,448.551
2004-02-16,448.959
2004-02-17,453.014
2004-02-18,453.983
2004-02-19,451.075
2004-02-20,443.228
2004-02-23,440.383
2004-02-24,442.171
2004-02-25,440.854
2004-02-26,439.038
2004-02-27,442.449
2004-03-01,446.135
2004-03-02,444.742
2004-03-03,432.293
2004-03-04,435.088
2004-03-05,444.164
2004-03-08,442.764
2004-03-09,446.565
2004-03-10,436.104
2004-03-11,428.267
2004-03-12,424.59
2004-03-15,427.051
2004-03-16,434.426
2004-03-17,433.97
2004-03-18,440.409
2004-03-19,440.955
2004-03-22,439.466
2004-03-23,437.688
2004-03-24,434.501
2004-03-25,432.25
2004-03-26,437.848
2004-03-29,437.992
2004-03-30,443.521
2004-03-31,448.012
2004-04-01,454.297
2004-04-02,449.265
2004-04-05,447.212
2004-04-06,451.943
2004-04-07,455.216
2004-04-08,452.507
2004-04-09,452.507
2004-04-12,454.822
2004-04-13,446.074
2004-04-14,432.434
2004-04-15,434.31
2004-04-16,436.993
2004-04-19,440.211
2004-04-20,437.362
2004-04-21,432.935
2004-04-22,429.881
2004-04-23,433.655
2004-04-26,433.888
2004-04-27,433.09
2004-04-28,427.901
2004-04-29,419.98
2004-04-30,421.312
2004-05-03,417.473
2004-05-04,424.502
2004-05-05,427.618
2004-05-06,424.163
2004-05-07,410.881
2004-05-10,398.673
2004-05-11,399.601
2004-05-12,404.38
2004-05-13,399.363
2004-05-14,397.9
2004-05-17,396.336
2004-05-18,397.446
2004-05-19,407.649
2004-05-20,402.425
2004-05-21,409.738
2004-05-24,408.629
2004-05-25,411.827
2004-05-26,415.857
2004-05-27,425.507
2004-05-28,423.284
2004-05-31,424.604
2004-06-01,422.048
2004-06-02,417.983
2004-06-03,411.568
2004-06-04,413.655
2004-06-07,422.75
2004-06-08,420.784
2004-06-09,413.287
2004-06-10,417.106
2004-06-11,415.528
2004-06-14,415.318
2004-06-15,412.11
2004-06-16,413.455
2004-06-17,413.267
2004-06-18,419.091
2004-06-21,422.39
2004-06-22,418.732
2004-06-23,420.376
2004-06-24,425.79
2004-06-25,424.292
2004-06-28,424.912
2004-06-29,419.021
2004-06-30,423.754
2004-07-01,428.525
2004-07-02,434.023
2004-07-05,434.574
2004-07-06,438.37
2004-07-07,444.324
2004-07-08,444.502
2004-07-09,443.529
2004-07-12,447.01
2004-07-13,445.341
2004-07-14,440.453
2004-07-15,439.844
2004-07-16,445.522
2004-07-19,446.53
2004-07-20,440.683
2004-07-21,433.51
2004-07-22,432.064
2004-07-23,425.997
2004-07-26,426.146
2004-07-27,422.89
2004-07-28,421.4
2004-07-29,421.217
2004-07-30,427.236
2004-08-02,430.67
2004-08-03,432.449
2004-08-04,431.016
2004-08-05,428.848
2004-08-06,435.11
2004-08-09,433.875
2004-08-10,432.61
2004-08-11,431.516
2004-08-12,429.34
2004-08-13,430.218
2004-08-16,430.746
2004-08-17,429.523
2004-08-18,429.171
2004-08-19,436.881
2004-08-20,438.56
2004-08-23,438.762
2004-08-24,431.699
2004-08-25,430.716
2004-08-26,429.436
2004-08-27,434.058
2004-08-30,430.969
2004-08-31,435.597
2004-09-01,437.365
2004-09-02,433.237
2004-09-03,429.166
2004-09-06,430.242
2004-09-07,432.524
2004-09-08,432.946
2004-09-09,428.698
2004-09-10,437.054
2004-09-13,436.755
2004-09-14,443.805
2004-09-15,438.382
2004-09-16,440.845
2004-09-17,439.99
2004-09-20,442.46
2004-09-21,443.296
2004-09-22,448.159
2004-09-23,453.309
2004-09-24,450.244
2004-09-27,450.589
2004-09-28,454.113
2004-09-29,455.978
2004-09-30,463.162
2004-10-01,462.235
2004-10-04,463.435
2004-10-05,467.012
2004-10-06,467.648
2004-10-07,469.414
2004-10-08,472.883
2004-10-11,474.36
2004-10-12,474.089
2004-10-13,470.277
2004-10-14,473.969
2004-10-15,475.319
2004-10-18,470.759
2004-10-19,472.884
2004-10-20,475.653
2004-10-21,477.465
2004-10-22,478.323
2004-10-25,479.565
2004-10-26,482.022
2004-10-27,488.766
2004-10-28,491.589
2004-10-29,492.996
2004-11-01,495.015
2004-11-02,494.589
2004-11-03,505.792
2004-11-04,507.472
2004-11-05,509.354
2004-11-08,506.107
2004-11-09,507.271
2004-11-10,509.347
2004-11-11,513.653
2004-11-12,517.656
2004-11-15,522.491
2004-11-16,522.77
2004-11-17,528.27
2004-11-18,526.318
2004-11-19,530.218
2004-11-22,525.896
2004-11-23,531.521
2004-11-24,536.227
2004-11-25,542.834
2004-11-26,540.94
2004-11-29,540.168
2004-11-30,534.092
2004-12-01,529.185
2004-12-02,534.924
2004-12-03,534.808
2004-12-06,536.452
2004-12-07,532.504
2004-12-08,513.398
2004-12-09,510.333
2004-12-10,510.736
2004-12-13,516.42
2004-12-14,519.612
2004-12-15,526.146
2004-12-16,524.209
2004-12-17,527.316
2004-12-20,533.202
2004-12-21,536.111
2004-12-22,538.865
2004-12-23,539.612
2004-12-24,545.79
2004-12-27,549.506
2004-12-28,549.79
2004-12-29,547.229
2004-12-30,551.472
2004-12-31,555.662
2005-01-03,550.665
2005-01-04,545.552
2005-01-05,541.548
2005-01-06,536.763
2005-01-07,539.229
2005-01-10,542.103
2005-01-11,545.222
2005-01-12,549.256
2005-01-13,547.067
2005-01-14,541.909
2005-01-17,543.292
2005-01-18,539.421
2005-01-19,541.552
2005-01-20,539.81
2005-01-21,544.881
2005-01-24,546.263
2005-01-25,545.046
2005-01-26,552.031
2005-01-27,559.961
2005-01-28,558.056
2005-01-31,560.368
2005-02-01,560.971
2005-02-02,565.191
2005-02-03,562.558
2005-02-04,565.855
2005-02-07,570.098
2005-02-08,562.553
2005-02-09,563.858
2005-02-10,575.599
2005-02-11,576.531
2005-02-14,577.147
2005-02-15,573.727
2005-02-16,572.528
2005-02-17,578.899
2005-02-18,578.659
2005-02-21,581.455
2005-02-22,582.662
2005-02-23,572.948
2005-02-24,569.353
2005-02-25,573.659
2005-02-28,587.333
2005-03-01,583.939
2005-03-02,581.588
2005-03-03,584.317
2005-03-04,592.397
2005-03-07,595.127
2005-03-08,600.962
2005-03-09,596.637
2005-03-10,591.879
2005-03-11,592.504
2005-03-14,592.208
2005-03-15,592.962
2005-03-16,599.053
2005-03-17,596.909
2005-03-18,597.777
2005-03-21,596.456
2005-03-22,594.119
2005-03-23,573.874
2005-03-24,567.401
2005-03-25,567.401
2005-03-28,565.38
2005-03-29,561.255
2005-03-30,562.536
2005-03-31,564.918
2005-04-01,568.711
2005-04-04,561.887
2005-04-05,563.74
2005-04-06,560.385
2005-04-07,564.627
2005-04-08,570.151
2005-04-11,569.533
2005-04-12,570.223
2005-04-13,572.414
2005-04-14,560.764
2005-04-15,550.375
2005-04-18,538.648
2005-04-19,549.512
2005-04-20,554.246
2005-04-21,554.807
2005-04-22,562.053
2005-04-25,559.144
2005-04-26,557.745
2005-04-27,556.093
2005-04-28,556.569
2005-04-29,554.453
2005-05-02,556.881
2005-05-03,549.68
2005-05-04,546.38
2005-05-05,550.042
2005-05-06,550.654
2005-05-09,549.421
2005-05-10,551.675
2005-05-11,553.256
2005-05-12,550.676
2005-05-13,544.248
2005-05-16,534.307
2005-05-17,532.588
2005-05-18,537.903
2005-05-19,544.938
2005-05-20,542.854
2005-05-23,551.463
2005-05-24,556.341
2005-05-25,554.909
2005-05-26,553.916
2005-05-27,557.392
2005-05-30,559.468
2005-05-31,552.98
2005-06-01,554.703
2005-06-02,562.842
2005-06-03,566.71
2005-06-06,573.734
2005-06-07,576.824
2005-06-08,579.458
2005-06-09,576.458
2005-06-10,574.214
2005-06-13,573.649
2005-06-14,577.413
2005-06-15,581.633
2005-06-16,587.582
2005-06-17,599.127
2005-06-20,597.183
2005-06-21,597.419
2005-06-22,595.714
2005-06-23,589.403
2005-06-24,583.168
2005-06-27,582.24
2005-06-28,585.828
2005-06-29,581.398
2005-06-30,583.894
2005-07-01,574.928
2005-07-04,575.896
2005-07-05,570.729
2005-07-06,568.653
2005-07-07,561.577
2005-07-08,562.469
2005-07-11,570.164
2005-07-12,577.26
2005-07-13,573.324
2005-07-14,579.321
2005-07-15,576.079
2005-07-18,579.361
2005-07-19,574.169
2005-07-20,580.516
2005-07-21,594.142
2005-07-22,601.181
2005-07-25,598.831
2005-07-26,595.166
2005-07-27,593.703
2005-07-28,592.198
2005-07-29,598.078
2005-08-01,597.776
2005-08-02,601.553
2005-08-03,604.76
2005-08-04,606.998
2005-08-05,603.358
2005-08-08,605.714
2005-08-09,603.1
2005-08-10,608.147
2005-08-11,620.596
2005-08-12,621.231
2005-08-15,617.043
2005-08-16,620.132
2005-08-17,614.457
2005-08-18,604.293
2005-08-19,603.308
2005-08-22,613.128
2005-08-23,610.488
2005-08-24,605.98
2005-08-25,605.887
2005-08-26,609.566
2005-08-29,597.773
2005-08-30,599.207
2005-08-31,603.579
2005-09-01,619.383
2005-09-02,618.276
2005-09-05,620.274
2005-09-06,620.826
2005-09-07,625.752
2005-09-08,626.328
2005-09-09,627.691
2005-09-12,626.511
2005-09-13,626.982
2005-09-14,633.185
2005-09-15,628.428
2005-09-16,633.769
2005-09-19,633.855
2005-09-20,640.502
2005-09-21,638.516
2005-09-22,633.389
2005-09-23,628.773
2005-09-26,636.427
2005-09-27,636.081
2005-09-28,637.78
2005-09-29,646.584
2005-09-30,646.272
2005-10-03,644.768
2005-10-04,645.849
2005-10-05,626.118
2005-10-06,613.701
2005-10-07,612.078
2005-10-10,617.018
2005-10-11,607.314
2005-10-12,614.218
2005-10-13,603.304
2005-10-14,604.35
2005-10-17,605.539
2005-10-18,606.35
2005-10-19,597.83
2005-10-20,601.487
2005-10-21,596.226
2005-10-24,594.913
2005-10-25,603.214
2005-10-26,610.283
2005-10-27,611.478
2005-10-28,599.236
2005-10-31,606.778
