Date,ACWI MID CAP Mid Cap
2003-06-12,414.122
2003-06-13,410.854
2003-06-16,417.072
2003-06-17,418.062
2003-06-18,415.932
2003-06-19,411.085
2003-06-20,411.333
2003-06-23,405.643
2003-06-24,403.602
2003-06-25,405.117
2003-06-26,405.712
2003-06-27,405.306
2003-06-30,404.306
2003-07-01,406.129
2003-07-02,411.492
2003-07-03,411.552
2003-07-04,411.013
2003-07-07,417.068
2003-07-08,418.821
2003-07-09,418.207
2003-07-10,413.741
2003-07-11,415.076
2003-07-14,418.99
2003-07-15,416.87
2003-07-16,413.786
2003-07-17,408.597
2003-07-18,411.482
2003-07-21,409.257
2003-07-22,411.711
2003-07-23,413.7
2003-07-24,415.046
2003-07-25,418.48
2003-07-28,419.808
2003-07-29,418.441
2003-07-30,415.967
2003-07-31,416.456
2003-08-01,415.057
2003-08-04,414.112
2003-08-05,410.237
2003-08-06,408.418
2003-08-07,410.379
2003-08-08,411.235
2003-08-11,413.468
2003-08-12,416.922
2003-08-13,418.006
2003-08-14,420.943
2003-08-15,421.102
2003-08-18,424.462
2003-08-19,426.397
2003-08-20,428.729
2003-08-21,431.597
2003-08-22,428.652
2003-08-25,427.713
2003-08-26,426.68
2003-08-27,427.951
2003-08-28,430.919
2003-08-29,434.183
2003-09-01,436.842
2003-09-02,439.454
2003-09-03,441.75
2003-09-04,442.017
2003-09-05,441.059
2003-09-08,444.852
2003-09-09,442.754
2003-09-10,436.707
2003-09-11,437.757
2003-09-12,440.079
2003-09-15,439.543
2003-09-16,444.001
2003-09-17,444.461
2003-09-18,449.511
2003-09-19,450.372
2003-09-22,446.21
2003-09-23,448.381
2003-09-24,444.506
2003-09-25,440.36
2003-09-26,436.656
2003-09-29,439.215
2003-09-30,436.993
2003-10-01,444.7
2003-10-02,448.413
2003-10-03,454.162
2003-10-06,456.096
2003-10-07,458.428
2003-10-08,457.618
2003-10-09,460.336
2003-10-10,462.634
2003-10-13,465.372
2003-10-14,466.809
2003-10-15,466.742
2003-10-16,469.211
2003-10-17,465.149
2003-10-20,466.609
2003-10-21,467.358
2003-10-22,462.947
2003-10-23,459.127
2003-10-24,459.299
2003-10-27,462.393
2003-10-28,467.384
2003-10-29,470.323
2003-10-30,471.81
2003-10-31,470.728
2003-11-03,472.975
2003-11-04,474.163
2003-11-05,473.848
2003-11-06,473.839
2003-11-07,475.518
2003-11-10,472.816
2003-11-11,469.589
2003-11-12,474.413
2003-11-13,477.137
2003-11-14,474.67
2003-11-17,467.467
2003-11-18,466.207
2003-11-19,465.512
2003-11-20,464.093
2003-11-21,465.729
2003-11-24,470.623
2003-11-25,473.648
2003-11-26,478.051
2003-11-27,478.325
2003-11-28,479.084
2003-12-01,485.433
2003-12-02,486.436
2003-12-03,485.827
2003-12-04,485.472
2003-12-05,483.46
2003-12-08,484.936
2003-12-09,482.485
2003-12-10,478.941
2003-12-11,482.528
2003-12-12,485.652
2003-12-15,484.568
2003-12-16,483.767
2003-12-17,484.277
2003-12-18,489.224
2003-12-19,488.933
2003-12-22,490.96
2003-12-23,493.043
2003-12-24,493.705
2003-12-25,493.693
2003-12-26,494.586
2003-12-29,499.183
2003-12-30,501.474
2003-12-31,502.439
2004-01-01,502.451
2004-01-02,502.977
2004-01-05,509.28
2004-01-06,510.559
2004-01-07,510.261
2004-01-08,513.313
2004-01-09,514.418
2004-01-12,515.23
2004-01-13,513.675
2004-01-14,516.339
2004-01-15,515.309
2004-01-16,517.508
2004-01-19,518.15
2004-01-20,521.592
2004-01-21,523.929
2004-01-22,523.574
2004-01-23,523.005
2004-01-26,523.422
2004-01-27,522.53
2004-01-28,518.61
2004-01-29,513.975
2004-01-30,515.114
2004-02-02,516.49
2004-02-03,517.384
2004-02-04,512.622
2004-02-05,514.332
2004-02-06,522.179
2004-02-09,523.968
2004-02-10,525.868
2004-02-11,529.522
2004-02-12,531.727
2004-02-13,529.977
2004-02-16,530.662
2004-02-17,535.846
2004-02-18,534.906
2004-02-19,531.996
2004-02-20,527.156
2004-02-23,525.678
2004-02-24,524.654
2004-02-25,525.719
2004-02-26,526.267
2004-02-27,529.053
2004-03-01,536.656
2004-03-02,534.247
2004-03-03,531.743
2004-03-04,534.159
2004-03-05,538.934
2004-03-08,535.316
2004-03-09,532.084
2004-03-10,523.338
2004-03-11,515.368
2004-03-12,519.114
2004-03-15,513.283
2004-03-16,517.549
2004-03-17,523.832
2004-03-18,525.439
2004-03-19,522.746
2004-03-22,515.598
2004-03-23,515.156
2004-03-24,514.01
2004-03-25,520.997
2004-03-26,521.368
2004-03-29,528.003
2004-03-30,529.895
2004-03-31,533.597
2004-04-01,538.305
2004-04-02,540.713
2004-04-05,541.763
2004-04-06,540.608
2004-04-07,540.971
2004-04-08,540.384
2004-04-09,539.632
2004-04-12,541.082
2004-04-13,534.715
2004-04-14,529.774
2004-04-15,527.951
2004-04-16,532.062
2004-04-19,532.267
2004-04-20,528.522
2004-04-21,527.542
2004-04-22,533.55
2004-04-23,533.817
2004-04-26,533.453
2004-04-27,533.505
2004-04-28,526.083
2004-04-29,520.712
2004-04-30,516.538
2004-05-03,519.488
2004-05-04,523.101
2004-05-05,525.769
2004-05-06,518.588
2004-05-07,508.876
2004-05-10,494.622
2004-05-11,499.503
2004-05-12,501.182
2004-05-13,500.211
2004-05-14,498.707
2004-05-17,492.539
2004-05-18,497.35
2004-05-19,503.531
2004-05-20,500.823
2004-05-21,505.984
2004-05-24,508.643
2004-05-25,514.256
2004-05-26,517.665
2004-05-27,523.033
2004-05-28,525.261
2004-05-31,525.261
2004-06-01,524.604
2004-06-02,525.847
2004-06-03,520.736
2004-06-04,524.214
2004-06-07,533.892
2004-06-08,533.867
2004-06-09,528.237
2004-06-10,529.87
2004-06-11,527.752
2004-06-14,522.094
2004-06-15,525.89
2004-06-16,527.875
2004-06-17,528.492
2004-06-18,529.843
2004-06-21,530.094
2004-06-22,530.921
2004-06-23,534.856
2004-06-24,537.754
2004-06-25,538.545
2004-06-28,539.583
2004-06-29,538.713
2004-06-30,541.514
2004-07-01,538.517
2004-07-02,537.323
2004-07-05,535.388
2004-07-06,531.111
2004-07-07,533.046
2004-07-08,529.313
2004-07-09,531.595
2004-07-12,531.792
2004-07-13,530.684
2004-07-14,529.518
2004-07-15,528.241
2004-07-16,529.332
2004-07-19,529.145
2004-07-20,530.169
2004-07-21,524.541
2004-07-22,522.259
2004-07-23,517.068
2004-07-26,513.316
2004-07-27,514.999
2004-07-28,515.275
2004-07-29,518.275
2004-07-30,520.256
2004-08-02,520.747
2004-08-03,518.696
2004-08-04,515.574
2004-08-05,511.832
2004-08-06,507.048
2004-08-09,505.701
2004-08-10,511.17
2004-08-11,507.78
2004-08-12,504.205
2004-08-13,504.511
2004-08-16,509.474
2004-08-17,511.084
2004-08-18,515.189
2004-08-19,516.62
2004-08-20,518.534
2004-08-23,517.991
2004-08-24,516.977
2004-08-25,520.122
2004-08-26,522.095
2004-08-27,523.498
2004-08-30,520.654
2004-08-31,522.72
2004-09-01,525.986
2004-09-02,529.641
2004-09-03,526.952
2004-09-06,529.183
2004-09-07,532.343
2004-09-08,531.133
2004-09-09,530.953
2004-09-10,534.858
2004-09-13,537.583
2004-09-14,538.754
2004-09-15,533.183
2004-09-16,536.228
2004-09-17,537.881
2004-09-20,536.649
2004-09-21,541.109
2004-09-22,536.52
2004-09-23,535.8
2004-09-24,536.22
2004-09-27,532.912
2004-09-28,535.144
2004-09-29,537.692
2004-09-30,541.811
2004-10-01,549.295
2004-10-04,551.892
2004-10-05,551.934
2004-10-06,553.981
2004-10-07,550.715
2004-10-08,550.754
2004-10-11,550.848
2004-10-12,546.499
2004-10-13,543.586
2004-10-14,541.657
2004-10-15,543.93
2004-10-18,544.892
2004-10-19,545.056
2004-10-20,545.313
2004-10-21,549.348
2004-10-22,547.94
2004-10-25,547.375
2004-10-26,551.355
2004-10-27,557.03
2004-10-28,558.373
2004-10-29,559.58
2004-11-01,560.922
2004-11-02,562.942
2004-11-03,568.488
2004-11-04,574.292
2004-11-05,577.621
2004-11-08,576.751
2004-11-09,576.789
2004-11-10,578.158
2004-11-11,581.763
2004-11-12,588.006
2004-11-15,589.206
2004-11-16,587.198
2004-11-17,592.054
2004-11-18,591.899
2004-11-19,590.145
2004-11-22,590.804
2004-11-23,592.694
2004-11-24,597.647
2004-11-25,600.709
2004-11-26,601.233
2004-11-29,601.441
2004-11-30,599.465
2004-12-01,604.263
2004-12-02,604.153
2004-12-03,606.754
2004-12-06,606.408
2004-12-07,601.512
2004-12-08,597.884
2004-12-09,597.537
2004-12-10,597.206
2004-12-13,603.013
2004-12-14,605.726
2004-12-15,610.953
2004-12-16,608.083
2004-12-17,607.978
2004-12-20,610.905
2004-12-21,613.583
2004-12-22,615.329
2004-12-23,617.138
2004-12-24,619.019
2004-12-27,618.757
2004-12-28,622.095
2004-12-29,622.245
2004-12-30,625.135
2004-12-31,625.64
2005-01-03,619.538
2005-01-04,611.531
2005-01-05,605.983
2005-01-06,605.764
2005-01-07,604.654
2005-01-10,606.742
2005-01-11,605.906
2005-01-12,609.366
2005-01-13,607.95
2005-01-14,610.188
2005-01-17,611.798
2005-01-18,613.627
2005-01-19,611.781
2005-01-20,606.556
2005-01-21,605.343
2005-01-24,604.09
2005-01-25,603.54
2005-01-26,609.294
2005-01-27,609.963
2005-01-28,607.711
2005-01-31,614.088
2005-02-01,616.341
2005-02-02,620.194
2005-02-03,618.715
2005-02-04,625.272
2005-02-07,623.851
2005-02-08,622.581
2005-02-09,618.91
2005-02-10,621.917
2005-02-11,626.818
2005-02-14,630.052
2005-02-15,632.308
2005-02-16,631.379
2005-02-17,630.853
2005-02-18,631.755
2005-02-21,631.121
2005-02-22,627.164
2005-02-23,626.658
2005-02-24,631.191
2005-02-25,638.005
2005-02-28,638.186
2005-03-01,640.317
2005-03-02,638.529
2005-03-03,639.374
2005-03-04,646.899
2005-03-07,648.059
2005-03-08,647.681
2005-03-09,643.383
2005-03-10,641.538
2005-03-11,642.181
2005-03-14,642.232
2005-03-15,640.019
2005-03-16,636.911
2005-03-17,636.504
2005-03-18,635.079
2005-03-21,632.427
2005-03-22,630.36
2005-03-23,623.6
2005-03-24,624.302
2005-03-25,624.586
2005-03-28,622.974
2005-03-29,617.545
2005-03-30,622.441
2005-03-31,627.117
2005-04-01,627.597
2005-04-04,623.664
2005-04-05,626.665
2005-04-06,628.83
2005-04-07,631.886
2005-04-08,628.672
2005-04-11,630.101
2005-04-12,629.731
2005-04-13,626.078
2005-04-14,616.963
2005-04-15,607.21
2005-04-18,604.368
2005-04-19,611.838
2005-04-20,607.548
2005-04-21,613.27
2005-04-22,614.048
2005-04-25,617.052
2005-04-26,611.926
2005-04-27,608.473
2005-04-28,602.264
2005-04-29,606.354
2005-05-02,608.399
2005-05-03,608.571
2005-05-04,615.788
2005-05-05,616.589
2005-05-06,617.399
2005-05-09,618.99
2005-05-10,615.108
2005-05-11,614.913
2005-05-12,608.65
2005-05-13,605.06
2005-05-16,606.387
2005-05-17,608.55
2005-05-18,614.909
2005-05-19,618.451
2005-05-20,617.347
2005-05-23,621.073
2005-05-24,621.271
2005-05-25,618.676
2005-05-26,621.507
2005-05-27,623.656
2005-05-30,624.464
2005-05-31,622.721
2005-06-01,626.268
2005-06-02,628.103
2005-06-03,627.689
2005-06-06,628.534
2005-06-07,629.652
2005-06-08,630.233
2005-06-09,629.468
2005-06-10,629.563
2005-06-13,629.882
2005-06-14,632.2
2005-06-15,634.604
2005-06-16,638.472
2005-06-17,643.695
2005-06-20,641.311
2005-06-21,640.918
2005-06-22,642.036
2005-06-23,638.888
2005-06-24,634.653
2005-06-27,633.351
2005-06-28,637.954
2005-06-29,638.555
2005-06-30,637.041
2005-07-01,637.396
2005-07-04,636.699
2005-07-05,639.42
2005-07-06,639.218
2005-07-07,637.407
2005-07-08,642.939
2005-07-11,650.008
2005-07-12,653.553
2005-07-13,651.739
2005-07-14,652.076
2005-07-15,651.528
2005-07-18,651.842
2005-07-19,654.788
2005-07-20,657.715
2005-07-21,658.812
2005-07-22,661.99
2005-07-25,659.617
2005-07-26,659.286
2005-07-27,661.713
2005-07-28,666.917
2005-07-29,666.301
2005-08-01,669.222
2005-08-02,673.902
2005-08-03,675.991
2005-08-04,672.642
2005-08-05,665.428
2005-08-08,665.446
2005-08-09,667.77
2005-08-10,673.085
2005-08-11,677.546
2005-08-12,676.067
2005-08-15,675.844
2005-08-16,670.804
2005-08-17,669.543
2005-08-18,665.235
2005-08-19,666.249
2005-08-22,671.127
2005-08-23,669.081
2005-08-24,667.396
2005-08-25,667.985
2005-08-26,666.003
2005-08-29,665.523
2005-08-30,663.709
2005-08-31,672.44
2005-09-01,679.745
2005-09-02,680.377
2005-09-05,681.558
2005-09-06,685.367
2005-09-07,687.309
2005-09-08,684.933
2005-09-09,691.47
2005-09-12,690.897
2005-09-13,686.56
2005-09-14,687.377
2005-09-15,686.461
2005-09-16,688.512
2005-09-19,686.074
2005-09-20,685.01
2005-09-21,681.05
2005-09-22,678.86
2005-09-23,678.847
2005-09-26,682.988
2005-09-27,681.301
2005-09-28,684.668
2005-09-29,690.277
2005-09-30,693.784
2005-10-03,693.087
2005-10-04,690.268
2005-10-05,679.653
2005-10-06,672.932
2005-10-07,674.399
2005-10-10,670.654
2005-10-11,670.685
2005-10-12,665.003
2005-10-13,658.034
2005-10-14,663.74
2005-10-17,664.955
2005-10-18,656.456
2005-10-19,656.704
2005-10-20,653.343
2005-10-21,655.778
2005-10-24,664.238
2005-10-25,666.367
2005-10-26,664.712
2005-10-27,658.412
2005-10-28,662.907
2005-10-31,671.859
2005-11-01,673.942
2005-11-02,681.766
2005-11-03,685.162
2005-11-04,681.8
