Date,USA LARGE VALUE Large Cap
2003-11-24,597.726
2003-11-25,600.826
2003-11-26,603.546
2003-11-27,603.546
2003-11-28,602.913
2003-12-01,609.492
2003-12-02,610.202
2003-12-03,610.412
2003-12-04,612.935
2003-12-05,609.466
2003-12-08,614.861
2003-12-09,612.138
2003-12-10,612.093
2003-12-11,618.695
2003-12-12,620.744
2003-12-15,619.057
2003-12-16,624.411
2003-12-17,625.619
2003-12-18,632.105
2003-12-19,633.598
2003-12-22,636.669
2003-12-23,638.354
2003-12-24,636.972
2003-12-25,636.972
2003-12-26,637.714
2003-12-29,645.516
2003-12-30,646.023
2003-12-31,648.237
2004-01-01,648.237
2004-01-02,647.685
2004-01-05,655.289
2004-01-06,654.543
2004-01-07,654.794
2004-01-08,658.592
2004-01-09,651.268
2004-01-12,653.755
2004-01-13,650.365
2004-01-14,656.319
2004-01-15,657.354
2004-01-16,661.222
2004-01-19,661.222
2004-01-20,661.303
2004-01-21,668.873
2004-01-22,666.502
2004-01-23,663.06
2004-01-26,671.391
2004-01-27,666.327
2004-01-28,658.085
2004-01-29,660.947
2004-01-30,658.272
2004-02-02,660.456
2004-02-03,658.438
2004-02-04,654.212
2004-02-05,656.189
2004-02-06,661.879
2004-02-09,660.328
2004-02-10,663.467
2004-02-11,672.655
2004-02-12,669.672
2004-02-13,667.036
2004-02-16,667.036
2004-02-17,673.351
2004-02-18,669.959
2004-02-19,668.831
2004-02-20,666.253
2004-02-23,667.741
2004-02-24,665.2
2004-02-25,667.494
2004-02-26,667.945
2004-02-27,668.24
2004-03-01,674.167
2004-03-02,671.469
2004-03-03,673.098
2004-03-04,674.148
2004-03-05,677.098
2004-03-08,672.857
2004-03-09,668.87
2004-03-10,658.338
2004-03-11,647.372
2004-03-12,654.511
2004-03-15,645.793
2004-03-16,649.777
2004-03-17,657.262
2004-03-18,657.396
2004-03-19,650.054
2004-03-22,640.417
2004-03-23,639.557
2004-03-24,635.845
2004-03-25,643.968
2004-03-26,644.301
2004-03-29,652.184
2004-03-30,655.31
2004-03-31,655.06
2004-04-01,658.74
2004-04-02,660.881
2004-04-05,666.016
2004-04-06,666.576
2004-04-07,662.202
2004-04-08,661.827
2004-04-09,661.827
2004-04-12,665.449
2004-04-13,654.961
2004-04-14,652.622
2004-04-15,652.968
2004-04-16,658.072
2004-04-19,657.221
2004-04-20,648.132
2004-04-21,650.849
2004-04-22,659.669
2004-04-23,657.503
2004-04-26,656.397
2004-04-27,658.02
2004-04-28,649.642
2004-04-29,645.999
2004-04-30,643.888
2004-05-03,650.524
2004-05-04,652.489
2004-05-05,653.073
2004-05-06,648.713
2004-05-07,637.167
2004-05-10,628.226
2004-05-11,632.105
2004-05-12,635.374
2004-05-13,634.567
2004-05-14,636.034
2004-05-17,629.281
2004-05-18,633.218
2004-05-19,631.978
2004-05-20,632.49
2004-05-21,635.265
2004-05-24,635.838
2004-05-25,644.672
2004-05-26,645.424
2004-05-27,647.896
2004-05-28,646.809
2004-05-31,646.809
2004-06-01,647.389
2004-06-02,650.103
2004-06-03,645.752
2004-06-04,648.777
2004-06-07,658.565
2004-06-08,658.394
2004-06-09,653.365
2004-06-10,657.433
2004-06-11,657.002
2004-06-14,650.578
2004-06-15,654.281
2004-06-16,656.608
2004-06-17,657.338
2004-06-18,660.165
2004-06-21,657.599
2004-06-22,659.132
2004-06-23,664.712
2004-06-24,663.477
2004-06-25,657.682
2004-06-28,658.337
2004-06-29,659.596
2004-06-30,661.772
2004-07-01,656.323
2004-07-02,655.321
2004-07-05,655.321
2004-07-06,652.827
2004-07-07,653.963
2004-07-08,649.787
2004-07-09,652.21
2004-07-12,654.531
2004-07-13,654.787
2004-07-14,654.113
2004-07-15,650.605
2004-07-16,649.938
2004-07-19,650.908
2004-07-20,652.962
2004-07-21,645.837
2004-07-22,647.09
2004-07-23,643.842
2004-07-26,643.57
2004-07-27,649.461
2004-07-28,651.819
2004-07-29,654.396
2004-07-30,654.543
2004-08-02,657.315
2004-08-03,655.571
2004-08-04,654.671
2004-08-05,645.069
2004-08-06,636.6
2004-08-09,638.103
2004-08-10,645.021
2004-08-11,645.955
2004-08-12,638.265
2004-08-13,639.077
2004-08-16,648.064
2004-08-17,648.005
2004-08-18,655.204
2004-08-19,653.672
2004-08-20,658.732
2004-08-23,656.018
2004-08-24,656.877
2004-08-25,661.41
2004-08-26,662.068
2004-08-27,663.656
2004-08-30,659.832
2004-08-31,664.208
2004-09-01,664.418
2004-09-02,671.308
2004-09-03,670.544
2004-09-06,670.544
2004-09-07,676.119
2004-09-08,673.177
2004-09-09,674.222
2004-09-10,675.856
2004-09-13,675.714
2004-09-14,677.005
2004-09-15,672.868
2004-09-16,676.223
2004-09-17,679.848
2004-09-20,675.314
2004-09-21,680.6
2004-09-22,671.394
2004-09-23,665.806
2004-09-24,667.931
2004-09-27,664.58
2004-09-28,669.4
2004-09-29,670.438
2004-09-30,667.512
2004-10-01,677.058
2004-10-04,679.45
2004-10-05,678.801
2004-10-06,684.007
2004-10-07,678.894
2004-10-08,676.082
2004-10-11,677.092
2004-10-12,676.381
2004-10-13,669.913
2004-10-14,663.283
2004-10-15,666.73
2004-10-18,667.845
2004-10-19,660.043
2004-10-20,658.532
2004-10-21,658.902
2004-10-22,654.797
2004-10-25,654.441
2004-10-26,664.921
2004-10-27,670.767
2004-10-28,672.1
2004-10-29,674.315
