Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
2004-03-01,3860.137
2004-03-02,3841.422
2004-03-03,3799.41
2004-03-04,3874.447
2004-03-05,3926.767
2004-03-08,3884.656
2004-03-09,3882.726
2004-03-10,3836.615
2004-03-11,3749.903
2004-03-12,3737.451
2004-03-15,3694.968
2004-03-16,3749.654
2004-03-17,3746.644
2004-03-18,3762.172
2004-03-19,3753.505
2004-03-22,3671.913
2004-03-23,3692.026
2004-03-24,3643.938
2004-03-25,3700.995
2004-03-26,3668.668
2004-03-29,3710.738
2004-03-30,3716.988
2004-03-31,3754.147
2004-04-01,3836.103
2004-04-02,3802.054
2004-04-05,3771.189
2004-04-06,3765.35
2004-04-07,3831.122
2004-04-08,3818.92
2004-04-09,3818.92
2004-04-12,3813.715
2004-04-13,3771.997
2004-04-14,3746.675
2004-04-15,3735.764
2004-04-16,3766.667
2004-04-19,3772.171
2004-04-20,3759.385
2004-04-21,3719.663
2004-04-22,3715.8
2004-04-23,3718.034
2004-04-26,3738.399
2004-04-27,3787.975
2004-04-28,3730.974
2004-04-29,3759.51
2004-04-30,3756.784
2004-05-03,3783.272
2004-05-04,3835.874
2004-05-05,3891.199
2004-05-06,3825.212
2004-05-07,3767.521
2004-05-10,3642.758
2004-05-11,3688.831
2004-05-12,3672.229
2004-05-13,3691.773
2004-05-14,3668.032
2004-05-17,3656.809
2004-05-18,3670.774
2004-05-19,3748.026
2004-05-20,3711.664
2004-05-21,3702.506
2004-05-24,3706.576
2004-05-25,3731.684
2004-05-26,3737.295
2004-05-27,3834.281
2004-05-28,3765.309
2004-05-31,3765.309
2004-06-01,3749.836
2004-06-02,3803.929
2004-06-03,3819.547
2004-06-04,3840.045
2004-06-07,3911.912
2004-06-08,3905.252
2004-06-09,3852.155
2004-06-10,3857.58
2004-06-11,3821.392
2004-06-14,3803.844
2004-06-15,3818.753
2004-06-16,3807.627
2004-06-17,3847.003
2004-06-18,3871.622
2004-06-21,3869.238
2004-06-22,3817.72
2004-06-23,3806.18
2004-06-24,3866.657
2004-06-25,3852.606
2004-06-28,3898.304
2004-06-29,3839.432
2004-06-30,3828.628
2004-07-01,3826.683
2004-07-02,3864.602
2004-07-05,3839.599
2004-07-06,3810.56
2004-07-07,3831.615
2004-07-08,3857.424
2004-07-09,3838.207
2004-07-12,3839.089
2004-07-13,3799.672
2004-07-14,3828.096
2004-07-15,3753.812
2004-07-16,3778.165
2004-07-19,3748.65
2004-07-20,3739.118
2004-07-21,3721.926
2004-07-22,3686.996
2004-07-23,3636.737
2004-07-26,3623.673
2004-07-27,3634.631
2004-07-28,3641.52
2004-07-29,3677.299
2004-07-30,3647.249
2004-08-02,3647.331
2004-08-03,3689.909
2004-08-04,3625.528
2004-08-05,3623.685
2004-08-06,3619.962
2004-08-09,3581.93
2004-08-10,3614.735
2004-08-11,3563.013
2004-08-12,3553.932
2004-08-13,3579.707
2004-08-16,3613.546
2004-08-17,3624.759
2004-08-18,3571.521
2004-08-19,3612.852
2004-08-20,3596.141
