Date,SWITZERLAND LARGE GROWTH Large Cap
2003-12-29,558.353
2003-12-30,564.284
2003-12-31,567.956
2004-01-01,567.956
2004-01-02,566.765
2004-01-05,579.336
2004-01-06,584.09
2004-01-07,580.776
2004-01-08,582.674
2004-01-09,585.501
2004-01-12,575.983
2004-01-13,580.059
2004-01-14,581.11
2004-01-15,574.993
2004-01-16,570.267
2004-01-19,569.241
2004-01-20,576.371
2004-01-21,582.744
2004-01-22,590.499
2004-01-23,593.104
2004-01-26,587.199
2004-01-27,591.32
2004-01-28,591.199
2004-01-29,582.463
2004-01-30,578.735
2004-02-02,585.18
2004-02-03,585.863
2004-02-04,589.562
2004-02-05,592.31
2004-02-06,602.274
2004-02-09,605.179
2004-02-10,607.501
2004-02-11,604.519
2004-02-12,608.996
2004-02-13,608.812
2004-02-16,608.64
2004-02-17,611.251
2004-02-18,606.76
2004-02-19,599.742
2004-02-20,592.873
2004-02-23,595.164
2004-02-24,595.774
2004-02-25,591.071
2004-02-26,582.785
2004-02-27,583.602
2004-03-01,587.858
2004-03-02,584.43
2004-03-03,576.68
2004-03-04,583.222
2004-03-05,589.299
2004-03-08,585.114
2004-03-09,588.117
2004-03-10,584.992
2004-03-11,572.494
2004-03-12,568.8
2004-03-15,565.651
2004-03-16,570.508
2004-03-17,567.458
2004-03-18,571.442
2004-03-19,572.605
2004-03-22,560.077
2004-03-23,561.634
2004-03-24,558.241
2004-03-25,562.84
2004-03-26,558.504
2004-03-29,563.084
2004-03-30,565.09
2004-03-31,569.477
2004-04-01,581.113
2004-04-02,573.502
2004-04-05,570.273
2004-04-06,569.042
2004-04-07,578.501
2004-04-08,581.403
2004-04-09,581.403
2004-04-12,580.611
2004-04-13,571.99
2004-04-14,571.787
2004-04-15,575.452
2004-04-16,580.326
2004-04-19,584.49
2004-04-20,578.535
2004-04-21,575.538
2004-04-22,572.876
2004-04-23,574.068
2004-04-26,584.637
2004-04-27,585.701
2004-04-28,576.611
2004-04-29,583.274
2004-04-30,580.63
2004-05-03,583.65
2004-05-04,592.916
2004-05-05,602.075
2004-05-06,594.29
2004-05-07,587.352
2004-05-10,567.9
2004-05-11,572.917
2004-05-12,571.868
2004-05-13,576.237
2004-05-14,574.877
2004-05-17,577.145
2004-05-18,578.714
2004-05-19,587.539
2004-05-20,581.839
2004-05-21,578.365
2004-05-24,578.402
2004-05-25,582.795
2004-05-26,584.282
2004-05-27,597.62
2004-05-28,587.215
2004-05-31,587.215
2004-06-01,584.627
2004-06-02,593.558
2004-06-03,595.165
2004-06-04,597.445
2004-06-07,604.998
2004-06-08,603.17
2004-06-09,595.687
2004-06-10,594.346
2004-06-11,589.633
2004-06-14,585.731
2004-06-15,588.646
2004-06-16,588.367
2004-06-17,593.089
2004-06-18,598.37
2004-06-21,598.171
2004-06-22,591.428
2004-06-23,590.193
2004-06-24,595.882
2004-06-25,591.005
2004-06-28,593.283
2004-06-29,584.311
2004-06-30,580.317
2004-07-01,582.067
2004-07-02,590.805
2004-07-05,586.008
2004-07-06,583.475
2004-07-07,586.644
2004-07-08,593.889
2004-07-09,588.297
2004-07-12,587.496
2004-07-13,581.512
2004-07-14,588.601
2004-07-15,579.601
2004-07-16,581.212
2004-07-19,576.061
2004-07-20,582.996
2004-07-21,582.054
2004-07-22,578.144
2004-07-23,571.845
2004-07-26,567.224
2004-07-27,566.768
2004-07-28,566.173
2004-07-29,569.902
2004-07-30,567.808
2004-08-02,567.92
2004-08-03,572.979
2004-08-04,569.07
2004-08-05,568.173
2004-08-06,566.707
2004-08-09,561.142
2004-08-10,565.594
2004-08-11,559.216
2004-08-12,562.34
2004-08-13,565.473
2004-08-16,568.459
2004-08-17,567.964
2004-08-18,558.924
2004-08-19,565.257
2004-08-20,560.924
2004-08-23,559.399
2004-08-24,554.044
2004-08-25,552.746
2004-08-26,558.124
2004-08-27,559.101
2004-08-30,558.435
2004-08-31,560.157
2004-09-01,569.082
2004-09-02,567.067
2004-09-03,567.037
2004-09-06,571.831
2004-09-07,573.033
2004-09-08,573.325
2004-09-09,571.224
2004-09-10,577.979
2004-09-13,578.861
2004-09-14,576.812
2004-09-15,569.468
2004-09-16,567.508
2004-09-17,570.273
2004-09-20,569.882
2004-09-21,582.081
2004-09-22,577.731
2004-09-23,573.954
2004-09-24,570.982
2004-09-27,568.525
2004-09-28,573.436
2004-09-29,576.295
2004-09-30,573.442
2004-10-01,579.102
2004-10-04,578.24
2004-10-05,578.395
2004-10-06,577.198
2004-10-07,568.095
2004-10-08,571.744
2004-10-11,568.268
2004-10-12,560.754
2004-10-13,563.082
2004-10-14,563.547
2004-10-15,566.918
2004-10-18,569.883
2004-10-19,576.971
2004-10-20,576.226
2004-10-21,579.416
2004-10-22,577.864
2004-10-25,576.931
2004-10-26,578.476
2004-10-27,582.545
2004-10-28,587.155
2004-10-29,580.366
2004-11-01,586.435
2004-11-02,591.654
2004-11-03,604.27
2004-11-04,609.634
2004-11-05,617.199
2004-11-08,617.105
2004-11-09,611.07
2004-11-10,617.296
2004-11-11,621.79
2004-11-12,626.34
2004-11-15,624.181
2004-11-16,624.108
2004-11-17,631.238
2004-11-18,628.842
2004-11-19,623.767
2004-11-22,617.557
2004-11-23,615.546
2004-11-24,615.981
2004-11-25,625.341
2004-11-26,625.141
2004-11-29,623.856
2004-11-30,615.699
2004-12-01,619.818
2004-12-02,622.135
2004-12-03,625.203
2004-12-06,622.524
2004-12-07,624.709
2004-12-08,615.096
2004-12-09,616.328
2004-12-10,616.262
2004-12-13,625.157
2004-12-14,626.859
2004-12-15,633.288
2004-12-16,625.168
2004-12-17,618.045
2004-12-20,631.813
2004-12-21,626.111
2004-12-22,631.198
2004-12-23,636.414
2004-12-24,637.333
2004-12-27,640.961
2004-12-28,641.36
2004-12-29,642.124
2004-12-30,643.716
2004-12-31,641.593
2005-01-03,643.097
2005-01-04,632.482
2005-01-05,625.736
2005-01-06,622.928
2005-01-07,616.121
2005-01-10,619.112
2005-01-11,619.245
2005-01-12,623.483
2005-01-13,621.04
2005-01-14,620.104
2005-01-17,623.485
2005-01-18,618.581
2005-01-19,621.541
2005-01-20,613.758
2005-01-21,615.478
2005-01-24,621.017
2005-01-25,617.047
2005-01-26,623.202
2005-01-27,622.214
2005-01-28,617.197
2005-01-31,619.615
2005-02-01,619.477
2005-02-02,619.134
2005-02-03,616.032
2005-02-04,617.265
2005-02-07,613.586
2005-02-08,612.429
2005-02-09,613.267
2005-02-10,619.522
2005-02-11,623.948
2005-02-14,627.426
2005-02-15,628.65
2005-02-16,626.411
2005-02-17,628.296
2005-02-18,631.614
2005-02-21,638.157
2005-02-22,646.989
2005-02-23,639.052
2005-02-24,640.831
2005-02-25,644.781
2005-02-28,648.791
2005-03-01,649.015
2005-03-02,648.552
2005-03-03,645.82
2005-03-04,653.324
2005-03-07,648.345
2005-03-08,654.252
2005-03-09,650.997
2005-03-10,652.965
2005-03-11,657.922
2005-03-14,651.221
2005-03-15,654.935
2005-03-16,656.162
2005-03-17,652.762
2005-03-18,642.674
2005-03-21,639.568
2005-03-22,640.202
2005-03-23,632.259
2005-03-24,630.881
2005-03-25,630.881
2005-03-28,627.141
2005-03-29,631.276
2005-03-30,633.576
2005-03-31,634.085
2005-04-01,632.592
2005-04-04,620.727
2005-04-05,627.617
2005-04-06,634.172
2005-04-07,638.051
2005-04-08,635.724
2005-04-11,640.366
2005-04-12,633.701
2005-04-13,635.668
2005-04-14,632.533
2005-04-15,642.274
2005-04-18,639.343
2005-04-19,649.126
2005-04-20,646.738
2005-04-21,647.98
2005-04-22,649.016
2005-04-25,642.39
2005-04-26,644.437
2005-04-27,637.753
2005-04-28,637.705
2005-04-29,641.803
2005-05-02,641.958
2005-05-03,645.963
2005-05-04,657.175
2005-05-05,653.631
2005-05-06,653.19
2005-05-09,649.322
2005-05-10,644.679
2005-05-11,643.39
2005-05-12,641.575
2005-05-13,637.917
2005-05-16,636.77
2005-05-17,637.986
2005-05-18,642.727
2005-05-19,643.449
2005-05-20,638.199
2005-05-23,642.925
2005-05-24,649.535
2005-05-25,653.262
2005-05-26,653.46
2005-05-27,656.847
2005-05-30,653.464
2005-05-31,646.307
2005-06-01,652.885
2005-06-02,655.941
2005-06-03,654.188
2005-06-06,653.565
2005-06-07,658.333
2005-06-08,659.59
2005-06-09,654.068
2005-06-10,648.232
2005-06-13,646.23
2005-06-14,645.847
2005-06-15,646.937
2005-06-16,644.142
2005-06-17,650.816
2005-06-20,643.914
2005-06-21,651.408
2005-06-22,649.808
2005-06-23,644.579
2005-06-24,641.618
2005-06-27,641.575
2005-06-28,637.798
2005-06-29,642.262
2005-06-30,641.598
2005-07-01,636.976
2005-07-04,634.359
2005-07-05,634.301
2005-07-06,636.542
2005-07-07,634.456
2005-07-08,637.228
2005-07-11,647.675
2005-07-12,651.171
2005-07-13,650.533
2005-07-14,656.025
2005-07-15,653.908
2005-07-18,655.307
2005-07-19,650.776
2005-07-20,656.968
2005-07-21,660.948
2005-07-22,659.764
2005-07-25,658.908
2005-07-26,659.191
2005-07-27,663.257
2005-07-28,672.261
2005-07-29,675.099
2005-08-01,680.877
2005-08-02,688.55
2005-08-03,694.082
2005-08-04,692.719
2005-08-05,688.413
2005-08-08,694.367
2005-08-09,693.899
2005-08-10,699.637
2005-08-11,702.392
2005-08-12,699.559
2005-08-15,693.99
2005-08-16,691.8
2005-08-17,692.596
2005-08-18,681.98
2005-08-19,684.256
2005-08-22,686.34
2005-08-23,677.368
2005-08-24,677.837
2005-08-25,677.048
2005-08-26,674.511
2005-08-29,672.524
2005-08-30,667.508
2005-08-31,679.517
2005-09-01,694.806
2005-09-02,698.316
2005-09-05,696.729
2005-09-06,702.166
2005-09-07,707.11
2005-09-08,705.866
2005-09-09,709.281
2005-09-12,703.301
2005-09-13,698.08
2005-09-14,704.736
2005-09-15,700.121
2005-09-16,704.555
2005-09-19,699.884
2005-09-20,703.729
2005-09-21,700.864
2005-09-22,695.139
2005-09-23,694.037
2005-09-26,697.35
2005-09-27,694.961
2005-09-28,699.862
2005-09-29,695.765
2005-09-30,704.996
2005-10-03,709.162
2005-10-04,713.31
2005-10-05,714.106
2005-10-06,717.412
2005-10-07,717.066
2005-10-10,712.995
2005-10-11,714.075
2005-10-12,711.566
2005-10-13,698.955
2005-10-14,706.47
2005-10-17,704.4
2005-10-18,707.241
2005-10-19,699.337
2005-10-20,707.506
2005-10-21,706.716
2005-10-24,711.858
2005-10-25,721.444
2005-10-26,721.514
2005-10-27,720.011
2005-10-28,714.264
2005-10-31,723.666
2005-11-01,730.1
2005-11-02,738.079
