Date,FRANCE SMALL VALUE Small Cap
2003-05-23,280.468
2003-05-26,282.585
2003-05-27,282.208
2003-05-28,282.13
2003-05-29,287.391
2003-05-30,287.321
2003-06-02,290.316
2003-06-03,289.664
2003-06-04,292.016
2003-06-05,296.308
2003-06-06,297.424
2003-06-09,298.837
2003-06-10,297.599
2003-06-11,302.589
2003-06-12,302.753
2003-06-13,301.906
2003-06-16,303.538
2003-06-17,305.307
2003-06-18,300.229
2003-06-19,298.396
2003-06-20,295.765
2003-06-23,290.961
2003-06-24,289.116
2003-06-25,292.361
2003-06-26,288.989
2003-06-27,289.233
2003-06-30,290.262
2003-07-01,290.077
2003-07-02,291.065
2003-07-03,291.929
2003-07-04,292.02
2003-07-07,292.169
2003-07-08,292.5
2003-07-09,292.639
2003-07-10,292.209
2003-07-11,291.926
2003-07-14,295.18
2003-07-15,294.242
2003-07-16,293.438
2003-07-17,291.369
2003-07-18,292.848
2003-07-21,294.163
2003-07-22,294.902
2003-07-23,298.465
2003-07-24,300.238
2003-07-25,301.356
2003-07-28,302.079
2003-07-29,302.227
2003-07-30,299.815
2003-07-31,296.592
2003-08-01,296.665
2003-08-04,298.37
2003-08-05,300.745
2003-08-06,299.112
2003-08-07,299.756
2003-08-08,298.557
2003-08-11,299.163
2003-08-12,299.311
2003-08-13,300.432
2003-08-14,300.508
2003-08-15,301.68
2003-08-18,300.704
2003-08-19,299.63
2003-08-20,300.883
2003-08-21,298.648
2003-08-22,298.81
2003-08-25,297.401
2003-08-26,297.542
2003-08-27,298.156
2003-08-28,300.173
2003-08-29,303.461
2003-09-01,304.805
2003-09-02,301.931
2003-09-03,306.813
2003-09-04,309.558
2003-09-05,313.315
2003-09-08,316.838
2003-09-09,316.648
2003-09-10,315.825
2003-09-11,316.492
2003-09-12,321.048
2003-09-15,323.529
2003-09-16,322.635
2003-09-17,325.305
2003-09-18,324.719
2003-09-19,325.16
2003-09-22,324.844
2003-09-23,323.756
2003-09-24,322.89
2003-09-25,321.939
2003-09-26,318.949
2003-09-29,322.139
2003-09-30,323.984
2003-10-01,326.047
2003-10-02,327.251
2003-10-03,329.701
2003-10-06,332.674
2003-10-07,334.196
2003-10-08,336.513
2003-10-09,336.298
2003-10-10,337.96
2003-10-13,335.177
2003-10-14,334.957
2003-10-15,334.647
2003-10-16,336.483
2003-10-17,333.318
2003-10-20,335.978
2003-10-21,336.601
2003-10-22,335.945
2003-10-23,333.76
2003-10-24,335.177
2003-10-27,334.8
2003-10-28,334.72
2003-10-29,336.746
2003-10-30,337.704
2003-10-31,337.428
2003-11-03,336.747
2003-11-04,338.256
2003-11-05,337.5
2003-11-06,334.76
2003-11-07,337.436
2003-11-10,336.928
2003-11-11,336.891
2003-11-12,340.431
2003-11-13,344.639
2003-11-14,347.879
2003-11-17,344.535
2003-11-18,345.95
2003-11-19,344.606
2003-11-20,342.879
2003-11-21,345.049
2003-11-24,343.279
2003-11-25,346.21
2003-11-26,350.18
2003-11-27,350.077
2003-11-28,353.89
2003-12-01,355.175
2003-12-02,359.149
2003-12-03,360.061
2003-12-04,357.621
2003-12-05,358.574
2003-12-08,357.725
2003-12-09,357.63
2003-12-10,356.388
2003-12-11,353.661
2003-12-12,358.033
2003-12-15,358.647
2003-12-16,356.181
2003-12-17,356.239
2003-12-18,355.457
2003-12-19,352.463
2003-12-22,352.912
2003-12-23,353.892
2003-12-24,355.643
2003-12-25,355.643
2003-12-26,355.5
2003-12-29,357.024
2003-12-30,359.22
2003-12-31,362.801
2004-01-01,362.801
2004-01-02,366.485
2004-01-05,371.071
2004-01-06,373.22
2004-01-07,371.033
2004-01-08,375.503
2004-01-09,380.213
2004-01-12,378.562
2004-01-13,379.838
2004-01-14,379.247
2004-01-15,378.558
2004-01-16,375.993
2004-01-19,375.475
2004-01-20,381.042
2004-01-21,384.438
2004-01-22,386.258
2004-01-23,386.053
2004-01-26,382.773
2004-01-27,387.253
2004-01-28,387.909
2004-01-29,381.033
2004-01-30,382.716
2004-02-02,382.271
2004-02-03,383.959
2004-02-04,379.476
2004-02-05,384.662
2004-02-06,387.996
2004-02-09,390.631
2004-02-10,395.024
2004-02-11,398.244
2004-02-12,405.743
2004-02-13,403.675
2004-02-16,406.831
2004-02-17,411.131
2004-02-18,413.052
2004-02-19,408.517
2004-02-20,401.967
2004-02-23,402.458
2004-02-24,407.069
2004-02-25,404.396
2004-02-26,400.966
2004-02-27,402.735
2004-03-01,407.28
2004-03-02,405.723
2004-03-03,400.193
2004-03-04,403.534
2004-03-05,412.556
2004-03-08,412.008
2004-03-09,410.488
2004-03-10,396.287
2004-03-11,386.246
2004-03-12,385.815
2004-03-15,377.803
2004-03-16,381.363
2004-03-17,383.375
2004-03-18,388.231
2004-03-19,387.738
2004-03-22,382.306
2004-03-23,381.093
2004-03-24,376.638
2004-03-25,379.705
2004-03-26,377.604
2004-03-29,382.416
2004-03-30,384.709
2004-03-31,391.331
2004-04-01,396.616
2004-04-02,392.665
2004-04-05,391.324
2004-04-06,388.572
2004-04-07,391.274
2004-04-08,389.858
2004-04-09,389.858
2004-04-12,388.763
2004-04-13,385.476
2004-04-14,382.008
2004-04-15,380.183
2004-04-16,382.035
2004-04-19,382.152
2004-04-20,381.883
2004-04-21,376.542
2004-04-22,378.691
2004-04-23,379.291
2004-04-26,381.457
2004-04-27,385.892
2004-04-28,381.577
2004-04-29,380.492
2004-04-30,378.419
2004-05-03,378.965
2004-05-04,381.278
2004-05-05,380.601
2004-05-06,373.028
2004-05-07,368.571
2004-05-10,355.762
2004-05-11,357.318
2004-05-12,355.228
2004-05-13,353.676
2004-05-14,353.845
2004-05-17,356.666
2004-05-18,352.842
2004-05-19,359.973
2004-05-20,356.134
2004-05-21,359.527
2004-05-24,359.243
2004-05-25,362.078
2004-05-26,363.896
2004-05-27,369.168
2004-05-28,366.624
2004-05-31,368.88
2004-06-01,366.91
2004-06-02,369.115
2004-06-03,369.278
2004-06-04,370.178
2004-06-07,374.699
2004-06-08,373.503
2004-06-09,369.532
2004-06-10,368.795
2004-06-11,367.189
2004-06-14,367.85
2004-06-15,369.091
2004-06-16,366.969
2004-06-17,367.833
2004-06-18,372.322
2004-06-21,370.737
2004-06-22,370.902
2004-06-23,371.482
2004-06-24,374.477
2004-06-25,374.636
2004-06-28,378.936
2004-06-29,376.85
2004-06-30,380.823
2004-07-01,379.451
2004-07-02,382.847
2004-07-05,383.385
2004-07-06,381.174
2004-07-07,383.775
2004-07-08,383.163
2004-07-09,382.672
2004-07-12,382.332
2004-07-13,378.139
2004-07-14,378.969
2004-07-15,377.602
2004-07-16,380.583
2004-07-19,381.045
2004-07-20,379.474
2004-07-21,374.315
2004-07-22,373.695
2004-07-23,368.288
2004-07-26,365.943
2004-07-27,364.445
2004-07-28,363.997
2004-07-29,367.158
2004-07-30,366.343
2004-08-02,365.143
2004-08-03,366.56
2004-08-04,365.16
2004-08-05,365.637
2004-08-06,368.565
2004-08-09,363.991
2004-08-10,365.949
2004-08-11,360.889
2004-08-12,362.031
2004-08-13,367.095
2004-08-16,368.367
2004-08-17,370.673
2004-08-18,370.485
2004-08-19,373.974
2004-08-20,372.681
2004-08-23,372.055
2004-08-24,369.854
2004-08-25,370.908
2004-08-26,372.02
2004-08-27,371.406
2004-08-30,371.145
2004-08-31,373.969
2004-09-01,375.608
2004-09-02,375.302
2004-09-03,371.536
2004-09-06,372.163
2004-09-07,373.265
2004-09-08,375.99
2004-09-09,374.934
2004-09-10,381.195
2004-09-13,382.553
2004-09-14,384.446
2004-09-15,380.776
2004-09-16,379.251
2004-09-17,380.733
2004-09-20,380.874
2004-09-21,386.875
2004-09-22,383.518
2004-09-23,384.454
2004-09-24,384.946
2004-09-27,385.732
2004-09-28,387.695
2004-09-29,389.35
2004-09-30,394.282
2004-10-01,396.867
2004-10-04,396.068
2004-10-05,395.911
2004-10-06,396.811
2004-10-07,398.221
2004-10-08,401.938
2004-10-11,399.003
2004-10-12,395.207
2004-10-13,393.388
2004-10-14,398.089
2004-10-15,401.167
2004-10-18,402.295
2004-10-19,402.476
