Date,ISRAEL MID VALUE Mid Cap
2019-08-30,1043.629
2019-09-30,1121.324
2019-10-31,1081.527
2019-11-29,1118.849
2019-12-31,1101.97
2020-01-31,1081.525
2020-02-28,1008.296
2020-03-31,784.071
2020-04-30,850.198
2020-05-29,801.42
2020-06-30,750.179
2020-07-31,773.551
2020-08-31,804.032
2020-09-30,703.373
2020-10-30,732.699
2020-11-30,873.901
2020-12-31,924.728
2021-01-29,963.074
2021-02-26,952.212
2021-03-31,1025.389
2021-04-30,1087.095
2021-05-31,1173.774
2021-06-30,1137.737
2021-07-30,1179.047
2021-08-31,1289.462
2021-09-30,1299.278
2021-10-29,1447.547
2021-11-30,1450.126
2021-12-31,1532.548
2022-01-31,1493.809
2022-02-28,1566.28
2022-03-31,1607.275
2022-04-29,1507.325
2022-05-31,1441.321
2022-06-30,1278.024
2022-07-29,1401.622
2022-08-31,1498.279
2022-09-30,1282.751
2022-10-31,1413.249
2022-11-30,1367.026
2022-12-30,1295.242
2023-01-31,1355.696
2023-02-28,1265.937
2023-03-31,1239.725
2023-04-28,1253.105
2023-05-31,1172.684
2023-06-30,1217.86
2023-07-31,1339.164
2023-08-31,1325.07
2023-09-29,1390.177
2023-10-31,1151.155
2023-11-30,1325.931
2023-12-29,1416.518
2024-01-31,1416.734
2024-02-29,1547.717
2024-03-29,1566.825
2024-04-30,1510.858
2024-05-31,1607.159
2024-06-28,1554.46
2024-07-31,1638.486
2024-08-30,1789.918
2024-09-30,1775.942
2024-10-31,1846.546
2024-11-29,1931.358
2024-12-31,2153.351
2025-01-31,2142.676
2025-02-28,2166.114
2025-03-31,2101.751
2025-04-30,2249.745
2025-05-30,2506.675
2025-06-30,2812.999
2025-07-31,2735.303
2025-08-29,2874.397
2025-09-30,2984.747
2025-10-31,3027.61
2025-11-28,3228.47
