Date,SWEDEN GROWTH Standard (Large+Mid Cap)
2003-01-23,2202.123
2003-01-24,2208.754
2003-01-27,2137.843
2003-01-28,2098.94
2003-01-29,2101.503
2003-01-30,2141.832
2003-01-31,2115.237
2003-02-03,2165.408
2003-02-04,2120.739
2003-02-05,2156.066
2003-02-06,2148.715
2003-02-07,2117.274
2003-02-10,2050.239
2003-02-11,2089.43
2003-02-12,2120.638
2003-02-13,2175.386
2003-02-14,2198.056
2003-02-17,2238.149
2003-02-18,2250.296
2003-02-19,2230.365
2003-02-20,2203.733
2003-02-21,2197.666
2003-02-24,2177.944
2003-02-25,2125.228
2003-02-26,2145.086
2003-02-27,2167.177
2003-02-28,2181.908
2003-03-03,2204.127
2003-03-04,2190.442
2003-03-05,2186.213
2003-03-06,2176.703
2003-03-07,2162.449
2003-03-10,2126.935
2003-03-11,2109.347
2003-03-12,2054.257
2003-03-13,2098.375
2003-03-14,2133.291
2003-03-17,2174.956
2003-03-18,2192.144
2003-03-19,2199.792
2003-03-20,2232.635
2003-03-21,2253.634
2003-03-24,2201.939
2003-03-25,2199.597
2003-03-26,2176.771
2003-03-27,2147.038
2003-03-28,2144.701
2003-03-31,2096.501
2003-04-01,2090.478
2003-04-02,2148.781
2003-04-03,2158.06
2003-04-04,2161.404
2003-04-07,2225.547
2003-04-08,2203.045
2003-04-09,2203.912
2003-04-10,2202.141
2003-04-11,2210.213
2003-04-14,2216.592
2003-04-15,2251.998
2003-04-16,2256.176
2003-04-17,2271.437
2003-04-18,2271.437
2003-04-21,2264.492
2003-04-22,2306.457
2003-04-23,2328.262
2003-04-24,2352.883
2003-04-25,2332.875
2003-04-28,2383.534
2003-04-29,2425.56
2003-04-30,2437.914
2003-05-01,2462.009
2003-05-02,2422.541
2003-05-05,2458.452
2003-05-06,2483.701
2003-05-07,2480.724
2003-05-08,2459.031
2003-05-09,2488.547
2003-05-12,2507.468
2003-05-13,2530.493
2003-05-14,2509.765
2003-05-15,2490.113
2003-05-16,2485.603
2003-05-19,2464.176
2003-05-20,2454.838
2003-05-21,2432.673
2003-05-22,2456.906
2003-05-23,2485.62
2003-05-26,2484.081
2003-05-27,2512.571
2003-05-28,2547.849
2003-05-29,2559.934
2003-05-30,2557.184
2003-06-02,2558.272
2003-06-03,2513.688
2003-06-04,2533.461
2003-06-05,2579.736
2003-06-06,2591.551
2003-06-09,2600.553
2003-06-10,2578.975
2003-06-11,2635.18
2003-06-12,2663.991
2003-06-13,2627.727
2003-06-16,2668.552
2003-06-17,2697.668
2003-06-18,2676.065
2003-06-19,2647.453
2003-06-20,2631.469
2003-06-23,2575.944
2003-06-24,2524.82
2003-06-25,2553.061
2003-06-26,2529.776
2003-06-27,2573.877
2003-06-30,2563.221
2003-07-01,2547.146
2003-07-02,2561.949
2003-07-03,2597.529
2003-07-04,2590.751
2003-07-07,2603.861
2003-07-08,2628.893
2003-07-09,2628.618
2003-07-10,2597.581
2003-07-11,2589.669
2003-07-14,2638.932
2003-07-15,2623.528
2003-07-16,2591.24
2003-07-17,2545.546
2003-07-18,2579.828
2003-07-21,2600.264
2003-07-22,2599.479
2003-07-23,2621.344
2003-07-24,2662.951
2003-07-25,2664.557
2003-07-28,2700.101
2003-07-29,2686.745
2003-07-30,2672.227
2003-07-31,2648.855
2003-08-01,2653.666
2003-08-04,2679.635
2003-08-05,2690.541
2003-08-06,2646.223
2003-08-07,2620.391
2003-08-08,2629.824
2003-08-11,2610.707
2003-08-12,2647.116
2003-08-13,2682.152
2003-08-14,2690.941
2003-08-15,2669.843
2003-08-18,2680.651
2003-08-19,2691.603
2003-08-20,2692.885
2003-08-21,2710.85
2003-08-22,2685.126
2003-08-25,2645.945
2003-08-26,2604.721
2003-08-27,2623.368
2003-08-28,2631.162
2003-08-29,2661.643
2003-09-01,2727.093
2003-09-02,2706.836
2003-09-03,2764.844
2003-09-04,2774.47
2003-09-05,2815.664
2003-09-08,2838.805
2003-09-09,2836.465
2003-09-10,2798.534
2003-09-11,2811.388
2003-09-12,2836.333
2003-09-15,2835.993
2003-09-16,2843.282
2003-09-17,2860.052
2003-09-18,2870.437
2003-09-19,2850.856
2003-09-22,2813.248
2003-09-23,2835.725
2003-09-24,2830.312
2003-09-25,2822.295
2003-09-26,2820.689
2003-09-29,2817.101
2003-09-30,2780.213
