Date,UNITED KINGDOM VALUE Standard (Large+Mid Cap)
2005-01-06,13570.401
2005-01-07,13594.15
2005-01-10,13625.703
2005-01-11,13565.989
2005-01-12,13615.333
2005-01-13,13582.621
2005-01-14,13540.292
2005-01-17,13526.118
2005-01-18,13534.233
2005-01-19,13605.032
2005-01-20,13517.998
2005-01-21,13507.562
2005-01-24,13577.836
2005-01-25,13622.315
2005-01-26,13750.485
2005-01-27,13788.737
2005-01-28,13695.651
2005-01-31,13805.068
2005-02-01,13913.635
2005-02-02,13970.414
2005-02-03,13892.519
2005-02-04,14052.854
2005-02-07,14003.257
2005-02-08,13977.873
2005-02-09,13950.914
2005-02-10,14105.651
2005-02-11,14188.438
2005-02-14,14333.15
2005-02-15,14374.434
2005-02-16,14299.449
2005-02-17,14398.831
2005-02-18,14437.588
2005-02-21,14416.055
2005-02-22,14402.581
2005-02-23,14294.985
2005-02-24,14257.281
2005-02-25,14420.443
2005-02-28,14374.419
2005-03-01,14404.862
2005-03-02,14305.447
2005-03-03,14310.241
2005-03-04,14535.079
2005-03-07,14406.231
2005-03-08,14491.334
2005-03-09,14398.783
2005-03-10,14291.954
2005-03-11,14380.631
2005-03-14,14272.996
2005-03-15,14369.05
2005-03-16,14315.14
2005-03-17,14206.933
2005-03-18,14176.485
2005-03-21,14059.688
2005-03-22,14096.484
2005-03-23,13822.21
2005-03-24,13843.538
2005-03-25,13843.538
2005-03-28,13812.077
2005-03-29,13906.58
2005-03-30,13892.96
2005-03-31,13929.923
2005-04-01,13991.822
2005-04-04,13818.217
2005-04-05,13958.206
2005-04-06,13988.274
2005-04-07,14067.287
2005-04-08,14071.987
2005-04-11,14132.528
2005-04-12,14027.745
2005-04-13,14116.819
2005-04-14,13970.575
2005-04-15,13884.997
2005-04-18,13747.256
2005-04-19,13921.587
2005-04-20,13835.109
2005-04-21,13782.091
2005-04-22,13896.78
2005-04-25,13938.928
2005-04-26,13817.864
2005-04-27,13677.694
2005-04-28,13643.473
2005-04-29,13676.937
2005-05-02,13556.273
2005-05-03,13688.439
2005-05-04,13825.904
2005-05-05,13944.293
2005-05-06,13897.731
2005-05-09,13803.058
2005-05-10,13761.275
2005-05-11,13667.626
2005-05-12,13652.258
2005-05-13,13574.906
2005-05-16,13400.997
2005-05-17,13472.386
2005-05-18,13592.3
2005-05-19,13680.734
2005-05-20,13585.394
2005-05-23,13675.37
2005-05-24,13701.372
2005-05-25,13725.009
2005-05-26,13653.86
2005-05-27,13632.597
2005-05-30,13635.961
2005-05-31,13561.241
2005-06-01,13670.8
2005-06-02,13692.072
2005-06-03,13653.447
