Date,IRELAND IMI GROWTH IMI (Large+Mid+Small Cap)
2005-06-03,520.297
2005-06-06,520.678
2005-06-07,524.399
2005-06-08,524.0
2005-06-09,517.829
2005-06-10,519.491
2005-06-13,519.156
2005-06-14,519.618
2005-06-15,523.844
2005-06-16,522.709
2005-06-17,532.372
2005-06-20,526.916
2005-06-21,527.149
2005-06-22,525.579
2005-06-23,523.524
2005-06-24,525.624
2005-06-27,526.445
2005-06-28,524.442
2005-06-29,525.304
2005-06-30,532.604
2005-07-01,528.543
2005-07-04,526.078
2005-07-05,521.246
2005-07-06,524.979
2005-07-07,521.859
2005-07-08,523.175
2005-07-11,532.237
2005-07-12,540.431
2005-07-13,537.025
2005-07-14,537.82
2005-07-15,534.741
2005-07-18,539.82
2005-07-19,546.982
2005-07-20,546.88
2005-07-21,559.486
2005-07-22,562.26
2005-07-25,559.42
2005-07-26,554.152
2005-07-27,558.915
2005-07-28,562.544
2005-07-29,564.969
2005-08-01,571.854
2005-08-02,567.891
2005-08-03,571.929
2005-08-04,571.92
2005-08-05,570.411
2005-08-08,572.311
2005-08-09,575.151
2005-08-10,578.574
2005-08-11,579.402
2005-08-12,576.121
2005-08-15,569.556
2005-08-16,566.502
2005-08-17,564.148
2005-08-18,557.459
2005-08-19,555.264
2005-08-22,560.372
2005-08-23,558.232
2005-08-24,556.9
2005-08-25,556.606
2005-08-26,560.963
2005-08-29,560.044
2005-08-30,550.238
2005-08-31,557.253
2005-09-01,568.112
2005-09-02,579.291
2005-09-05,576.113
2005-09-06,582.478
2005-09-07,578.788
2005-09-08,575.247
2005-09-09,574.34
2005-09-12,563.279
2005-09-13,557.438
2005-09-14,557.344
2005-09-15,550.636
2005-09-16,547.404
2005-09-19,545.647
2005-09-20,547.278
2005-09-21,545.873
2005-09-22,540.19
2005-09-23,543.58
2005-09-26,546.077
2005-09-27,545.119
2005-09-28,549.398
2005-09-29,549.938
2005-09-30,556.825
2005-10-03,550.749
2005-10-04,558.125
2005-10-05,558.633
2005-10-06,561.801
2005-10-07,559.355
2005-10-10,554.507
2005-10-11,551.239
2005-10-12,549.593
2005-10-13,538.676
2005-10-14,542.462
2005-10-17,540.511
2005-10-18,533.987
2005-10-19,524.296
2005-10-20,527.669
2005-10-21,515.766
2005-10-24,520.362
2005-10-25,527.333
2005-10-26,527.34
2005-10-27,521.79
2005-10-28,520.474
