Date,USA Standard (Large+Mid Cap)
2003-10-14,2215.407
2003-10-15,2209.134
2003-10-16,2216.69
2003-10-17,2193.992
2003-10-20,2205.202
2003-10-21,2208.631
2003-10-22,2175.128
2003-10-23,2182.731
2003-10-24,2173.497
2003-10-27,2178.28
2003-10-28,2212.143
2003-10-29,2215.052
2003-10-30,2213.032
2003-10-31,2220.832
2003-11-03,2238.67
2003-11-04,2226.397
2003-11-05,2224.146
2003-11-06,2237.593
2003-11-07,2227.494
2003-11-10,2214.471
2003-11-11,2212.905
2003-11-12,2239.514
2003-11-13,2239.901
2003-11-14,2223.325
2003-11-17,2209.373
2003-11-18,2189.417
2003-11-19,2207.45
2003-11-20,2188.958
2003-11-21,2192.612
2003-11-24,2227.442
2003-11-25,2231.631
2003-11-26,2241.536
2003-11-27,2241.536
2003-11-28,2241.217
2003-12-01,2266.412
2003-12-02,2259.847
2003-12-03,2255.599
2003-12-04,2266.154
2003-12-05,2248.475
2003-12-08,2264.954
2003-12-09,2245.0
2003-12-10,2243.2
2003-12-11,2269.011
2003-12-12,2275.071
2003-12-15,2262.477
2003-12-16,2277.259
2003-12-17,2279.939
2003-12-18,2307.816
2003-12-19,2306.943
2003-12-22,2315.61
2003-12-23,2322.509
2003-12-24,2318.594
2003-12-25,2318.594
2003-12-26,2322.226
2003-12-29,2351.737
2003-12-30,2351.84
2003-12-31,2356.516
2004-01-01,2356.516
2004-01-02,2350.028
2004-01-05,2378.946
2004-01-06,2381.592
2004-01-07,2387.024
2004-01-08,2399.194
2004-01-09,2378.201
2004-01-12,2389.842
2004-01-13,2376.419
2004-01-14,2396.066
2004-01-15,2399.042
2004-01-16,2416.218
2004-01-19,2416.218
2004-01-20,2414.053
2004-01-21,2433.045
2004-01-22,2425.196
2004-01-23,2419.994
2004-01-26,2449.495
2004-01-27,2424.708
2004-01-28,2392.169
2004-01-29,2404.087
2004-01-30,2398.428
2004-02-02,2406.378
2004-02-03,2407.321
2004-02-04,2387.27
2004-02-05,2390.503
2004-02-06,2420.69
2004-02-09,2414.542
2004-02-10,2426.92
2004-02-11,2453.117
2004-02-12,2441.174
2004-02-13,2427.864
2004-02-16,2427.864
2004-02-17,2450.642
2004-02-18,2439.714
2004-02-19,2428.796
2004-02-20,2422.731
2004-02-23,2416.004
2004-02-24,2412.372
2004-02-25,2422.844
2004-02-26,2426.586
2004-02-27,2426.321
2004-03-01,2448.801
2004-03-02,2434.445
2004-03-03,2438.908
2004-03-04,2446.803
2004-03-05,2451.234
2004-03-08,2430.707
2004-03-09,2416.677
2004-03-10,2381.774
2004-03-11,2346.554
2004-03-12,2375.913
2004-03-15,2341.903
2004-03-16,2355.271
2004-03-17,2382.55
2004-03-18,2379.171
2004-03-19,2352.259
2004-03-22,2321.746
2004-03-23,2318.653
2004-03-24,2312.825
2004-03-25,2350.886
2004-03-26,2347.913
2004-03-29,2378.873
