Date,DENMARK Standard (Large+Mid Cap)
2004-02-16,5453.477
2004-02-17,5427.974
2004-02-18,5442.975
2004-02-19,5404.284
2004-02-20,5331.835
2004-02-23,5330.999
2004-02-24,5360.065
2004-02-25,5336.404
2004-02-26,5329.21
2004-02-27,5341.108
2004-03-01,5406.655
2004-03-02,5354.436
2004-03-03,5261.201
2004-03-04,5324.419
2004-03-05,5416.157
2004-03-08,5387.571
2004-03-09,5399.271
2004-03-10,5272.598
2004-03-11,5191.219
2004-03-12,5154.577
2004-03-15,5127.22
2004-03-16,5222.572
2004-03-17,5188.438
2004-03-18,5245.123
2004-03-19,5237.37
2004-03-22,5170.063
2004-03-23,5152.249
2004-03-24,5110.248
2004-03-25,5143.583
2004-03-26,5047.196
2004-03-29,5087.747
2004-03-30,5083.438
2004-03-31,5132.537
2004-04-01,5144.401
2004-04-02,5162.119
2004-04-05,5118.141
2004-04-06,5109.295
2004-04-07,5202.624
2004-04-08,5175.26
2004-04-09,5175.26
2004-04-12,5160.368
2004-04-13,5097.29
2004-04-14,5056.162
2004-04-15,5053.329
2004-04-16,5115.305
2004-04-19,5110.088
2004-04-20,5101.651
2004-04-21,5070.344
2004-04-22,5077.338
2004-04-23,5114.064
2004-04-26,5092.464
2004-04-27,5109.491
2004-04-28,5011.306
2004-04-29,5040.244
2004-04-30,5055.584
2004-05-03,5056.667
2004-05-04,5130.99
2004-05-05,5142.806
2004-05-06,5039.257
2004-05-07,4969.254
2004-05-10,4874.316
2004-05-11,4883.362
2004-05-12,4899.829
2004-05-13,4944.35
2004-05-14,4926.966
2004-05-17,4919.181
2004-05-18,4934.451
2004-05-19,5017.638
2004-05-20,4973.238
2004-05-21,5004.049
2004-05-24,4968.744
2004-05-25,4994.189
2004-05-26,4994.505
2004-05-27,5099.514
2004-05-28,5077.714
2004-05-31,5077.714
2004-06-01,5089.199
2004-06-02,5164.616
2004-06-03,5140.446
2004-06-04,5194.519
2004-06-07,5261.458
2004-06-08,5259.114
2004-06-09,5129.132
2004-06-10,5161.333
2004-06-11,5142.956
2004-06-14,5115.64
2004-06-15,5158.487
2004-06-16,5169.643
2004-06-17,5175.188
2004-06-18,5244.055
2004-06-21,5243.782
2004-06-22,5306.424
2004-06-23,5298.405
2004-06-24,5343.439
2004-06-25,5299.098
2004-06-28,5329.56
2004-06-29,5313.51
2004-06-30,5373.166
2004-07-01,5412.589
2004-07-02,5496.719
2004-07-05,5484.715
2004-07-06,5489.225
2004-07-07,5503.194
2004-07-08,5498.847
2004-07-09,5461.589
2004-07-12,5484.926
2004-07-13,5446.853
2004-07-14,5464.31
2004-07-15,5461.665
2004-07-16,5502.138
2004-07-19,5489.431
2004-07-20,5448.094
2004-07-21,5372.663
2004-07-22,5336.689
2004-07-23,5267.886
2004-07-26,5258.142
2004-07-27,5223.175
2004-07-28,5187.506
2004-07-29,5224.482
2004-07-30,5271.467
2004-08-02,5258.047
2004-08-03,5312.519
2004-08-04,5276.64
2004-08-05,5283.1
2004-08-06,5330.837
2004-08-09,5280.768
2004-08-10,5359.518
2004-08-11,5306.054
2004-08-12,5345.9
2004-08-13,5374.041
2004-08-16,5404.835
2004-08-17,5411.66
2004-08-18,5401.365
2004-08-19,5432.761
2004-08-20,5404.439
2004-08-23,5374.068
2004-08-24,5293.794
2004-08-25,5304.566
2004-08-26,5328.716
2004-08-27,5327.945
2004-08-30,5341.095
2004-08-31,5367.81
2004-09-01,5411.912
2004-09-02,5457.623
2004-09-03,5414.21
2004-09-06,5458.872
2004-09-07,5432.767
2004-09-08,5473.084
2004-09-09,5503.045
2004-09-10,5580.776
2004-09-13,5561.425
2004-09-14,5534.243
2004-09-15,5424.402
2004-09-16,5439.894
2004-09-17,5465.043
2004-09-20,5455.039
2004-09-21,5546.407
2004-09-22,5512.39
2004-09-23,5555.433
2004-09-24,5553.365
2004-09-27,5559.928
2004-09-28,5567.608
2004-09-29,5648.162
2004-09-30,5702.842
2004-10-01,5708.925
2004-10-04,5686.675
2004-10-05,5705.024
2004-10-06,5681.956
2004-10-07,5630.755
2004-10-08,5673.369
2004-10-11,5641.006
2004-10-12,5597.686
2004-10-13,5603.797
2004-10-14,5651.328
2004-10-15,5675.091
2004-10-18,5660.994
2004-10-19,5701.798
2004-10-20,5676.358
2004-10-21,5684.063
2004-10-22,5713.753
2004-10-25,5689.729
2004-10-26,5688.516
2004-10-27,5708.989
2004-10-28,5675.38
2004-10-29,5651.789
2004-11-01,5707.725
2004-11-02,5745.131
2004-11-03,5776.817
2004-11-04,5837.317
2004-11-05,5907.608
2004-11-08,5895.373
2004-11-09,5877.481
2004-11-10,5902.286
2004-11-11,5935.24
2004-11-12,5928.689
2004-11-15,5933.951
2004-11-16,5912.035
2004-11-17,5964.817
2004-11-18,5949.458
2004-11-19,5989.579
2004-11-22,5964.805
2004-11-23,6020.692
2004-11-24,6102.05
2004-11-25,6144.048
2004-11-26,6113.786
2004-11-29,6124.673
2004-11-30,6083.49
2004-12-01,6141.015
2004-12-02,6148.79
2004-12-03,6174.289
2004-12-06,6188.58
2004-12-07,6195.134
2004-12-08,6094.174
2004-12-09,6023.669
2004-12-10,6021.848
2004-12-13,6122.178
2004-12-14,6046.614
2004-12-15,6142.927
2004-12-16,6037.879
2004-12-17,6005.736
2004-12-20,6099.226
2004-12-21,6132.945
2004-12-22,6205.568
2004-12-23,6260.811
2004-12-24,6275.619
2004-12-27,6321.302
2004-12-28,6289.947
2004-12-29,6284.864
2004-12-30,6332.341
2004-12-31,6315.505
2005-01-03,6305.518
2005-01-04,6206.352
2005-01-05,6156.067
2005-01-06,6163.095
2005-01-07,6144.894
2005-01-10,6155.071
2005-01-11,6141.38
2005-01-12,6159.624
2005-01-13,6143.872
2005-01-14,6113.548
2005-01-17,6105.878
2005-01-18,6063.863
2005-01-19,6074.014
2005-01-20,5983.877
2005-01-21,6003.738
2005-01-24,6009.104
2005-01-25,6033.382
2005-01-26,6083.95
2005-01-27,6033.416
2005-01-28,6094.41
2005-01-31,6144.667
2005-02-01,6190.653
2005-02-02,6229.446
2005-02-03,6185.923
2005-02-04,6206.545
2005-02-07,6209.657
2005-02-08,6218.488
2005-02-09,6229.398
2005-02-10,6300.468
2005-02-11,6343.009
2005-02-14,6393.955
2005-02-15,6443.915
2005-02-16,6424.887
2005-02-17,6484.975
2005-02-18,6481.502
2005-02-21,6477.87
2005-02-22,6571.486
2005-02-23,6518.505
2005-02-24,6551.523
2005-02-25,6560.189
2005-02-28,6619.792
2005-03-01,6653.319
2005-03-02,6621.481
2005-03-03,6669.597
2005-03-04,6764.666
2005-03-07,6765.411
2005-03-08,6773.049
2005-03-09,6774.808
2005-03-10,6744.17
2005-03-11,6785.179
2005-03-14,6751.414
2005-03-15,6811.706
2005-03-16,6837.25
2005-03-17,6834.706
2005-03-18,6789.161
2005-03-21,6728.443
2005-03-22,6739.684
2005-03-23,6582.484
2005-03-24,6558.938
2005-03-25,6558.938
2005-03-28,6512.968
2005-03-29,6636.561
2005-03-30,6600.52
2005-03-31,6688.25
2005-04-01,6731.035
2005-04-04,6667.077
2005-04-05,6763.759
2005-04-06,6819.523
2005-04-07,6891.514
2005-04-08,6870.976
2005-04-11,6902.256
2005-04-12,6870.174
2005-04-13,6890.24
2005-04-14,6841.011
2005-04-15,6809.025
2005-04-18,6798.168
2005-04-19,6855.58
2005-04-20,6873.005
2005-04-21,6916.461
2005-04-22,6901.585
2005-04-25,6898.673
2005-04-26,6869.95
2005-04-27,6754.321
2005-04-28,6525.755
2005-04-29,6471.654
2005-05-02,6463.897
2005-05-03,6544.978
2005-05-04,6614.868
2005-05-05,6606.475
2005-05-06,6625.214
2005-05-09,6594.532
2005-05-10,6702.604
2005-05-11,6729.026
2005-05-12,6637.74
2005-05-13,6588.166
2005-05-16,6575.15
2005-05-17,6587.669
2005-05-18,6640.974
2005-05-19,6597.267
2005-05-20,6581.165
2005-05-23,6628.988
2005-05-24,6691.103
2005-05-25,6690.123
2005-05-26,6709.388
2005-05-27,6732.236
2005-05-30,6708.267
2005-05-31,6653.367
2005-06-01,6652.014
2005-06-02,6627.788
2005-06-03,6632.525
2005-06-06,6613.417
2005-06-07,6647.341
2005-06-08,6700.416
