Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
2003-12-23,399.477
2003-12-24,402.579
2003-12-25,402.579
2003-12-26,402.556
2003-12-29,401.177
2003-12-30,403.516
2003-12-31,406.372
2004-01-01,406.372
2004-01-02,412.655
2004-01-05,428.34
2004-01-06,434.559
2004-01-07,434.784
2004-01-08,435.804
2004-01-09,444.162
2004-01-12,452.274
2004-01-13,449.778
2004-01-14,455.562
2004-01-15,457.723
2004-01-16,457.218
2004-01-19,462.419
2004-01-20,483.802
2004-01-21,490.177
2004-01-22,490.215
2004-01-23,490.228
2004-01-26,493.647
2004-01-27,487.357
2004-01-28,472.196
2004-01-29,470.918
2004-01-30,473.524
2004-02-02,462.445
2004-02-03,469.896
2004-02-04,469.439
2004-02-05,465.937
2004-02-06,476.927
2004-02-09,488.784
2004-02-10,485.89
2004-02-11,485.765
2004-02-12,483.667
2004-02-13,482.664
2004-02-16,484.205
2004-02-17,484.046
2004-02-18,483.909
2004-02-19,482.215
2004-02-20,481.095
2004-02-23,480.112
2004-02-24,478.632
2004-02-25,473.453
2004-02-26,476.257
2004-02-27,483.891
2004-03-01,485.664
2004-03-02,485.996
2004-03-03,478.892
2004-03-04,479.692
2004-03-05,481.52
2004-03-08,486.802
2004-03-09,484.488
2004-03-10,477.939
2004-03-11,470.306
2004-03-12,467.176
2004-03-15,469.089
2004-03-16,465.966
2004-03-17,473.327
2004-03-18,472.248
2004-03-19,474.921
2004-03-22,469.674
2004-03-23,469.909
2004-03-24,473.133
2004-03-25,467.756
2004-03-26,467.669
2004-03-29,459.181
2004-03-30,462.44
2004-03-31,463.53
2004-04-01,468.244
2004-04-02,476.047
2004-04-05,475.965
2004-04-06,484.486
2004-04-07,485.029
2004-04-08,483.584
2004-04-09,483.584
2004-04-12,483.569
2004-04-13,485.195
2004-04-14,469.249
2004-04-15,461.368
2004-04-16,463.011
2004-04-19,458.601
2004-04-20,452.507
2004-04-21,443.186
2004-04-22,440.197
2004-04-23,454.594
2004-04-26,447.363
2004-04-27,449.353
2004-04-28,448.2
2004-04-29,434.817
2004-04-30,432.472
2004-05-03,432.279
2004-05-04,440.715
2004-05-05,434.282
2004-05-06,433.083
2004-05-07,424.83
2004-05-10,400.757
2004-05-11,401.818
2004-05-12,406.82
2004-05-13,396.079
2004-05-14,376.351
2004-05-17,354.258
2004-05-18,364.449
2004-05-19,387.159
2004-05-20,385.692
2004-05-21,400.407
2004-05-24,405.373
2004-05-25,406.4
2004-05-26,406.374
2004-05-27,417.93
2004-05-28,421.284
2004-05-31,421.223
2004-06-01,418.92
2004-06-02,419.993
2004-06-03,411.814
2004-06-04,415.003
2004-06-07,423.019
2004-06-08,424.071
2004-06-09,423.272
2004-06-10,422.644
2004-06-11,424.226
2004-06-14,414.398
2004-06-15,412.806
2004-06-16,411.462
2004-06-17,405.707
2004-06-18,400.379
2004-06-21,400.049
2004-06-22,400.034
2004-06-23,402.705
2004-06-24,411.139
2004-06-25,413.075
2004-06-28,416.709
2004-06-29,416.561
2004-06-30,423.232
2004-07-01,423.24
2004-07-02,426.023
2004-07-05,430.212
2004-07-06,438.823
2004-07-07,444.513
2004-07-08,439.228
2004-07-09,439.874
2004-07-12,437.489
2004-07-13,434.432
2004-07-14,428.926
2004-07-15,429.13
2004-07-16,431.619
2004-07-19,437.667
2004-07-20,436.283
2004-07-21,444.988
2004-07-22,443.383
2004-07-23,446.964
2004-07-26,444.74
2004-07-27,443.814
2004-07-28,447.514
2004-07-29,442.136
2004-07-30,441.713
2004-08-02,439.814
2004-08-03,440.01
2004-08-04,439.41
2004-08-05,448.329
2004-08-06,448.58
2004-08-09,445.105
2004-08-10,443.982
2004-08-11,442.111
2004-08-12,440.693
2004-08-13,436.413
2004-08-16,429.062
2004-08-17,430.525
2004-08-18,431.881
2004-08-19,439.379
2004-08-20,437.741
2004-08-23,440.017
2004-08-24,449.035
2004-08-25,454.441
2004-08-26,456.584
2004-08-27,453.729
2004-08-30,454.862
2004-08-31,457.958
2004-09-01,465.82
2004-09-02,466.85
2004-09-03,462.922
2004-09-06,473.494
2004-09-07,476.46
2004-09-08,471.866
2004-09-09,468.829
2004-09-10,470.349
2004-09-13,474.624
2004-09-14,474.299
2004-09-15,474.492
2004-09-16,479.409
2004-09-17,477.302
2004-09-20,475.109
2004-09-21,477.554
2004-09-22,475.218
2004-09-23,472.466
2004-09-24,466.492
2004-09-27,465.791
2004-09-28,464.832
2004-09-29,464.865
2004-09-30,471.46
2004-10-01,471.505
2004-10-04,479.469
2004-10-05,481.928
2004-10-06,479.253
2004-10-07,480.98
2004-10-08,478.73
2004-10-11,477.53
2004-10-12,478.509
2004-10-13,474.313
2004-10-14,472.642
2004-10-15,475.288
2004-10-18,473.684
2004-10-19,476.624
2004-10-20,472.755
2004-10-21,469.445
2004-10-22,469.358
2004-10-25,462.974
2004-10-26,465.548
2004-10-27,469.932
2004-10-28,477.421
2004-10-29,474.205
2004-11-01,474.883
2004-11-02,482.94
2004-11-03,494.057
2004-11-04,494.426
2004-11-05,501.51
2004-11-08,502.426
2004-11-09,504.889
2004-11-10,506.68
2004-11-11,504.804
2004-11-12,510.822
2004-11-15,514.133
2004-11-16,510.016
2004-11-17,514.849
2004-11-18,519.392
2004-11-19,518.41
2004-11-22,518.291
2004-11-23,526.745
2004-11-24,531.225
2004-11-25,530.954
2004-11-26,528.55
2004-11-29,530.922
2004-11-30,529.414
2004-12-01,524.687
2004-12-02,530.663
2004-12-03,528.446
2004-12-06,527.642
2004-12-07,525.997
2004-12-08,520.127
2004-12-09,518.68
2004-12-10,516.202
2004-12-13,512.592
2004-12-14,519.205
2004-12-15,521.311
2004-12-16,521.155
2004-12-17,521.772
2004-12-20,529.579
2004-12-21,528.425
2004-12-22,528.994
2004-12-23,530.806
2004-12-24,530.96
2004-12-27,531.016
2004-12-28,534.244
2004-12-29,535.393
2004-12-30,535.264
2004-12-31,539.234
2005-01-03,539.636
2005-01-04,535.885
2005-01-05,520.991
2005-01-06,521.612
2005-01-07,516.527
2005-01-10,515.029
2005-01-11,512.155
2005-01-12,511.528
2005-01-13,515.281
2005-01-14,511.267
2005-01-17,514.453
2005-01-18,514.912
2005-01-19,512.923
2005-01-20,509.162
2005-01-21,505.851
2005-01-24,501.929
2005-01-25,509.18
2005-01-26,512.06
2005-01-27,512.76
2005-01-28,514.073
2005-01-31,517.268
2005-02-01,513.614
2005-02-02,514.597
2005-02-03,515.287
2005-02-04,516.708
2005-02-07,524.981
2005-02-08,527.409
2005-02-09,527.409
2005-02-10,527.409
2005-02-11,527.392
2005-02-14,530.326
2005-02-15,529.701
2005-02-16,532.813
2005-02-17,531.823
2005-02-18,535.74
2005-02-21,537.35
