Date,WORLD SMID CAP SMID (Small+Mid Cap)
2003-05-13,384.193
2003-05-14,384.909
2003-05-15,386.95
2003-05-16,388.251
2003-05-19,381.46
2003-05-20,381.235
2003-05-21,381.943
2003-05-22,385.527
2003-05-23,388.16
2003-05-26,388.708
2003-05-27,393.176
2003-05-28,393.963
2003-05-29,395.275
2003-05-30,400.094
2003-06-02,402.797
2003-06-03,401.67
2003-06-04,406.916
2003-06-05,412.007
2003-06-06,412.185
2003-06-09,407.568
2003-06-10,409.457
2003-06-11,415.111
2003-06-12,416.083
2003-06-13,412.875
2003-06-16,418.676
2003-06-17,419.649
2003-06-18,417.978
2003-06-19,413.315
2003-06-20,413.117
2003-06-23,407.473
2003-06-24,405.712
2003-06-25,407.738
2003-06-26,408.562
2003-06-27,408.424
2003-06-30,407.855
2003-07-01,409.81
2003-07-02,415.61
2003-07-03,415.358
2003-07-04,414.916
2003-07-07,420.589
2003-07-08,422.975
2003-07-09,423.077
2003-07-10,418.675
2003-07-11,420.046
2003-07-14,424.163
2003-07-15,422.062
2003-07-16,419.134
2003-07-17,412.755
2003-07-18,415.702
2003-07-21,413.577
2003-07-22,415.998
2003-07-23,418.536
2003-07-24,419.518
2003-07-25,422.531
2003-07-28,424.42
2003-07-29,423.588
2003-07-30,421.645
2003-07-31,421.949
2003-08-01,420.372
2003-08-04,419.301
2003-08-05,415.494
2003-08-06,413.39
2003-08-07,414.917
2003-08-08,415.538
2003-08-11,418.053
2003-08-12,421.84
2003-08-13,423.164
2003-08-14,425.676
2003-08-15,426.306
2003-08-18,430.185
2003-08-19,432.918
2003-08-20,435.062
2003-08-21,437.877
2003-08-22,434.287
2003-08-25,433.258
2003-08-26,432.756
2003-08-27,434.419
2003-08-28,437.601
2003-08-29,441.077
2003-09-01,443.318
2003-09-02,446.472
2003-09-03,449.349
2003-09-04,449.86
2003-09-05,449.086
2003-09-08,453.338
2003-09-09,451.872
2003-09-10,445.213
2003-09-11,446.427
2003-09-12,448.995
2003-09-15,448.754
2003-09-16,453.101
2003-09-17,453.979
2003-09-18,458.557
