Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2003-05-05,596.325
2003-05-06,601.883
2003-05-07,598.185
2003-05-08,592.427
2003-05-09,602.073
2003-05-12,610.252
2003-05-13,608.311
2003-05-14,606.19
2003-05-15,611.234
2003-05-16,608.529
2003-05-19,592.65
2003-05-20,591.447
2003-05-21,592.452
2003-05-22,598.216
2003-05-23,597.416
2003-05-26,597.416
2003-05-27,610.21
2003-05-28,611.974
2003-05-29,611.993
2003-05-30,620.406
2003-06-02,619.902
2003-06-03,622.977
2003-06-04,632.974
2003-06-05,636.292
2003-06-06,632.95
2003-06-09,625.165
2003-06-10,631.523
2003-06-11,639.118
2003-06-12,640.092
2003-06-13,633.101
2003-06-16,648.199
2003-06-17,650.137
2003-06-18,650.403
2003-06-19,640.636
2003-06-20,639.532
2003-06-23,629.065
2003-06-24,629.175
2003-06-25,625.848
2003-06-26,634.397
2003-06-27,629.241
2003-06-30,627.883
2003-07-01,632.816
2003-07-02,642.185
2003-07-03,637.214
2003-07-04,637.214
2003-07-07,651.647
2003-07-08,656.66
2003-07-09,654.21
2003-07-10,645.401
2003-07-11,651.835
2003-07-14,656.931
2003-07-15,655.963
2003-07-16,652.698
2003-07-17,641.56
2003-07-18,646.957
2003-07-21,638.009
2003-07-22,643.886
2003-07-23,646.591
2003-07-24,641.269
2003-07-25,651.279
2003-07-28,651.038
2003-07-29,647.503
2003-07-30,646.565
2003-07-31,648.588
2003-08-01,642.052
2003-08-04,642.876
2003-08-05,630.811
2003-08-06,628.726
2003-08-07,633.104
2003-08-08,633.956
2003-08-11,637.812
2003-08-12,644.975
2003-08-13,642.047
2003-08-14,645.038
2003-08-15,645.99
2003-08-18,654.111
2003-08-19,657.001
2003-08-20,655.619
2003-08-21,658.491
2003-08-22,653.72
2003-08-25,653.833
2003-08-26,656.082
2003-08-27,658.013
2003-08-28,663.095
2003-08-29,666.511
2003-09-01,666.511
2003-09-02,675.349
2003-09-03,677.639
2003-09-04,680.371
2003-09-05,676.007
2003-09-08,684.307
2003-09-09,678.754
2003-09-10,668.164
2003-09-11,673.23
2003-09-12,674.922
2003-09-15,672.31
2003-09-16,683.346
2003-09-17,681.261
2003-09-18,688.863
2003-09-19,686.887
2003-09-22,677.572
2003-09-23,683.805
2003-09-24,668.487
2003-09-25,662.847
2003-09-26,656.811
2003-09-29,664.57
2003-09-30,656.463
2003-10-01,671.46
2003-10-02,673.328
2003-10-03,682.263
2003-10-06,684.596
2003-10-07,688.802
2003-10-08,685.088
2003-10-09,689.399
2003-10-10,689.458
2003-10-13,695.064
2003-10-14,698.038
2003-10-15,695.954
2003-10-16,698.99
2003-10-17,689.853
2003-10-20,694.056
2003-10-21,698.262
2003-10-22,686.217
2003-10-23,686.44
2003-10-24,682.514
