Date,HONG KONG GROWTH Standard (Large+Mid Cap)
2024-08-30,27874.365
2024-09-30,35011.816
2024-10-31,32561.376
2024-11-29,31063.318
2024-12-31,30784.266
2025-01-31,30331.146
2025-02-28,32982.832
2025-03-31,32120.797
2025-04-30,31420.609
2025-05-30,35381.904
2025-06-30,37162.611
2025-07-31,39093.429
2025-08-29,40799.195
2025-09-30,41049.892
2025-10-31,40467.634
