Date,PORTUGAL LARGE CAP Large Cap
2005-03-07,727.409
2005-03-08,734.352
2005-03-09,736.784
2005-03-10,723.358
2005-03-11,730.13
2005-03-14,727.687
2005-03-15,722.129
2005-03-16,718.784
2005-03-17,718.521
2005-03-18,719.174
2005-03-21,709.527
2005-03-22,707.482
2005-03-23,698.03
2005-03-24,704.14
2005-03-25,704.14
2005-03-28,699.198
2005-03-29,709.804
2005-03-30,707.041
2005-03-31,706.551
2005-04-01,702.255
2005-04-04,691.855
2005-04-05,691.012
2005-04-06,689.313
2005-04-07,689.855
2005-04-08,689.951
2005-04-11,697.525
2005-04-12,698.885
2005-04-13,715.905
2005-04-14,705.546
2005-04-15,702.185
2005-04-18,698.03
2005-04-19,701.615
2005-04-20,708.812
2005-04-21,711.063
2005-04-22,714.264
2005-04-25,700.889
2005-04-26,692.795
2005-04-27,669.7
2005-04-28,664.088
2005-04-29,659.898
2005-05-02,667.85
2005-05-03,677.374
2005-05-04,673.157
2005-05-05,672.352
2005-05-06,667.467
2005-05-09,661.055
2005-05-10,654.441
2005-05-11,656.583
2005-05-12,660.531
2005-05-13,662.425
2005-05-16,658.839
2005-05-17,661.692
2005-05-18,668.794
2005-05-19,667.841
2005-05-20,675.996
2005-05-23,684.746
2005-05-24,684.8
2005-05-25,674.423
2005-05-26,665.867
2005-05-27,662.329
2005-05-30,657.072
2005-05-31,641.113
2005-06-01,648.233
2005-06-02,610.92
2005-06-03,613.469
2005-06-06,616.993
2005-06-07,610.249
2005-06-08,609.277
2005-06-09,603.319
2005-06-10,606.68
2005-06-13,603.932
2005-06-14,602.827
2005-06-15,606.03
2005-06-16,597.219
2005-06-17,612.085
2005-06-20,605.128
2005-06-21,608.799
2005-06-22,610.976
2005-06-23,600.865
2005-06-24,586.049
2005-06-27,574.397
2005-06-28,577.325
2005-06-29,586.613
2005-06-30,593.762
2005-07-01,597.426
2005-07-04,592.891
2005-07-05,589.216
2005-07-06,596.921
2005-07-07,587.655
2005-07-08,594.982
2005-07-11,597.183
2005-07-12,599.086
2005-07-13,589.293
2005-07-14,601.944
2005-07-15,592.883
2005-07-18,601.969
2005-07-19,600.074
2005-07-20,594.461
2005-07-21,600.465
2005-07-22,594.912
2005-07-25,592.506
2005-07-26,588.89
2005-07-27,589.674
2005-07-28,596.413
2005-07-29,598.003
2005-08-01,598.001
2005-08-02,597.237
2005-08-03,611.766
2005-08-04,615.946
2005-08-05,621.299
2005-08-08,618.068
2005-08-09,617.118
2005-08-10,618.943
2005-08-11,623.373
2005-08-12,622.194
2005-08-15,625.829
2005-08-16,629.227
2005-08-17,621.946
2005-08-18,602.428
2005-08-19,606.212
2005-08-22,612.185
2005-08-23,601.573
2005-08-24,590.24
2005-08-25,581.932
2005-08-26,581.654
2005-08-29,577.195
2005-08-30,573.525
2005-08-31,592.408
2005-09-01,600.5
2005-09-02,600.477
2005-09-05,603.691
2005-09-06,609.811
2005-09-07,600.363
2005-09-08,603.334
2005-09-09,604.112
2005-09-12,581.743
2005-09-13,586.788
2005-09-14,581.92
2005-09-15,592.327
2005-09-16,578.523
2005-09-19,577.535
2005-09-20,583.292
2005-09-21,581.291
2005-09-22,575.16
2005-09-23,578.333
2005-09-26,568.257
2005-09-27,558.721
2005-09-28,562.663
2005-09-29,570.318
2005-09-30,573.208
2005-10-03,551.319
2005-10-04,556.349
2005-10-05,563.872
2005-10-06,580.664
2005-10-07,572.982
2005-10-10,572.638
2005-10-11,573.31
2005-10-12,571.125
2005-10-13,565.097
2005-10-14,583.714
2005-10-17,577.945
2005-10-18,566.377
2005-10-19,559.289
2005-10-20,565.848
2005-10-21,568.252
2005-10-24,563.552
2005-10-25,571.468
2005-10-26,570.476
2005-10-27,566.043
2005-10-28,558.647
2005-10-31,564.957
2005-11-01,565.57
2005-11-02,574.391
2005-11-03,570.76
2005-11-04,557.96
2005-11-07,563.703
2005-11-08,567.132
2005-11-09,563.724
2005-11-10,566.553
2005-11-11,580.685
2005-11-14,576.095
2005-11-15,572.526
2005-11-16,571.256
2005-11-17,566.322
2005-11-18,572.679
