Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
2003-10-08,595.863
2003-10-09,589.169
2003-10-10,588.652
2003-10-13,587.648
2003-10-14,589.69
2003-10-15,585.07
2003-10-16,587.913
2003-10-17,583.024
2003-10-20,586.475
2003-10-21,588.696
2003-10-22,593.792
2003-10-23,591.282
2003-10-24,590.626
2003-10-27,587.25
2003-10-28,584.803
2003-10-29,585.418
2003-10-30,586.224
2003-10-31,582.71
2003-11-03,580.516
2003-11-04,585.361
2003-11-05,581.959
2003-11-06,577.396
2003-11-07,584.497
2003-11-10,582.547
2003-11-11,580.551
2003-11-12,588.106
2003-11-13,595.413
2003-11-14,600.847
2003-11-17,599.334
2003-11-18,609.443
2003-11-19,617.474
2003-11-20,610.549
2003-11-21,615.262
2003-11-24,615.483
2003-11-25,617.422
2003-11-26,622.115
2003-11-27,624.776
2003-11-28,632.554
2003-12-01,634.67
2003-12-02,642.838
2003-12-03,638.627
2003-12-04,633.564
2003-12-05,639.724
2003-12-08,643.754
2003-12-09,646.746
2003-12-10,640.05
2003-12-11,631.282
2003-12-12,646.715
2003-12-15,648.543
2003-12-16,640.141
2003-12-17,642.044
2003-12-18,649.931
2003-12-19,661.713
2003-12-22,668.061
2003-12-23,678.938
2003-12-24,680.852
2003-12-25,680.852
2003-12-26,680.578
2003-12-29,683.474
2003-12-30,681.629
2003-12-31,686.144
2004-01-01,686.144
2004-01-02,694.131
2004-01-05,716.11
2004-01-06,720.405
2004-01-07,727.625
2004-01-08,732.244
2004-01-09,733.345
2004-01-12,730.638
2004-01-13,738.117
2004-01-14,742.823
2004-01-15,741.827
2004-01-16,735.778
2004-01-19,737.558
2004-01-20,735.427
2004-01-21,744.473
2004-01-22,771.896
2004-01-23,768.901
2004-01-26,752.62
2004-01-27,765.735
2004-01-28,769.618
2004-01-29,744.501
2004-01-30,743.488
2004-02-02,753.823
2004-02-03,759.068
2004-02-04,761.83
2004-02-05,763.512
2004-02-06,774.128
2004-02-09,785.336
2004-02-10,787.967
2004-02-11,792.891
2004-02-12,805.077
2004-02-13,818.333
2004-02-16,820.368
2004-02-17,816.872
2004-02-18,814.152
2004-02-19,799.945
2004-02-20,795.521
2004-02-23,797.214
2004-02-24,801.44
2004-02-25,796.263
2004-02-26,791.194
2004-02-27,788.186
2004-03-01,788.256
2004-03-02,786.175
2004-03-03,778.773
2004-03-04,793.565
2004-03-05,803.096
2004-03-08,805.172
2004-03-09,807.796
2004-03-10,793.969
2004-03-11,791.598
2004-03-12,782.783
2004-03-15,773.996
2004-03-16,788.659
2004-03-17,791.043
2004-03-18,794.413
2004-03-19,799.968
2004-03-22,779.048
2004-03-23,792.798
2004-03-24,814.611
2004-03-25,812.323
2004-03-26,800.443
2004-03-29,803.081
2004-03-30,798.647
2004-03-31,815.029
2004-04-01,835.718
2004-04-02,834.183
2004-04-05,841.927
2004-04-06,838.388
2004-04-07,855.715
2004-04-08,855.193
2004-04-09,855.193
2004-04-12,852.791
2004-04-13,845.331
2004-04-14,833.042
2004-04-15,827.018
2004-04-16,835.927
2004-04-19,835.736
2004-04-20,828.506
2004-04-21,827.069
2004-04-22,819.215
2004-04-23,820.868
2004-04-26,821.927
2004-04-27,825.494
2004-04-28,822.552
2004-04-29,833.602
2004-04-30,828.869
2004-05-03,822.719
2004-05-04,837.118
2004-05-05,837.325
2004-05-06,813.759
2004-05-07,807.992
2004-05-10,774.663
2004-05-11,777.845
2004-05-12,791.242
2004-05-13,787.232
2004-05-14,763.094
2004-05-17,762.007
2004-05-18,766.808
2004-05-19,792.371
2004-05-20,785.325
2004-05-21,787.143
2004-05-24,791.872
2004-05-25,790.771
2004-05-26,795.663
2004-05-27,812.679
2004-05-28,831.999
2004-05-31,831.999
2004-06-01,815.086
2004-06-02,817.365
2004-06-03,817.144
2004-06-04,825.259
2004-06-07,835.738
2004-06-08,835.256
2004-06-09,819.503
2004-06-10,819.571
2004-06-11,819.458
2004-06-14,825.924
2004-06-15,828.317
2004-06-16,831.307
2004-06-17,844.538
2004-06-18,856.025
2004-06-21,875.668
2004-06-22,863.417
2004-06-23,863.437
2004-06-24,870.213
2004-06-25,863.516
2004-06-28,878.738
2004-06-29,878.468
2004-06-30,880.426
2004-07-01,883.025
2004-07-02,905.639
2004-07-05,895.945
2004-07-06,887.863
2004-07-07,898.587
2004-07-08,909.266
2004-07-09,914.812
2004-07-12,907.578
2004-07-13,904.092
2004-07-14,897.501
2004-07-15,893.364
2004-07-16,912.622
2004-07-19,901.38
2004-07-20,904.471
2004-07-21,886.149
2004-07-22,875.604
2004-07-23,878.513
2004-07-26,878.363
2004-07-27,886.346
2004-07-28,890.113
2004-07-29,883.659
2004-07-30,884.682
2004-08-02,879.06
2004-08-03,882.232
2004-08-04,882.828
2004-08-05,881.446
2004-08-06,881.446
2004-08-09,875.545
2004-08-10,884.1
2004-08-11,876.45
2004-08-12,885.129
2004-08-13,899.179
2004-08-16,928.425
2004-08-17,914.529
2004-08-18,921.932
2004-08-19,854.283
2004-08-20,842.309
2004-08-23,834.116
2004-08-24,843.551
2004-08-25,848.335
2004-08-26,851.835
2004-08-27,856.877
2004-08-30,847.924
2004-08-31,851.836
2004-09-01,857.316
2004-09-02,855.373
2004-09-03,853.185
2004-09-06,857.532
2004-09-07,856.691
2004-09-08,858.809
2004-09-09,855.916
2004-09-10,864.096
2004-09-13,851.632
2004-09-14,850.294
2004-09-15,836.054
2004-09-16,843.879
2004-09-17,858.604
2004-09-20,853.572
2004-09-21,868.299
2004-09-22,866.611
2004-09-23,870.812
2004-09-24,860.059
2004-09-27,867.713
2004-09-28,863.285
2004-09-29,873.52
2004-09-30,873.128
2004-10-01,874.072
2004-10-04,871.624
2004-10-05,879.862
2004-10-06,889.98
2004-10-07,882.626
2004-10-08,894.335
2004-10-11,896.235
2004-10-12,882.241
2004-10-13,883.352
2004-10-14,889.077
2004-10-15,895.517
2004-10-18,900.088
2004-10-19,903.266
2004-10-20,906.361
2004-10-21,909.172
2004-10-22,917.812
2004-10-25,917.664
2004-10-26,917.592
2004-10-27,918.534
2004-10-28,928.253
2004-10-29,934.622
2004-11-01,936.422
2004-11-02,950.322
2004-11-03,955.003
2004-11-04,963.533
2004-11-05,961.57
2004-11-08,967.306
2004-11-09,962.986
2004-11-10,965.501
2004-11-11,977.521
2004-11-12,975.014
2004-11-15,968.661
2004-11-16,972.489
2004-11-17,990.855
2004-11-18,1003.637
2004-11-19,1003.966
2004-11-22,999.24
2004-11-23,1003.549
2004-11-24,1021.406
2004-11-25,1030.989
2004-11-26,1032.407
2004-11-29,1046.843
2004-11-30,1043.874
2004-12-01,1066.666
2004-12-02,1073.609
2004-12-03,1075.416
2004-12-06,1075.011
2004-12-07,1084.524
2004-12-08,1071.561
2004-12-09,1058.632
2004-12-10,1051.923
2004-12-13,1073.777
2004-12-14,1081.683
2004-12-15,1100.581
2004-12-16,1078.34
2004-12-17,1080.419
2004-12-20,1102.672
2004-12-21,1100.278
2004-12-22,1099.948
2004-12-23,1108.389
2004-12-24,1111.262
2004-12-27,1124.172
2004-12-28,1123.127
2004-12-29,1118.955
2004-12-30,1124.508
2004-12-31,1121.414
2005-01-03,1120.716
2005-01-04,1113.106
