Date,FINLAND GROWTH Standard (Large+Mid Cap)
2004-09-02,695.366
2004-09-03,700.734
2004-09-06,708.949
2004-09-07,710.183
2004-09-08,722.437
2004-09-09,761.421
2004-09-10,770.434
2004-09-13,777.993
2004-09-14,774.672
2004-09-15,762.571
2004-09-16,772.143
2004-09-17,780.133
2004-09-20,784.632
2004-09-21,786.834
2004-09-22,779.308
2004-09-23,771.162
2004-09-24,772.663
2004-09-27,767.225
2004-09-28,760.466
2004-09-29,767.002
2004-09-30,775.549
2004-10-01,802.694
2004-10-04,808.142
2004-10-05,808.44
2004-10-06,803.062
2004-10-07,804.613
2004-10-08,797.0
2004-10-11,788.334
2004-10-12,773.653
2004-10-13,787.788
2004-10-14,802.874
2004-10-15,825.084
2004-10-18,819.695
2004-10-19,846.807
2004-10-20,831.598
2004-10-21,836.731
2004-10-22,839.439
2004-10-25,831.018
2004-10-26,826.824
2004-10-27,847.845
2004-10-28,855.773
2004-10-29,855.577
2004-11-01,868.82
2004-11-02,872.596
2004-11-03,880.816
2004-11-04,880.89
2004-11-05,897.07
2004-11-08,892.923
2004-11-09,897.387
2004-11-10,906.513
2004-11-11,922.154
2004-11-12,922.462
2004-11-15,919.275
2004-11-16,913.264
2004-11-17,932.508
2004-11-18,935.075
2004-11-19,924.95
2004-11-22,918.378
2004-11-23,909.133
2004-11-24,917.282
2004-11-25,922.936
2004-11-26,929.129
2004-11-29,928.116
2004-11-30,918.697
2004-12-01,927.672
2004-12-02,943.268
2004-12-03,929.99
2004-12-06,933.885
2004-12-07,931.569
2004-12-08,910.438
2004-12-09,892.359
2004-12-10,886.773
2004-12-13,883.983
2004-12-14,882.506
2004-12-15,892.399
2004-12-16,872.246
2004-12-17,852.185
2004-12-20,872.28
2004-12-21,881.843
2004-12-22,894.693
2004-12-23,906.356
2004-12-24,908.706
2004-12-27,906.907
2004-12-28,907.685
2004-12-29,905.216
2004-12-30,903.224
2004-12-31,900.739
2005-01-03,896.403
2005-01-04,890.729
2005-01-05,882.593
2005-01-06,875.646
2005-01-07,875.286
2005-01-10,890.209
2005-01-11,876.163
2005-01-12,875.566
2005-01-13,867.476
2005-01-14,865.161
2005-01-17,871.232
2005-01-18,861.056
2005-01-19,855.136
2005-01-20,824.851
2005-01-21,818.876
2005-01-24,816.667
2005-01-25,815.777
2005-01-26,833.738
2005-01-27,870.086
2005-01-28,864.253
2005-01-31,875.695
2005-02-01,883.807
2005-02-02,894.945
2005-02-03,893.768
2005-02-04,904.964
2005-02-07,898.108
2005-02-08,901.872
2005-02-09,901.679
2005-02-10,906.205
2005-02-11,915.731
2005-02-14,922.405
2005-02-15,923.185
2005-02-16,915.566
2005-02-17,911.499
2005-02-18,915.816
2005-02-21,914.784
2005-02-22,937.163
2005-02-23,918.687
2005-02-24,924.006
2005-02-25,943.569
2005-02-28,945.485
2005-03-01,940.462
2005-03-02,933.659
2005-03-03,928.563
2005-03-04,940.671
2005-03-07,939.078
2005-03-08,948.587
2005-03-09,946.388
2005-03-10,944.452
2005-03-11,946.954
2005-03-14,943.399
2005-03-15,949.315
2005-03-16,941.165
2005-03-17,944.584
2005-03-18,935.111
2005-03-21,920.617
2005-03-22,921.607
2005-03-23,896.45
2005-03-24,893.663
2005-03-25,893.663
2005-03-28,887.391
2005-03-29,892.15
2005-03-30,893.252
2005-03-31,901.625
2005-04-01,903.937
2005-04-04,879.416
2005-04-05,889.377
2005-04-06,890.715
2005-04-07,907.639
2005-04-08,916.267
2005-04-11,918.514
2005-04-12,903.512
2005-04-13,911.292
2005-04-14,902.323
2005-04-15,885.245
2005-04-18,878.915
2005-04-19,899.037
2005-04-20,914.06
2005-04-21,946.161
2005-04-22,959.867
2005-04-25,953.936
2005-04-26,940.709
2005-04-27,931.029
2005-04-28,931.298
2005-04-29,928.278
2005-05-02,932.242
2005-05-03,938.03
2005-05-04,966.062
2005-05-05,964.906
2005-05-06,981.748
2005-05-09,988.259
2005-05-10,985.383
2005-05-11,976.184
2005-05-12,981.655
2005-05-13,989.93
2005-05-16,994.872
2005-05-17,994.695
2005-05-18,1015.187
2005-05-19,1017.13
2005-05-20,1008.767
2005-05-23,1017.244
2005-05-24,1016.256
2005-05-25,999.025
2005-05-26,1000.969
2005-05-27,1004.618
2005-05-30,1001.03
2005-05-31,987.205
2005-06-01,1001.93
2005-06-02,1007.401
2005-06-03,1003.395
2005-06-06,992.302
2005-06-07,1005.19
2005-06-08,1007.029
2005-06-09,988.691
2005-06-10,993.254
2005-06-13,990.429
2005-06-14,998.349
2005-06-15,996.665
2005-06-16,1002.527
2005-06-17,1010.083
2005-06-20,1003.087
2005-06-21,1013.705
2005-06-22,1021.826
2005-06-23,1017.185
2005-06-24,1020.266
2005-06-27,999.273
2005-06-28,994.419
2005-06-29,1003.812
2005-06-30,993.737
2005-07-01,983.915
2005-07-04,979.183
