Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2002-12-04,2087.895
2002-12-05,2064.997
2002-12-06,2075.063
2002-12-09,2041.302
2002-12-10,2058.152
2002-12-11,2062.923
2002-12-12,2053.179
2002-12-13,2033.026
2002-12-16,2068.456
2002-12-17,2051.419
2002-12-18,2024.862
2002-12-19,2015.817
2002-12-20,2035.462
2002-12-23,2043.1
2002-12-24,2043.331
2002-12-25,2043.331
2002-12-26,2035.96
2002-12-27,2003.825
2002-12-30,2020.053
2002-12-31,2025.863
2003-01-01,2025.863
2003-01-02,2075.078
2003-01-03,2078.201
2003-01-06,2104.004
2003-01-07,2090.552
2003-01-08,2062.334
2003-01-09,2097.148
2003-01-10,2098.561
2003-01-13,2096.273
2003-01-14,2104.552
2003-01-15,2076.5
2003-01-16,2070.459
2003-01-17,2044.649
2003-01-20,2036.915
2003-01-21,2015.127
2003-01-22,1994.882
2003-01-23,2003.904
2003-01-24,1967.356
2003-01-27,1927.337
2003-01-28,1943.754
2003-01-29,1957.865
2003-01-30,1941.078
2003-01-31,1958.732
2003-02-03,1973.241
2003-02-04,1945.851
2003-02-05,1946.677
2003-02-06,1928.881
2003-02-07,1912.451
2003-02-10,1916.913
2003-02-11,1916.308
2003-02-12,1893.682
2003-02-13,1887.638
2003-02-14,1918.1
2003-02-17,1925.825
2003-02-18,1955.172
2003-02-19,1938.981
2003-02-20,1929.338
2003-02-21,1953.718
2003-02-24,1926.505
2003-02-25,1919.406
2003-02-26,1906.611
2003-02-27,1919.459
2003-02-28,1935.656
2003-03-03,1932.088
2003-03-04,1905.646
2003-03-05,1913.795
2003-03-06,1901.478
2003-03-07,1906.416
2003-03-10,1867.73
2003-03-11,1860.698
2003-03-12,1851.365
2003-03-13,1909.908
2003-03-14,1925.941
2003-03-17,1983.627
2003-03-18,1987.166
2003-03-19,2007.249
2003-03-20,2008.499
2003-03-21,2052.855
2003-03-24,1989.775
2003-03-25,2016.581
2003-03-26,2008.848
2003-03-27,2001.081
2003-03-28,1993.667
2003-03-31,1962.173
2003-04-01,1979.784
2003-04-02,2024.719
2003-04-03,2024.27
2003-04-04,2032.362
2003-04-07,2046.357
2003-04-08,2042.706
2003-04-09,2023.481
2003-04-10,2025.689
2003-04-11,2022.285
2003-04-14,2052.665
2003-04-15,2069.334
2003-04-16,2046.028
2003-04-17,2075.26
2003-04-18,2075.26
2003-04-21,2066.774
2003-04-22,2101.949
2003-04-23,2112.934
2003-04-24,2101.824
2003-04-25,2077.417
2003-04-28,2110.271
2003-04-29,2113.427
2003-04-30,2118.216
2003-05-01,2123.887
2003-05-02,2141.241
2003-05-05,2145.848
2003-05-06,2168.348
2003-05-07,2155.824
2003-05-08,2138.295
2003-05-09,2164.957
2003-05-12,2186.189
2003-05-13,2179.726
2003-05-14,2175.622
2003-05-15,2188.798
2003-05-16,2187.171
2003-05-19,2142.21
2003-05-20,2140.24
2003-05-21,2139.566
2003-05-22,2159.185
2003-05-23,2156.498
2003-05-26,2158.495
2003-05-27,2187.154
2003-05-28,2194.007
2003-05-29,2194.51
2003-05-30,2204.732
2003-06-02,2215.159
2003-06-03,2218.22
2003-06-04,2247.469
2003-06-05,2259.662
2003-06-06,2260.126
2003-06-09,2239.337
2003-06-10,2250.454
2003-06-11,2281.382
2003-06-12,2284.494
2003-06-13,2263.14
2003-06-16,2313.075
2003-06-17,2325.372
2003-06-18,2323.321
2003-06-19,2291.542
2003-06-20,2289.13
2003-06-23,2247.352
2003-06-24,2242.059
2003-06-25,2240.241
2003-06-26,2249.056
2003-06-27,2235.995
2003-06-30,2226.091
2003-07-01,2232.818
2003-07-02,2261.978
2003-07-03,2255.029
2003-07-04,2250.049
2003-07-07,2287.519
2003-07-08,2289.791
2003-07-09,2278.043
2003-07-10,2254.476
2003-07-11,2273.431
2003-07-14,2292.995
2003-07-15,2281.924
2003-07-16,2271.197
2003-07-17,2239.849
2003-07-18,2251.683
2003-07-21,2230.623
2003-07-22,2247.396
2003-07-23,2260.265
2003-07-24,2261.103
2003-07-25,2285.021
2003-07-28,2285.374
2003-07-29,2272.448
2003-07-30,2263.751
2003-07-31,2264.498
2003-08-01,2242.781
2003-08-04,2245.616
2003-08-05,2221.867
2003-08-06,2211.644
2003-08-07,2229.053
2003-08-08,2234.981
2003-08-11,2245.134
2003-08-12,2260.438
2003-08-13,2254.049
2003-08-14,2266.085
2003-08-15,2268.887
2003-08-18,2286.383
2003-08-19,2286.667
2003-08-20,2283.241
2003-08-21,2281.787
2003-08-22,2267.807
2003-08-25,2267.688
2003-08-26,2264.832
2003-08-27,2273.014
2003-08-28,2286.486
2003-08-29,2294.303
2003-09-01,2302.606
2003-09-02,2317.251
2003-09-03,2332.73
2003-09-04,2344.275
2003-09-05,2341.589
2003-09-08,2369.084
2003-09-09,2354.533
2003-09-10,2329.105
2003-09-11,2340.126
2003-09-12,2346.144
2003-09-15,2342.695
2003-09-16,2368.363
2003-09-17,2368.919
2003-09-18,2393.054
2003-09-19,2386.285
2003-09-22,2361.285
2003-09-23,2375.372
2003-09-24,2341.591
2003-09-25,2328.53
2003-09-26,2308.945
2003-09-29,2325.537
2003-09-30,2299.978
2003-10-01,2347.407
2003-10-02,2355.121
2003-10-03,2386.638
2003-10-06,2391.308
2003-10-07,2401.169
2003-10-08,2395.304
2003-10-09,2412.438
2003-10-10,2416.065
2003-10-13,2431.196
2003-10-14,2435.927
2003-10-15,2435.087
2003-10-16,2444.743
2003-10-17,2420.935
2003-10-20,2432.295
2003-10-21,2445.567
2003-10-22,2412.726
2003-10-23,2405.646
2003-10-24,2396.614
2003-10-27,2404.418
2003-10-28,2437.538
2003-10-29,2438.292
2003-10-30,2440.504
2003-10-31,2441.809
2003-11-03,2455.985
2003-11-04,2442.939
2003-11-05,2438.59
2003-11-06,2450.351
2003-11-07,2452.091
2003-11-10,2436.263
2003-11-11,2433.275
2003-11-12,2467.837
2003-11-13,2477.872
2003-11-14,2474.223
2003-11-17,2449.014
2003-11-18,2443.983
2003-11-19,2453.765
2003-11-20,2437.001
2003-11-21,2439.446
2003-11-24,2474.175
2003-11-25,2472.653
2003-11-26,2485.082
2003-11-27,2486.686
2003-11-28,2489.567
2003-12-01,2518.988
2003-12-02,2514.815
2003-12-03,2514.294
2003-12-04,2517.987
2003-12-05,2501.618
2003-12-08,2511.192
2003-12-09,2494.411
2003-12-10,2487.969
2003-12-11,2505.384
2003-12-12,2516.088
2003-12-15,2508.372
2003-12-16,2512.762
