Date,SWEDEN VALUE Standard (Large+Mid Cap)
2004-05-28,6841.464
2004-05-31,6841.464
2004-06-01,6806.079
2004-06-02,6858.515
2004-06-03,6887.609
2004-06-04,6944.596
2004-06-07,7043.867
2004-06-08,7020.937
2004-06-09,6880.619
2004-06-10,6861.149
2004-06-11,6839.971
2004-06-14,6812.782
2004-06-15,6831.016
2004-06-16,6815.189
2004-06-17,6809.99
2004-06-18,6864.42
2004-06-21,6851.006
2004-06-22,6815.411
2004-06-23,6875.052
2004-06-24,6993.927
2004-06-25,6976.639
2004-06-28,7030.427
2004-06-29,7003.291
2004-06-30,7002.457
2004-07-01,6965.626
2004-07-02,7019.195
2004-07-05,6989.043
2004-07-06,6936.834
2004-07-07,6988.29
2004-07-08,7023.585
2004-07-09,6994.65
2004-07-12,6937.879
2004-07-13,6987.11
2004-07-14,7043.677
2004-07-15,7020.295
2004-07-16,7056.423
2004-07-19,7007.745
2004-07-20,6961.523
2004-07-21,7004.366
2004-07-22,6886.678
2004-07-23,6781.196
2004-07-26,6805.317
2004-07-27,6803.475
2004-07-28,6776.883
2004-07-29,6838.111
2004-07-30,6842.736
2004-08-02,6834.959
2004-08-03,6866.044
2004-08-04,6815.622
2004-08-05,6863.253
2004-08-06,6863.266
2004-08-09,6781.545
2004-08-10,6882.658
2004-08-11,6752.226
2004-08-12,6776.323
2004-08-13,6781.676
2004-08-16,6825.12
2004-08-17,6808.673
2004-08-18,6884.789
2004-08-19,6907.048
2004-08-20,6885.024
2004-08-23,6949.493
2004-08-24,6921.423
2004-08-25,6951.048
2004-08-26,7042.764
2004-08-27,7016.974
2004-08-30,7005.247
2004-08-31,7050.881
2004-09-01,7129.282
2004-09-02,7127.627
2004-09-03,7123.953
2004-09-06,7140.957
2004-09-07,7175.665
2004-09-08,7208.787
2004-09-09,7178.679
2004-09-10,7271.306
2004-09-13,7340.001
2004-09-14,7345.081
2004-09-15,7221.373
2004-09-16,7217.271
2004-09-17,7224.38
2004-09-20,7225.227
2004-09-21,7298.598
2004-09-22,7275.407
2004-09-23,7240.127
2004-09-24,7204.646
2004-09-27,7188.013
2004-09-28,7200.84
2004-09-29,7378.143
2004-09-30,7437.819
2004-10-01,7552.626
2004-10-04,7538.624
2004-10-05,7601.449
2004-10-06,7566.623
2004-10-07,7523.834
2004-10-08,7607.132
2004-10-11,7635.373
2004-10-12,7505.016
2004-10-13,7527.336
2004-10-14,7551.156
2004-10-15,7575.053
2004-10-18,7586.607
2004-10-19,7666.82
2004-10-20,7680.535
2004-10-21,7663.805
2004-10-22,7712.304
2004-10-25,7665.341
2004-10-26,7695.866
2004-10-27,7790.794
2004-10-28,7793.8
2004-10-29,7780.95
2004-11-01,7886.56
2004-11-02,7926.712
2004-11-03,8012.476
2004-11-04,8057.017
2004-11-05,8118.245
2004-11-08,8116.113
2004-11-09,8099.266
2004-11-10,8217.073
2004-11-11,8281.731
2004-11-12,8394.211
2004-11-15,8396.869
2004-11-16,8363.346
2004-11-17,8496.225
2004-11-18,8446.117
2004-11-19,8492.64
2004-11-22,8423.97
2004-11-23,8469.121
2004-11-24,8567.287
2004-11-25,8700.233
2004-11-26,8756.736
2004-11-29,8790.102
2004-11-30,8748.099
2004-12-01,8812.498
2004-12-02,8761.986
2004-12-03,8816.726
2004-12-06,8841.84
2004-12-07,8872.973
2004-12-08,8640.045
2004-12-09,8571.242
2004-12-10,8604.95
2004-12-13,8724.995
2004-12-14,8674.745
2004-12-15,8748.121
2004-12-16,8662.87
2004-12-17,8587.342
2004-12-20,8739.037
2004-12-21,8765.505
2004-12-22,8834.861
2004-12-23,8921.131
2004-12-24,8974.225
2004-12-27,8995.836
2004-12-28,8980.966
2004-12-29,8972.446
2004-12-30,8953.764
2004-12-31,8911.591
2005-01-03,8947.859
2005-01-04,8795.028
2005-01-05,8722.447
2005-01-06,8625.552
2005-01-07,8645.047
2005-01-10,8785.851
2005-01-11,8764.382
2005-01-12,8687.178
2005-01-13,8681.575
2005-01-14,8656.505
2005-01-17,8680.224
2005-01-18,8636.413
2005-01-19,8661.215
2005-01-20,8525.975
2005-01-21,8535.151
2005-01-24,8445.19
2005-01-25,8456.463
2005-01-26,8527.248
2005-01-27,8490.837
2005-01-28,8353.727
2005-01-31,8444.778
2005-02-01,8523.118
2005-02-02,8572.967
2005-02-03,8512.033
2005-02-04,8575.918
2005-02-07,8573.859
2005-02-08,8505.962
2005-02-09,8587.287
2005-02-10,8575.946
2005-02-11,8733.383
2005-02-14,8779.899
2005-02-15,8875.141
2005-02-16,8809.907
2005-02-17,8891.67
2005-02-18,8804.585
2005-02-21,8821.118
2005-02-22,8884.216
2005-02-23,8914.003
2005-02-24,8989.471
2005-02-25,9069.238
2005-02-28,9180.9
2005-03-01,9157.586
2005-03-02,9123.337
2005-03-03,9164.502
2005-03-04,9346.177
2005-03-07,9272.119
2005-03-08,9362.656
2005-03-09,9335.446
2005-03-10,9220.405
2005-03-11,9307.309
2005-03-14,9260.226
2005-03-15,9286.032
2005-03-16,9220.956
2005-03-17,9183.711
2005-03-18,9072.183
2005-03-21,8934.257
2005-03-22,9045.038
2005-03-23,8920.866
2005-03-24,8935.916
2005-03-25,8935.916
2005-03-28,8874.45
2005-03-29,8872.868
2005-03-30,8868.839
2005-03-31,8884.759
2005-04-01,8936.632
2005-04-04,8815.839
2005-04-05,8906.933
2005-04-06,8953.341
2005-04-07,8957.79
2005-04-08,8920.365
2005-04-11,9020.7
2005-04-12,8949.432
2005-04-13,8975.949
2005-04-14,8934.104
2005-04-15,8877.615
2005-04-18,8777.242
2005-04-19,8818.769
2005-04-20,8860.191
2005-04-21,8847.051
2005-04-22,8951.878
2005-04-25,8924.998
2005-04-26,8797.459
2005-04-27,8572.729
2005-04-28,8413.628
2005-04-29,8391.652
2005-05-02,8429.478
2005-05-03,8433.869
2005-05-04,8451.165
2005-05-05,8447.049
2005-05-06,8457.351
2005-05-09,8462.289
2005-05-10,8475.026
2005-05-11,8381.373
2005-05-12,8370.715
2005-05-13,8354.585
2005-05-16,8296.028
2005-05-17,8335.556
2005-05-18,8435.896
2005-05-19,8438.987
2005-05-20,8410.773
2005-05-23,8441.197
2005-05-24,8439.505
2005-05-25,8442.198
2005-05-26,8460.916
2005-05-27,8511.019
2005-05-30,8500.791
2005-05-31,8424.361
2005-06-01,8397.75
2005-06-02,8338.326
2005-06-03,8312.038
2005-06-06,8318.686
2005-06-07,8383.047
