Date,HONG KONG LARGE GROWTH Large Cap
2004-12-22,674.084
2004-12-23,680.513
2004-12-24,678.455
2004-12-27,678.455
2004-12-28,680.8
2004-12-29,682.158
2004-12-30,679.854
2004-12-31,681.971
2005-01-03,683.696
2005-01-04,674.53
2005-01-05,659.127
2005-01-06,656.611
2005-01-07,650.227
2005-01-10,651.506
2005-01-11,649.257
2005-01-12,654.8
2005-01-13,656.599
2005-01-14,652.369
2005-01-17,658.196
2005-01-18,657.058
2005-01-19,658.01
2005-01-20,650.723
2005-01-21,647.216
2005-01-24,642.908
2005-01-25,649.71
2005-01-26,654.169
2005-01-27,652.585
2005-01-28,653.802
2005-01-31,657.84
2005-02-01,650.88
2005-02-02,649.727
2005-02-03,649.202
2005-02-04,650.465
2005-02-07,658.868
2005-02-08,659.213
2005-02-09,659.213
2005-02-10,659.213
2005-02-11,659.192
2005-02-14,663.435
2005-02-15,662.483
2005-02-16,665.572
2005-02-17,659.971
2005-02-18,666.182
2005-02-21,668.834
2005-02-22,667.307
2005-02-23,662.717
2005-02-24,675.776
2005-02-25,681.604
2005-02-28,679.789
2005-03-01,678.091
2005-03-02,671.568
2005-03-03,671.878
2005-03-04,662.857
2005-03-07,662.441
2005-03-08,666.638
2005-03-09,674.306
2005-03-10,670.228
2005-03-11,671.382
2005-03-14,669.246
2005-03-15,663.405
2005-03-16,669.195
2005-03-17,668.015
2005-03-18,669.216
2005-03-21,671.573
2005-03-22,668.554
2005-03-23,659.787
2005-03-24,658.314
2005-03-25,658.314
2005-03-28,658.314
2005-03-29,649.454
2005-03-30,649.821
2005-03-31,653.401
2005-04-01,656.753
2005-04-04,660.42
2005-04-05,660.395
2005-04-06,661.044
2005-04-07,663.086
2005-04-08,666.275
2005-04-11,664.819
2005-04-12,665.817
2005-04-13,670.88
2005-04-14,671.562
2005-04-15,664.245
2005-04-18,653.453
2005-04-19,658.069
2005-04-20,660.881
2005-04-21,666.386
2005-04-22,671.735
2005-04-25,675.01
2005-04-26,683.029
2005-04-27,682.03
2005-04-28,683.683
2005-04-29,684.885
2005-05-02,684.797
2005-05-03,683.946
2005-05-04,686.419
2005-05-05,690.959
2005-05-06,689.243
2005-05-09,692.528
2005-05-10,690.099
2005-05-11,684.925
2005-05-12,687.358
2005-05-13,682.9
2005-05-16,682.812
2005-05-17,674.206
2005-05-18,673.632
2005-05-19,675.955
2005-05-20,676.241
2005-05-23,675.636
