Date,EM (EMERGING MARKETS) IMI VALUE IMI (Large+Mid+Small Cap)
2024-05-31,1622.107
2024-06-28,1674.68
2024-07-31,1685.799
2024-08-30,1711.954
2024-09-30,1805.085
2024-10-31,1711.495
2024-11-29,1657.075
2024-12-31,1642.206
2025-01-31,1656.905
2025-02-28,1669.01
2025-03-31,1693.667
2025-04-30,1709.326
2025-05-30,1786.384
2025-06-30,1875.625
2025-07-31,1901.992
2025-08-29,1909.877
2025-09-30,2027.657
