Date,SWEDEN Standard (Large+Mid Cap)
2003-11-11,8704.896
2003-11-12,8879.162
2003-11-13,9032.728
2003-11-14,9170.81
2003-11-17,8968.672
2003-11-18,9001.995
2003-11-19,8919.248
2003-11-20,8860.721
2003-11-21,8882.742
2003-11-24,8914.867
2003-11-25,8924.484
2003-11-26,8937.222
2003-11-27,9037.232
2003-11-28,9032.853
2003-12-01,9149.632
2003-12-02,9270.536
2003-12-03,9340.148
2003-12-04,9387.535
2003-12-05,9391.896
2003-12-08,9374.963
2003-12-09,9351.15
2003-12-10,9317.43
2003-12-11,9239.565
2003-12-12,9367.003
2003-12-15,9425.91
2003-12-16,9293.135
2003-12-17,9209.962
2003-12-18,9275.438
2003-12-19,9297.336
2003-12-22,9350.982
2003-12-23,9502.784
2003-12-24,9511.24
2003-12-25,9511.24
2003-12-26,9500.12
2003-12-29,9708.287
2003-12-30,9711.779
2003-12-31,9771.235
2004-01-01,9771.235
2004-01-02,9905.361
2004-01-05,9953.286
2004-01-06,9958.572
2004-01-07,9823.811
2004-01-08,10034.85
2004-01-09,10206.939
2004-01-12,10225.217
2004-01-13,10235.742
2004-01-14,10185.321
2004-01-15,10173.762
2004-01-16,10139.541
2004-01-19,10202.639
2004-01-20,10243.455
2004-01-21,10265.958
2004-01-22,10423.508
2004-01-23,10393.102
2004-01-26,10335.203
2004-01-27,10366.269
2004-01-28,10302.68
2004-01-29,9983.475
2004-01-30,10140.479
2004-02-02,10126.842
2004-02-03,10217.7
2004-02-04,10163.931
2004-02-05,10303.699
2004-02-06,10812.48
2004-02-09,10875.168
2004-02-10,11005.053
2004-02-11,11032.556
2004-02-12,11054.703
2004-02-13,10936.091
2004-02-16,10987.992
2004-02-17,11059.216
2004-02-18,11120.283
2004-02-19,11076.755
2004-02-20,10868.469
2004-02-23,10908.784
2004-02-24,10775.171
2004-02-25,10684.441
2004-02-26,10664.244
2004-02-27,10669.626
2004-03-01,10786.417
2004-03-02,10778.16
2004-03-03,10763.991
2004-03-04,10776.221
2004-03-05,11053.204
2004-03-08,11042.605
2004-03-09,10882.618
2004-03-10,10665.171
2004-03-11,10310.089
2004-03-12,10279.513
2004-03-15,10227.787
2004-03-16,10345.181
2004-03-17,10390.056
2004-03-18,10306.748
2004-03-19,10329.907
2004-03-22,10070.816
2004-03-23,10140.759
2004-03-24,9972.587
2004-03-25,10153.193
2004-03-26,10116.239
2004-03-29,10356.331
2004-03-30,10340.87
2004-03-31,10477.767
2004-04-01,10882.965
2004-04-02,10829.357
2004-04-05,10888.546
2004-04-06,10870.333
2004-04-07,11051.356
2004-04-08,11029.364
2004-04-09,11029.364
2004-04-12,10973.219
2004-04-13,10847.833
2004-04-14,10716.658
2004-04-15,10661.49
2004-04-16,10785.796
2004-04-19,10833.697
2004-04-20,10936.787
2004-04-21,10779.54
2004-04-22,10991.476
2004-04-23,10841.472
2004-04-26,10806.703
2004-04-27,10834.162
2004-04-28,10591.473
2004-04-29,10600.833
2004-04-30,10499.143
2004-05-03,10561.086
2004-05-04,10651.813
2004-05-05,10880.86
2004-05-06,10548.964
2004-05-07,10408.342
2004-05-10,9860.699
2004-05-11,10008.873
2004-05-12,9901.831
2004-05-13,10142.064
2004-05-14,10070.985
2004-05-17,10008.878
2004-05-18,10089.548
2004-05-19,10419.492
2004-05-20,10342.495
2004-05-21,10372.123
2004-05-24,10362.441
2004-05-25,10336.869
2004-05-26,10435.035
2004-05-27,10716.682
2004-05-28,10683.396
2004-05-31,10683.396
2004-06-01,10581.395
2004-06-02,10673.632
2004-06-03,10673.276
2004-06-04,10837.93
2004-06-07,11058.646
2004-06-08,11039.418
2004-06-09,10770.643
2004-06-10,10715.617
2004-06-11,10655.504
2004-06-14,10563.022
2004-06-15,10638.735
2004-06-16,10643.656
2004-06-17,10630.919
2004-06-18,10661.255
2004-06-21,10635.753
2004-06-22,10554.273
2004-06-23,10753.036
2004-06-24,11004.601
2004-06-25,10977.398
2004-06-28,11078.882
2004-06-29,11024.955
2004-06-30,11013.744
2004-07-01,11022.022
2004-07-02,11065.988
2004-07-05,10972.782
2004-07-06,10862.944
2004-07-07,10968.203
2004-07-08,10981.916
2004-07-09,10875.093
2004-07-12,10721.997
2004-07-13,10762.228
2004-07-14,10929.394
2004-07-15,10731.903
2004-07-16,10847.7
2004-07-19,10711.778
2004-07-20,10670.332
2004-07-21,10862.364
2004-07-22,10625.295
2004-07-23,10452.651
2004-07-26,10375.657
2004-07-27,10467.969
2004-07-28,10407.056
2004-07-29,10542.371
2004-07-30,10527.725
2004-08-02,10484.237
2004-08-03,10539.455
2004-08-04,10448.803
2004-08-05,10534.74
2004-08-06,10457.69
2004-08-09,10328.729
2004-08-10,10498.182
2004-08-11,10206.561
2004-08-12,10142.887
2004-08-13,10201.386
2004-08-16,10300.475
2004-08-17,10360.121
2004-08-18,10448.718
