Date,AUSTRALIA GROWTH Standard (Large+Mid Cap)
2004-12-30,1904.387
2004-12-31,1917.848
2005-01-03,1900.6
2005-01-04,1877.438
2005-01-05,1859.54
2005-01-06,1844.37
2005-01-07,1856.301
2005-01-10,1862.355
2005-01-11,1872.954
2005-01-12,1886.443
2005-01-13,1880.513
2005-01-14,1866.258
2005-01-17,1875.203
2005-01-18,1861.983
2005-01-19,1872.968
2005-01-20,1860.274
2005-01-21,1875.604
2005-01-24,1888.315
2005-01-25,1886.713
2005-01-26,1910.895
2005-01-27,1940.713
2005-01-28,1931.482
2005-01-31,1938.403
2005-02-01,1945.205
2005-02-02,1954.02
2005-02-03,1950.34
2005-02-04,1954.132
2005-02-07,1971.28
2005-02-08,1947.571
2005-02-09,1941.845
2005-02-10,1968.442
2005-02-11,1976.915
2005-02-14,1987.934
2005-02-15,1977.736
2005-02-16,1982.993
2005-02-17,2015.418
2005-02-18,2020.987
2005-02-21,2032.022
2005-02-22,2032.302
2005-02-23,2013.034
2005-02-24,2008.746
2005-02-25,2025.069
2005-02-28,2090.69
2005-03-01,2082.375
2005-03-02,2066.927
2005-03-03,2082.263
2005-03-04,2110.161
2005-03-07,2123.426
2005-03-08,2138.954
2005-03-09,2131.621
2005-03-10,2116.987
2005-03-11,2112.09
2005-03-14,2117.209
2005-03-15,2115.184
2005-03-16,2131.73
2005-03-17,2127.255
2005-03-18,2139.043
2005-03-21,2144.742
2005-03-22,2129.139
2005-03-23,2054.198
2005-03-24,2024.824
2005-03-25,2024.824
2005-03-28,2017.61
2005-03-29,2001.69
2005-03-30,2002.15
2005-03-31,2011.617
2005-04-01,2027.377
2005-04-04,2003.941
2005-04-05,2015.572
2005-04-06,1998.494
2005-04-07,2016.507
2005-04-08,2041.731
2005-04-11,2032.145
2005-04-12,2033.637
2005-04-13,2043.14
2005-04-14,1986.218
2005-04-15,1937.396
2005-04-18,1890.585
2005-04-19,1934.459
2005-04-20,1953.234
2005-04-21,1948.514
2005-04-22,1973.549
2005-04-25,1963.337
2005-04-26,1952.792
2005-04-27,1941.533
2005-04-28,1930.475
2005-04-29,1927.074
2005-05-02,1943.09
2005-05-03,1917.429
2005-05-04,1902.717
2005-05-05,1919.42
2005-05-06,1918.355
2005-05-09,1920.18
2005-05-10,1924.834
2005-05-11,1926.121
2005-05-12,1912.231
2005-05-13,1883.676
2005-05-16,1843.987
2005-05-17,1841.679
2005-05-18,1862.601
2005-05-19,1892.293
2005-05-20,1879.374
2005-05-23,1907.041
2005-05-24,1932.025
2005-05-25,1928.44
2005-05-26,1923.255
2005-05-27,1943.296
2005-05-30,1955.977
2005-05-31,1929.003
2005-06-01,1937.343
2005-06-02,1974.215
2005-06-03,1994.814
2005-06-06,2020.13
2005-06-07,2025.919
2005-06-08,2030.04
