Date,BELGIUM VALUE Standard (Large+Mid Cap)
2003-03-12,4207.364
2003-03-13,4779.569
2003-03-14,5215.184
2003-03-17,5456.008
2003-03-18,5135.273
2003-03-19,5190.822
2003-03-20,5219.376
2003-03-21,5404.676
2003-03-24,5120.435
2003-03-25,5229.808
2003-03-26,5286.852
2003-03-27,5145.82
2003-03-28,5127.449
2003-03-31,4996.79
2003-04-01,5030.991
2003-04-02,5242.881
2003-04-03,5370.36
2003-04-04,5478.68
2003-04-07,5791.905
2003-04-08,5689.895
2003-04-09,5762.869
2003-04-10,5697.548
2003-04-11,5753.414
2003-04-14,5910.821
2003-04-15,6132.608
2003-04-16,6158.671
2003-04-17,6174.38
2003-04-18,6174.38
2003-04-21,6147.765
2003-04-22,6205.171
2003-04-23,6324.723
2003-04-24,6074.11
2003-04-25,6035.065
2003-04-28,6158.703
2003-04-29,6123.083
2003-04-30,6230.336
2003-05-01,6287.559
2003-05-02,6263.241
2003-05-05,6403.284
2003-05-06,6539.2
2003-05-07,6560.407
2003-05-08,6479.138
2003-05-09,6633.345
2003-05-12,6693.073
2003-05-13,6628.741
2003-05-14,6663.132
2003-05-15,6673.01
2003-05-16,6797.419
2003-05-19,6512.187
2003-05-20,6590.42
2003-05-21,6488.244
2003-05-22,6587.471
2003-05-23,6651.771
2003-05-26,6728.117
2003-05-27,6731.084
2003-05-28,6688.874
2003-05-29,6828.038
2003-05-30,6949.308
2003-06-02,6977.132
2003-06-03,6961.464
2003-06-04,7016.769
2003-06-05,7056.653
2003-06-06,7154.553
2003-06-09,7068.451
2003-06-10,7161.832
2003-06-11,7430.325
2003-06-12,7415.092
2003-06-13,7320.542
2003-06-16,7510.539
2003-06-17,7495.227
2003-06-18,7479.491
2003-06-19,7240.77
2003-06-20,7351.544
2003-06-23,7182.981
2003-06-24,7140.251
2003-06-25,7191.163
2003-06-26,7061.657
2003-06-27,7100.62
2003-06-30,7056.735
2003-07-01,6906.861
2003-07-02,7066.571
2003-07-03,7077.966
2003-07-04,6960.599
2003-07-07,7165.86
2003-07-08,7230.314
2003-07-09,7158.475
2003-07-10,7075.795
2003-07-11,7207.528
2003-07-14,7297.32
2003-07-15,7222.92
2003-07-16,7131.202
2003-07-17,7123.46
2003-07-18,7189.384
2003-07-21,7127.012
2003-07-22,7180.891
2003-07-23,7174.17
2003-07-24,7309.803
2003-07-25,7257.916
2003-07-28,7347.364
2003-07-29,7358.477
2003-07-30,7350.374
2003-07-31,7422.73
2003-08-01,7410.552
2003-08-04,7436.507
2003-08-05,7470.343
2003-08-06,7359.345
2003-08-07,7420.593
2003-08-08,7370.731
2003-08-11,7376.1
2003-08-12,7400.537
2003-08-13,7373.199
2003-08-14,7477.327
2003-08-15,7582.879
2003-08-18,7554.383
2003-08-19,7657.527
2003-08-20,7565.346
2003-08-21,7526.556
2003-08-22,7408.862
2003-08-25,7424.284
2003-08-26,7312.542
2003-08-27,7331.02
2003-08-28,7164.286
2003-08-29,7035.083
2003-09-01,7212.118
2003-09-02,7099.385
2003-09-03,7236.323
2003-09-04,7268.3
2003-09-05,7313.325
2003-09-08,7427.015
2003-09-09,7428.719
2003-09-10,7339.581
2003-09-11,7387.537
2003-09-12,7454.966
2003-09-15,7521.432
2003-09-16,7520.93
2003-09-17,7572.402
2003-09-18,7625.975
2003-09-19,7565.196
2003-09-22,7643.347
2003-09-23,7564.444
2003-09-24,7517.451
2003-09-25,7546.841
2003-09-26,7457.413
2003-09-29,7450.086
2003-09-30,7402.954
2003-10-01,7574.75
2003-10-02,7601.343
2003-10-03,7714.693
2003-10-06,7747.472
2003-10-07,7823.706
2003-10-08,7830.209
2003-10-09,7850.972
2003-10-10,7881.425
2003-10-13,7901.237
2003-10-14,7866.023
2003-10-15,7942.342
2003-10-16,7918.557
2003-10-17,7867.548
2003-10-20,7910.816
2003-10-21,7914.022
2003-10-22,7874.52
2003-10-23,7771.626
2003-10-24,7752.513
2003-10-27,7794.369
2003-10-28,7792.677
2003-10-29,7730.6
2003-10-30,7825.357
2003-10-31,7945.451
2003-11-03,7905.182
2003-11-04,7869.398
2003-11-05,7892.057
2003-11-06,7893.61
2003-11-07,7983.232
2003-11-10,7978.426
2003-11-11,7946.806
2003-11-12,7977.91
2003-11-13,8028.545
2003-11-14,8154.28
2003-11-17,7965.266
2003-11-18,8014.605
2003-11-19,7989.845
2003-11-20,7930.164
2003-11-21,7988.54
2003-11-24,8071.738
2003-11-25,8053.461
2003-11-26,8067.757
2003-11-27,8117.12
2003-11-28,8168.086
2003-12-01,8223.572
2003-12-02,8316.634
2003-12-03,8414.813
2003-12-04,8405.117
2003-12-05,8426.422
2003-12-08,8399.253
2003-12-09,8415.362
2003-12-10,8396.684
2003-12-11,8350.882
2003-12-12,8409.216
2003-12-15,8439.441
2003-12-16,8434.76
2003-12-17,8419.431
2003-12-18,8514.969
2003-12-19,8527.588
2003-12-22,8553.481
2003-12-23,8599.044
2003-12-24,8586.765
2003-12-25,8586.765
2003-12-26,8583.317
2003-12-29,8685.435
2003-12-30,8746.369
2003-12-31,8822.491
2004-01-01,8822.491
2004-01-02,8971.205
2004-01-05,9138.292
2004-01-06,9233.832
2004-01-07,9247.901
2004-01-08,9398.715
2004-01-09,9456.795
2004-01-12,9483.926
