Date,Open,High,Low,Close,Volume
2020-11-20,70.13,70.13,70.13,70.13,0.0
2020-11-23,70.42,70.42,70.42,70.42,0.0
2020-11-24,71.49,71.49,71.49,71.49,0.0
2020-11-25,71.36,71.36,71.36,71.36,0.0
2020-11-27,71.73,71.73,71.73,71.73,0.0
2020-11-30,71.21,71.21,71.21,71.21,0.0
2020-12-01,72.15,72.15,72.15,72.15,0.0
2020-12-02,72.62,72.62,72.62,72.62,0.0
2020-12-03,72.72,72.72,72.72,72.72,0.0
2020-12-04,73.42,73.42,73.42,73.42,0.0
2020-12-07,73.26,73.26,73.26,73.26,0.0
2020-12-08,73.43,73.43,73.43,73.43,0.0
2020-12-09,73.13,73.13,73.13,73.13,0.0
2020-12-10,72.92,72.92,72.92,72.92,0.0
2020-12-11,72.74,72.74,72.74,72.74,0.0
2020-12-14,72.35,72.35,72.35,72.35,0.0
2020-12-15,73.22,73.22,73.22,73.22,0.0
2020-12-16,73.44,73.44,73.44,73.44,0.0
2020-12-17,73.9,73.9,73.9,73.9,0.0
2020-12-18,73.83,73.83,73.83,73.83,0.0
2020-12-21,73.46,73.46,73.46,73.46,0.0
2020-12-22,73.4,73.4,73.4,73.4,0.0
2020-12-23,73.55,73.55,73.55,73.55,0.0
2020-12-24,73.67,73.67,73.67,73.67,0.0
2020-12-29,74.38,74.38,74.38,74.38,0.0
2020-12-30,74.51,74.51,74.51,74.51,0.0
2020-12-31,74.84,74.84,74.84,74.84,0.0
2021-01-04,73.95,73.95,73.95,73.95,0.0
2021-01-05,74.19,74.19,74.19,74.19,0.0
2021-01-06,74.72,74.72,74.72,74.72,0.0
2021-01-07,75.61,75.61,75.61,75.61,0.0
2021-01-08,75.91,75.91,75.91,75.91,0.0
2021-01-11,75.51,75.51,75.51,75.51,0.0
2021-01-12,75.38,75.38,75.38,75.38,0.0
2021-01-13,75.41,75.41,75.41,75.41,0.0
2021-01-14,75.13,75.13,75.13,75.13,0.0
2021-01-15,74.73,74.73,74.73,74.73,0.0
2021-01-19,75.58,75.58,75.58,75.58,0.0
2021-01-20,76.22,76.22,76.22,76.22,0.0
2021-01-21,76.41,76.41,76.41,76.41,0.0
2021-01-22,76.08,76.08,76.08,76.08,0.0
2021-01-25,76.15,76.15,76.15,76.15,0.0
2021-01-26,76.24,76.24,76.24,76.24,0.0
2021-01-27,74.6,74.6,74.6,74.6,0.0
2021-01-28,75.11,75.11,75.11,75.11,0.0
2021-01-29,73.54,73.54,73.54,73.54,0.0
2021-02-01,74.49,74.49,74.49,74.49,0.0
2021-02-02,75.4,75.4,75.4,75.4,0.0
2021-02-03,75.52,75.52,75.52,75.52,0.0
2021-02-04,76.28,76.28,76.28,76.28,0.0
2021-02-05,76.45,76.45,76.45,76.45,0.0
2021-02-08,76.89,76.89,76.89,76.89,0.0
2021-02-09,77.03,77.03,77.03,77.03,0.0
2021-02-10,76.97,76.97,76.97,76.97,0.0
2021-02-11,77.34,77.34,77.34,77.34,0.0
2021-02-12,77.62,77.62,77.62,77.62,0.0
2021-02-16,77.72,77.72,77.72,77.72,0.0
2021-02-17,77.71,77.71,77.71,77.71,0.0
2021-02-18,77.56,77.56,77.56,77.56,0.0
2021-02-19,77.31,77.31,77.31,77.31,0.0
2021-02-22,77.09,77.09,77.09,77.09,0.0
2021-02-23,77.36,77.36,77.36,77.36,0.0
2021-02-24,78.01,78.01,78.01,78.01,0.0
2021-02-25,76.64,76.64,76.64,76.64,0.0
2021-02-26,75.85,75.85,75.85,75.85,0.0
2021-03-01,77.39,77.39,77.39,77.39,0.0
2021-03-02,77.06,77.06,77.06,77.06,0.0
2021-03-03,76.64,76.64,76.64,76.64,0.0
2021-03-04,75.96,75.96,75.96,75.96,0.0
2021-03-05,77.17,77.17,77.17,77.17,0.0
2021-03-08,77.18,77.18,77.18,77.18,0.0
2021-03-09,77.76,77.76,77.76,77.76,0.0
2021-03-10,77.85,77.85,77.85,77.85,0.0
2021-03-11,78.55,78.55,78.55,78.55,0.0
2021-03-12,78.57,78.57,78.57,78.57,0.0
2021-03-15,78.84,78.84,78.84,78.84,0.0
2021-03-16,79.0,79.0,79.0,79.0,0.0
2021-03-18,78.66,78.66,78.66,78.66,0.0
2021-03-19,78.33,78.33,78.33,78.33,0.0
2021-03-22,78.72,78.72,78.72,78.72,0.0
2021-03-23,78.21,78.21,78.21,78.21,0.0
2021-03-24,77.99,77.99,77.99,77.99,0.0
2021-03-25,78.45,78.45,78.45,78.45,0.0
2021-03-26,79.87,79.87,79.87,79.87,0.0
2021-03-29,79.86,79.86,79.86,79.86,0.0
2021-03-30,79.57,79.57,79.57,79.57,0.0
2021-03-31,79.67,79.67,79.67,79.67,0.0
2021-04-01,80.65,80.65,80.65,80.65,0.0
2021-04-06,81.7,81.7,81.7,81.7,0.0
2021-04-07,81.98,81.98,81.98,81.98,0.0
2021-04-08,82.46,82.46,82.46,82.46,0.0
2021-04-09,83.0,83.0,83.0,83.0,0.0
2021-04-12,82.76,82.76,82.76,82.76,0.0
2021-04-13,82.69,82.69,82.69,82.69,0.0
2021-04-14,82.89,82.89,82.89,82.89,0.0
2021-04-15,83.83,83.83,83.83,83.83,0.0
2021-04-16,84.29,84.29,84.29,84.29,0.0
2021-04-19,84.04,84.04,84.04,84.04,0.0
2021-04-20,83.57,83.57,83.57,83.57,0.0
2021-04-21,84.15,84.15,84.15,84.15,0.0
2021-04-22,83.67,83.67,83.67,83.67,0.0
2021-04-23,84.38,84.38,84.38,84.38,0.0
2021-04-26,84.56,84.56,84.56,84.56,0.0
2021-04-27,84.49,84.49,84.49,84.49,0.0
2021-04-28,84.34,84.34,84.34,84.34,0.0
2021-04-29,85.02,85.02,85.02,85.02,0.0
2021-04-30,84.28,84.28,84.28,84.28,0.0
2021-05-04,84.18,84.18,84.18,84.18,0.0
2021-05-05,84.27,84.27,84.27,84.27,0.0
2021-05-06,84.92,84.92,84.92,84.92,0.0
2021-05-07,85.65,85.65,85.65,85.65,0.0
2021-05-10,84.95,84.95,84.95,84.95,0.0
2021-05-11,83.9,83.9,83.9,83.9,0.0
2021-05-12,82.44,82.44,82.44,82.44,0.0
2021-05-13,83.41,83.41,83.41,83.41,0.0
2021-05-14,84.6,84.6,84.6,84.6,0.0
2021-05-17,84.33,84.33,84.33,84.33,0.0
2021-05-18,83.99,83.99,83.99,83.99,0.0
2021-05-19,83.7,83.7,83.7,83.7,0.0
2021-05-20,84.43,84.43,84.43,84.43,0.0
2021-05-21,84.43,84.43,84.43,84.43,0.0
2021-05-24,85.16,85.16,85.16,85.16,0.0
2021-05-25,85.25,85.25,85.25,85.25,0.0
2021-05-26,85.31,85.31,85.31,85.31,0.0
2021-05-27,85.25,85.25,85.25,85.25,0.0
2021-05-28,85.47,85.47,85.47,85.47,0.0
2021-06-01,85.27,85.27,85.27,85.27,0.0
2021-06-02,85.25,85.25,85.25,85.25,0.0
2021-06-03,84.98,84.98,84.98,84.98,0.0
2021-06-04,85.76,85.76,85.76,85.76,0.0
2021-06-08,85.76,85.76,85.76,85.76,0.0
2021-06-09,85.68,85.68,85.68,85.68,0.0
2021-06-10,85.97,85.97,85.97,85.97,0.0
2021-06-11,86.16,86.16,86.16,86.16,0.0
2021-06-14,86.36,86.36,86.36,86.36,0.0
2021-06-15,86.33,86.33,86.33,86.33,0.0
2021-06-16,85.79,85.79,85.79,85.79,0.0
2021-06-17,85.58,85.58,85.58,85.58,0.0
2021-06-18,84.2,84.2,84.2,84.2,0.0
2021-06-21,85.36,85.36,85.36,85.36,0.0
2021-06-22,85.62,85.62,85.62,85.62,0.0
2021-06-23,85.4,85.4,85.4,85.4,0.0
2021-06-24,86.09,86.09,86.09,86.09,0.0
2021-06-25,86.38,86.38,86.38,86.38,0.0
2021-06-28,86.41,86.41,86.41,86.41,0.0
2021-06-29,86.35,86.35,86.35,86.35,0.0
2021-06-30,86.3,86.3,86.3,86.3,0.0
2021-07-01,86.77,86.77,86.77,86.77,0.0
2021-07-02,87.5,87.5,87.5,87.5,0.0
2021-07-06,87.31,87.31,87.31,87.31,0.0
2021-07-07,87.7,87.7,87.7,87.7,0.0
2021-07-08,87.03,87.03,87.03,87.03,0.0
2021-07-09,87.95,87.95,87.95,87.95,0.0
2021-07-12,88.11,88.11,88.11,88.11,0.0
2021-07-13,88.19,88.19,88.19,88.19,0.0
2021-07-14,88.61,88.61,88.61,88.61,0.0
2021-07-15,88.25,88.25,88.25,88.25,0.0
2021-07-16,87.72,87.72,87.72,87.72,0.0
2021-07-19,86.25,86.25,86.25,86.25,0.0
2021-07-20,87.26,87.26,87.26,87.26,0.0
2021-07-21,88.25,88.25,88.25,88.25,0.0
2021-07-22,88.12,88.12,88.12,88.12,0.0
2021-07-23,88.9,88.9,88.9,88.9,0.0
2021-07-26,88.86,88.86,88.86,88.86,0.0
2021-07-27,88.65,88.65,88.65,88.65,0.0
2021-07-28,88.73,88.73,88.73,88.73,0.0
2021-07-29,89.02,89.02,89.02,89.02,0.0
2021-07-30,88.83,88.83,88.83,88.83,0.0
2021-08-03,89.43,89.43,89.43,89.43,0.0
2021-08-04,89.15,89.15,89.15,89.15,0.0
2021-08-05,89.46,89.46,89.46,89.46,0.0
2021-08-06,89.61,89.61,89.61,89.61,0.0
2021-08-09,89.43,89.43,89.43,89.43,0.0
2021-08-10,89.33,89.33,89.33,89.33,0.0
2021-08-11,89.34,89.34,89.34,89.34,0.0
2021-08-12,89.48,89.48,89.48,89.48,0.0
2021-08-13,89.68,89.68,89.68,89.68,0.0
2021-08-16,90.07,90.07,90.07,90.07,0.0
2021-08-17,89.69,89.69,89.69,89.69,0.0
2021-08-18,88.81,88.81,88.81,88.81,0.0
2021-08-19,88.94,88.94,88.94,88.94,0.0
2021-08-20,89.36,89.36,89.36,89.36,0.0
2021-08-23,89.86,89.86,89.86,89.86,0.0
2021-08-24,89.98,89.98,89.98,89.98,0.0
2021-08-25,90.2,90.2,90.2,90.2,0.0
2021-08-26,89.85,89.85,89.85,89.85,0.0
2021-08-27,90.52,90.52,90.52,90.52,0.0
2021-08-31,90.49,90.49,90.49,90.49,0.0
2021-09-01,90.47,90.47,90.47,90.47,0.0
2021-09-02,90.61,90.61,90.61,90.61,0.0
2021-09-03,90.59,90.59,90.59,90.59,0.0
2021-09-07,90.16,90.16,90.16,90.16,0.0
2021-09-08,89.83,89.83,89.83,89.83,0.0
2021-09-09,89.6,89.6,89.6,89.6,0.0
2021-09-10,88.96,88.96,88.96,88.96,0.0
2021-09-13,89.35,89.35,89.35,89.35,0.0
2021-09-14,89.02,89.02,89.02,89.02,0.0
2021-09-15,89.65,89.65,89.65,89.65,0.0
2021-09-16,89.49,89.49,89.49,89.49,0.0
2021-09-17,88.8,88.8,88.8,88.8,0.0
2021-09-20,87.75,87.75,87.75,87.75,0.0
2021-09-21,87.94,87.94,87.94,87.94,0.0
2021-09-22,88.39,88.39,88.39,88.39,0.0
2021-09-23,89.42,89.42,89.42,89.42,0.0
2021-09-24,89.5,89.5,89.5,89.5,0.0
2021-09-27,89.28,89.28,89.28,89.28,0.0
2021-09-28,87.28,87.28,87.28,87.28,0.0
2021-09-29,87.4,87.4,87.4,87.4,0.0
2021-09-30,86.28,86.28,86.28,86.28,0.0
2021-10-01,87.34,87.34,87.34,87.34,0.0
2021-10-04,86.21,86.21,86.21,86.21,0.0
2021-10-05,87.0,87.0,87.0,87.0,0.0
2021-10-06,87.05,87.05,87.05,87.05,0.0
2021-10-07,87.94,87.94,87.94,87.94,0.0
2021-10-08,88.05,88.05,88.05,88.05,0.0
2021-10-11,87.6,87.6,87.6,87.6,0.0
2021-10-12,87.08,87.08,87.08,87.08,0.0
2021-10-13,87.33,87.33,87.33,87.33,0.0
2021-10-14,88.49,88.49,88.49,88.49,0.0
2021-10-15,89.31,89.31,89.31,89.31,0.0
2021-10-18,89.25,89.25,89.25,89.25,0.0
2021-10-19,89.92,89.92,89.92,89.92,0.0
2021-10-20,90.31,90.31,90.31,90.31,0.0
2021-10-21,90.46,90.46,90.46,90.46,0.0
2021-10-22,90.59,90.59,90.59,90.59,0.0
2021-10-26,90.75,90.75,90.75,90.75,0.0
2021-10-27,90.5,90.5,90.5,90.5,0.0
2021-10-28,91.2,91.2,91.2,91.2,0.0
2021-10-29,91.42,91.42,91.42,91.42,0.0
2021-11-01,91.34,91.34,91.34,91.34,0.0
2021-11-02,91.66,91.66,91.66,91.66,0.0
2021-11-03,92.23,92.23,92.23,92.23,0.0
2021-11-04,92.42,92.42,92.42,92.42,0.0
2021-11-05,92.7,92.7,92.7,92.7,0.0
2021-11-08,92.83,92.83,92.83,92.83,0.0
2021-11-09,92.83,92.83,92.83,92.83,0.0
2021-11-10,92.39,92.39,92.39,92.39,0.0
2021-11-11,92.22,92.22,92.22,92.22,0.0
2021-11-12,92.74,92.74,92.74,92.74,0.0
2021-11-15,92.59,92.59,92.59,92.59,0.0
2021-11-16,92.65,92.65,92.65,92.65,0.0
2021-11-17,92.5,92.5,92.5,92.5,0.0
2021-11-18,92.41,92.41,92.41,92.41,0.0
2021-11-19,91.76,91.76,91.76,91.76,0.0
2021-11-22,91.29,91.29,91.29,91.29,0.0
2021-11-23,91.5,91.5,91.5,91.5,0.0
2021-11-24,91.48,91.48,91.48,91.48,0.0
2021-11-26,89.23,89.23,89.23,89.23,0.0
2021-11-29,90.32,90.32,90.32,90.32,0.0
2021-11-30,88.52,88.52,88.52,88.52,0.0
2021-12-01,88.42,88.42,88.42,88.42,0.0
2021-12-02,89.01,89.01,89.01,89.01,0.0
2021-12-03,88.31,88.31,88.31,88.31,0.0
2021-12-06,89.67,89.67,89.67,89.67,0.0
2021-12-07,91.54,91.54,91.54,91.54,0.0
2021-12-08,91.73,91.73,91.73,91.73,0.0
2021-12-09,91.5,91.5,91.5,91.5,0.0
2021-12-10,92.86,92.86,92.86,92.86,0.0
2021-12-13,92.26,92.26,92.26,92.26,0.0
2021-12-14,91.58,91.58,91.58,91.58,0.0
2021-12-15,92.76,92.76,92.76,92.76,0.0
2021-12-16,92.66,92.66,92.66,92.66,0.0
2021-12-17,91.6,91.6,91.6,91.6,0.0
2021-12-20,90.35,90.35,90.35,90.35,0.0
2021-12-21,91.57,91.57,91.57,91.57,0.0
2021-12-22,92.5,92.5,92.5,92.5,0.0
2021-12-23,93.01,93.01,93.01,93.01,0.0
2021-12-29,94.24,94.24,94.24,94.24,0.0
2021-12-30,94.05,94.05,94.05,94.05,0.0
2021-12-31,93.95,93.95,93.95,93.95,0.0
2022-01-04,94.51,94.51,94.51,94.51,0.0
2022-01-05,93.22,93.22,93.22,93.22,0.0
2022-01-06,92.77,92.77,92.77,92.77,0.0
2022-01-07,92.56,92.56,92.56,92.56,0.0
2022-01-10,92.77,92.77,92.77,92.77,0.0
2022-01-11,93.53,93.53,93.53,93.53,0.0
2022-01-12,93.75,93.75,93.75,93.75,0.0
2022-01-13,92.83,92.83,92.83,92.83,0.0
2022-01-14,93.28,93.28,93.28,93.28,0.0
2022-01-18,91.42,91.42,91.42,91.42,0.0
2022-01-19,90.51,90.51,90.51,90.51,0.0
2022-01-20,90.0,90.0,90.0,90.0,0.0
2022-01-21,88.76,88.76,88.76,88.76,0.0
2022-01-24,88.57,88.57,88.57,88.57,0.0
2022-01-25,87.78,87.78,87.78,87.78,0.0
2022-01-26,87.98,87.98,87.98,87.98,0.0
2022-01-27,87.45,87.45,87.45,87.45,0.0
2022-01-28,88.91,88.91,88.91,88.91,0.0
2022-01-31,90.1,90.1,90.1,90.1,0.0
2022-02-01,90.57,90.57,90.57,90.57,0.0
2022-02-02,91.55,91.55,91.55,91.55,0.0
2022-02-03,89.57,89.57,89.57,89.57,0.0
2022-02-04,89.67,89.67,89.67,89.67,0.0
2022-02-07,89.35,89.35,89.35,89.35,0.0
2022-02-08,90.04,90.04,90.04,90.04,0.0
2022-02-09,91.41,91.41,91.41,91.41,0.0
2022-02-10,90.3,90.3,90.3,90.3,0.0
