Date,CANADA SMALL CAP Small Cap
2004-04-20,185.151
2004-04-21,183.048
2004-04-22,185.023
2004-04-23,183.731
2004-04-26,184.562
2004-04-27,182.549
2004-04-28,175.161
2004-04-29,175.248
2004-04-30,175.641
2004-05-03,176.012
2004-05-04,180.32
2004-05-05,180.47
2004-05-06,177.79
2004-05-07,173.919
2004-05-10,169.465
2004-05-11,171.309
2004-05-12,171.332
2004-05-13,170.418
2004-05-14,171.994
2004-05-17,172.225
2004-05-18,172.215
2004-05-19,176.665
2004-05-20,177.358
2004-05-21,178.102
2004-05-24,178.661
2004-05-25,180.512
2004-05-26,180.684
2004-05-27,183.581
2004-05-28,182.547
2004-05-31,183.848
2004-06-01,183.229
2004-06-02,184.064
2004-06-03,182.562
2004-06-04,184.235
2004-06-07,185.36
2004-06-08,185.155
2004-06-09,182.344
2004-06-10,182.366
2004-06-11,181.617
2004-06-14,179.102
2004-06-15,179.089
2004-06-16,179.432
2004-06-17,180.126
2004-06-18,181.307
2004-06-21,181.406
2004-06-22,182.651
2004-06-23,182.045
2004-06-24,185.106
2004-06-25,183.443
2004-06-28,184.154
2004-06-29,184.028
2004-06-30,186.706
2004-07-01,187.897
2004-07-02,187.456
2004-07-05,186.466
2004-07-06,186.83
2004-07-07,188.113
2004-07-08,187.85
2004-07-09,188.234
2004-07-12,187.201
2004-07-13,184.968
2004-07-14,186.776
2004-07-15,185.029
2004-07-16,188.006
2004-07-19,186.691
2004-07-20,185.505
2004-07-21,183.535
2004-07-22,182.614
2004-07-23,180.885
2004-07-26,177.921
2004-07-27,177.105
2004-07-28,179.325
2004-07-29,180.759
2004-07-30,180.788
2004-08-02,180.313
2004-08-03,181.876
2004-08-04,179.885
2004-08-05,177.737
2004-08-06,177.066
2004-08-09,174.448
2004-08-10,175.956
2004-08-11,173.544
2004-08-12,172.4
2004-08-13,175.238
2004-08-16,177.74
2004-08-17,176.989
2004-08-18,176.672
2004-08-19,180.186
2004-08-20,180.887
2004-08-23,179.381
2004-08-24,178.179
