Date,UNITED KINGDOM LARGE VALUE Large Cap
2003-11-03,520.292
2003-11-04,517.567
2003-11-05,514.663
2003-11-06,514.044
2003-11-07,520.232
2003-11-10,516.828
2003-11-11,514.837
2003-11-12,520.46
2003-11-13,522.461
2003-11-14,523.841
2003-11-17,517.311
2003-11-18,524.578
2003-11-19,520.991
2003-11-20,520.574
2003-11-21,522.741
2003-11-24,530.372
2003-11-25,532.419
2003-11-26,533.702
2003-11-27,533.589
2003-11-28,533.201
2003-12-01,541.614
2003-12-02,537.818
2003-12-03,540.688
2003-12-04,536.626
2003-12-05,537.168
2003-12-08,539.215
2003-12-09,547.138
2003-12-10,543.95
2003-12-11,542.273
2003-12-12,546.605
2003-12-15,547.717
2003-12-16,546.02
2003-12-17,554.404
2003-12-18,562.572
2003-12-19,566.772
2003-12-22,568.863
2003-12-23,569.809
2003-12-24,572.274
2003-12-25,572.274
2003-12-26,572.904
2003-12-29,573.373
2003-12-30,577.734
2003-12-31,581.376
2004-01-01,581.376
2004-01-02,585.046
2004-01-05,591.227
2004-01-06,596.068
2004-01-07,589.475
2004-01-08,594.428
2004-01-09,591.702
2004-01-12,591.705
2004-01-13,588.563
2004-01-14,586.723
2004-01-15,584.319
2004-01-16,580.224
2004-01-19,579.925
2004-01-20,586.218
2004-01-21,593.89
2004-01-22,592.01
2004-01-23,586.883
2004-01-26,578.605
2004-01-27,576.917
2004-01-28,586.765
2004-01-29,574.077
2004-01-30,570.559
2004-02-02,568.013
2004-02-03,574.372
2004-02-04,571.748
2004-02-05,571.013
2004-02-06,578.176
2004-02-09,587.772
2004-02-10,583.672
2004-02-11,585.748
2004-02-12,587.377
2004-02-13,590.78
2004-02-16,592.482
2004-02-17,601.463
2004-02-18,599.536
2004-02-19,606.445
2004-02-20,601.027
2004-02-23,600.758
2004-02-24,602.687
2004-02-25,604.921
2004-02-26,598.484
2004-02-27,594.878
2004-03-01,603.474
2004-03-02,595.833
2004-03-03,589.947
2004-03-04,595.059
2004-03-05,599.24
2004-03-08,599.164
2004-03-09,596.39
2004-03-10,588.157
2004-03-11,574.533
2004-03-12,574.424
2004-03-15,570.775
2004-03-16,580.349
2004-03-17,584.282
2004-03-18,581.616
2004-03-19,584.011
2004-03-22,576.447
2004-03-23,576.609
2004-03-24,573.612
2004-03-25,573.458
2004-03-26,570.113
2004-03-29,579.711
2004-03-30,584.957
2004-03-31,585.412
2004-04-01,594.212
2004-04-02,593.77
2004-04-05,593.648
2004-04-06,598.481
2004-04-07,598.345
2004-04-08,598.974
2004-04-09,598.974
2004-04-12,598.974
2004-04-13,598.536
2004-04-14,587.074
2004-04-15,586.93
2004-04-16,595.019
2004-04-19,596.882
2004-04-20,596.144
2004-04-21,585.592
2004-04-22,587.823
2004-04-23,588.432
2004-04-26,594.639
2004-04-27,597.385
2004-04-28,589.204
2004-04-29,587.783
2004-04-30,582.579
2004-05-03,583.006
2004-05-04,596.354
2004-05-05,595.631
2004-05-06,593.401
2004-05-07,588.308
2004-05-10,571.908
2004-05-11,574.411
2004-05-12,575.676
2004-05-13,578.082
2004-05-14,576.692
2004-05-17,572.785
2004-05-18,571.753
2004-05-19,583.847
2004-05-20,575.841
2004-05-21,582.559
2004-05-24,583.263
2004-05-25,592.442
2004-05-26,596.275
2004-05-27,603.906
2004-05-28,600.056
2004-05-31,600.056
2004-06-01,601.23
2004-06-02,606.188
2004-06-03,606.924
2004-06-04,607.234
2004-06-07,612.562
2004-06-08,613.594
2004-06-09,606.854
2004-06-10,609.292
2004-06-11,604.513
2004-06-14,598.624
2004-06-15,602.15
2004-06-16,609.731
2004-06-17,611.366
2004-06-18,614.629
2004-06-21,610.477
2004-06-22,602.361
2004-06-23,605.569
2004-06-24,609.997
2004-06-25,606.809
2004-06-28,613.724
2004-06-29,605.832
2004-06-30,601.551
2004-07-01,597.344
2004-07-02,598.024
2004-07-05,599.084
2004-07-06,598.877
2004-07-07,601.055
2004-07-08,606.042
2004-07-09,609.138
2004-07-12,607.259
2004-07-13,603.71
2004-07-14,604.243
2004-07-15,598.111
2004-07-16,605.991
2004-07-19,603.64
2004-07-20,601.105
2004-07-21,601.583
2004-07-22,594.289
2004-07-23,594.459
2004-07-26,591.981
2004-07-27,590.726
2004-07-28,596.795
2004-07-29,604.444
2004-07-30,604.154
2004-08-02,609.462
2004-08-03,609.981
2004-08-04,608.301
2004-08-05,608.226
2004-08-06,606.699
2004-08-09,604.241
2004-08-10,610.055
2004-08-11,600.937
2004-08-12,601.249
2004-08-13,602.575
2004-08-16,608.503
2004-08-17,604.061
2004-08-18,603.286
2004-08-19,605.777
2004-08-20,604.73
2004-08-23,605.115
2004-08-24,599.983
2004-08-25,602.328
2004-08-26,605.458
2004-08-27,611.29
2004-08-30,611.12
2004-08-31,608.74
2004-09-01,615.342
2004-09-02,617.345
2004-09-03,616.831
2004-09-06,618.632
2004-09-07,617.35
2004-09-08,619.463
2004-09-09,618.549
2004-09-10,625.717
2004-09-13,625.552
2004-09-14,625.182
2004-09-15,618.541
2004-09-16,624.401
2004-09-17,630.08
2004-09-20,628.752
2004-09-21,637.433
2004-09-22,634.029
2004-09-23,631.94
2004-09-24,636.782
2004-09-27,632.493
2004-09-28,636.783
2004-09-29,633.462
2004-09-30,634.071
2004-10-01,642.448
2004-10-04,641.721
2004-10-05,647.262
2004-10-06,648.642
2004-10-07,650.427
2004-10-08,653.153
2004-10-11,652.939
2004-10-12,643.405
2004-10-13,640.353
2004-10-14,645.177
2004-10-15,646.439
2004-10-18,645.18
2004-10-19,647.249
2004-10-20,645.174
2004-10-21,647.844
2004-10-22,648.2
2004-10-25,645.311
2004-10-26,646.216
2004-10-27,651.473
2004-10-28,652.348
2004-10-29,648.458
2004-11-01,656.206
2004-11-02,660.995
2004-11-03,667.658
2004-11-04,668.044
2004-11-05,671.258
2004-11-08,672.529
2004-11-09,671.295
2004-11-10,670.094
2004-11-11,674.76
2004-11-12,679.541
2004-11-15,681.042
2004-11-16,675.486
2004-11-17,679.212
2004-11-18,678.384
2004-11-19,678.314
2004-11-22,674.106
2004-11-23,680.155
2004-11-24,680.332
2004-11-25,688.305
2004-11-26,688.487
2004-11-29,689.412
2004-11-30,689.789
2004-12-01,700.603
2004-12-02,698.475
2004-12-03,703.347
2004-12-06,702.047
2004-12-07,702.404
2004-12-08,693.229
2004-12-09,688.083
2004-12-10,690.179
2004-12-13,698.137
2004-12-14,699.772
2004-12-15,710.114
2004-12-16,704.473
2004-12-17,701.636
2004-12-20,712.738
2004-12-21,703.695
2004-12-22,706.05
2004-12-23,709.551
2004-12-24,714.572
2004-12-27,717.354
2004-12-28,715.592
2004-12-29,713.183
2004-12-30,714.505
2004-12-31,711.799
2005-01-03,705.589
2005-01-04,705.02
2005-01-05,701.546
2005-01-06,699.454
2005-01-07,700.317
2005-01-10,702.397
2005-01-11,698.705
2005-01-12,700.146
2005-01-13,699.058
2005-01-14,696.083
2005-01-17,695.005
2005-01-18,696.209
2005-01-19,699.328
2005-01-20,694.172
2005-01-21,693.882
2005-01-24,699.143
2005-01-25,701.817
2005-01-26,709.308
2005-01-27,711.701
2005-01-28,705.85
2005-01-31,710.74
2005-02-01,717.842
2005-02-02,719.32
2005-02-03,714.376
2005-02-04,723.402
2005-02-07,721.555
2005-02-08,720.08
2005-02-09,718.948
2005-02-10,727.481
2005-02-11,731.669
2005-02-14,738.157
2005-02-15,740.021
2005-02-16,738.317
2005-02-17,743.461
2005-02-18,744.963
2005-02-21,745.66
2005-02-22,745.123
2005-02-23,739.32
2005-02-24,736.983
2005-02-25,746.14
2005-02-28,742.904
2005-03-01,743.63
2005-03-02,739.318
2005-03-03,740.661
2005-03-04,752.724
2005-03-07,744.806
2005-03-08,749.767
2005-03-09,745.434
2005-03-10,738.236
2005-03-11,742.654
2005-03-14,737.888
2005-03-15,743.487
2005-03-16,739.735
2005-03-17,734.246
2005-03-18,733.433
2005-03-21,727.681
2005-03-22,729.31
2005-03-23,714.241
2005-03-24,714.133
2005-03-25,714.133
2005-03-28,712.51
2005-03-29,718.235
2005-03-30,716.606
2005-03-31,718.384
2005-04-01,721.207
2005-04-04,713.531
2005-04-05,719.914
2005-04-06,720.787
2005-04-07,726.322
2005-04-08,725.749
2005-04-11,728.107
2005-04-12,721.831
2005-04-13,725.198
2005-04-14,717.859
2005-04-15,712.968
2005-04-18,706.587
2005-04-19,715.284
2005-04-20,710.799
2005-04-21,707.976
2005-04-22,714.565
2005-04-25,717.635
2005-04-26,713.171
2005-04-27,705.539
2005-04-28,704.527
2005-04-29,706.116
2005-05-02,699.886
2005-05-03,706.917
2005-05-04,714.684
2005-05-05,721.567
2005-05-06,720.25
2005-05-09,715.237
2005-05-10,713.176
2005-05-11,707.64
2005-05-12,705.601
2005-05-13,701.196
2005-05-16,691.465
2005-05-17,695.207
2005-05-18,702.377
2005-05-19,706.263
2005-05-20,701.058
2005-05-23,705.438
2005-05-24,707.357
2005-05-25,708.645
2005-05-26,704.125
2005-05-27,702.356
2005-05-30,702.53
2005-05-31,698.134
2005-06-01,702.721
2005-06-02,702.966
