Date,EM (EMERGING MARKETS) GROWTH Standard (Large+Mid Cap)
2004-02-10,111.213
2004-02-11,112.016
2004-02-12,113.254
2004-02-13,113.726
2004-02-16,113.625
2004-02-17,114.646
2004-02-18,114.464
2004-02-19,113.353
2004-02-20,112.614
2004-02-23,112.044
2004-02-24,111.116
2004-02-25,111.021
2004-02-26,111.461
2004-02-27,112.825
2004-03-01,114.575
2004-03-02,115.249
2004-03-03,113.841
2004-03-04,114.707
2004-03-05,115.386
2004-03-08,114.551
2004-03-09,113.95
2004-03-10,111.961
2004-03-11,110.449
2004-03-12,109.825
2004-03-15,109.315
2004-03-16,109.259
2004-03-17,110.639
2004-03-18,111.745
2004-03-19,112.456
2004-03-22,110.56
2004-03-23,109.709
2004-03-24,110.034
2004-03-25,109.523
2004-03-26,110.403
2004-03-29,111.76
2004-03-30,112.714
2004-03-31,114.026
2004-04-01,114.938
2004-04-02,115.017
2004-04-05,115.901
2004-04-06,116.934
2004-04-07,117.376
2004-04-08,117.433
2004-04-09,116.878
2004-04-12,117.737
2004-04-13,117.112
2004-04-14,115.331
2004-04-15,114.411
2004-04-16,114.138
2004-04-19,114.021
2004-04-20,114.226
2004-04-21,113.095
2004-04-22,112.228
2004-04-23,113.687
2004-04-26,112.791
2004-04-27,112.079
2004-04-28,109.761
2004-04-29,106.547
2004-04-30,104.436
2004-05-03,104.368
2004-05-04,105.753
2004-05-05,105.226
2004-05-06,103.253
2004-05-07,102.026
2004-05-10,97.158
2004-05-11,97.874
2004-05-12,99.521
2004-05-13,98.389
2004-05-14,96.775
2004-05-17,93.69
2004-05-18,95.4
2004-05-19,99.496
2004-05-20,98.282
2004-05-21,99.539
2004-05-24,100.485
2004-05-25,100.287
2004-05-26,101.214
2004-05-27,102.9
2004-05-28,103.299
2004-05-31,102.527
2004-06-01,102.611
2004-06-02,101.936
2004-06-03,99.324
2004-06-04,99.831
2004-06-07,102.801
2004-06-08,102.828
2004-06-09,101.611
2004-06-10,100.679
2004-06-11,98.633
2004-06-14,96.923
2004-06-15,97.422
2004-06-16,97.4
2004-06-17,98.357
2004-06-18,98.112
2004-06-21,98.61
2004-06-22,98.164
2004-06-23,98.86
2004-06-24,100.937
2004-06-25,101.774
2004-06-28,101.108
2004-06-29,100.905
2004-06-30,101.955
2004-07-01,102.016
2004-07-02,101.159
2004-07-05,101.089
2004-07-06,100.935
2004-07-07,101.396
2004-07-08,100.306
2004-07-09,101.012
2004-07-12,101.006
2004-07-13,101.236
2004-07-14,100.086
2004-07-15,99.505
2004-07-16,100.524
2004-07-19,100.835
2004-07-20,99.959
2004-07-21,100.455
2004-07-22,99.294
2004-07-23,98.747
2004-07-26,98.124
2004-07-27,98.411
2004-07-28,98.254
2004-07-29,98.14
2004-07-30,99.325
2004-08-02,98.789
2004-08-03,99.055
2004-08-04,98.571
2004-08-05,99.521
2004-08-06,98.986
2004-08-09,98.93
2004-08-10,98.974
2004-08-11,98.082
2004-08-12,98.593
2004-08-13,99.018
2004-08-16,99.162
2004-08-17,99.745
2004-08-18,100.217
2004-08-19,101.941
2004-08-20,101.721
2004-08-23,101.582
2004-08-24,101.71
2004-08-25,102.187
2004-08-26,103.212
2004-08-27,103.38
2004-08-30,103.564
2004-08-31,103.687
2004-09-01,104.461
2004-09-02,104.72
2004-09-03,103.638
2004-09-06,104.099
2004-09-07,104.131
2004-09-08,104.395
2004-09-09,104.535
2004-09-10,105.682
2004-09-13,106.554
2004-09-14,107.618
2004-09-15,107.228
2004-09-16,108.232
2004-09-17,108.392
2004-09-20,108.933
2004-09-21,109.817
2004-09-22,108.847
2004-09-23,108.416
2004-09-24,108.172
2004-09-27,107.466
2004-09-28,107.976
2004-09-29,108.386
2004-09-30,108.949
2004-10-01,110.294
2004-10-04,112.702
2004-10-05,112.524
2004-10-06,112.561
2004-10-07,112.645
2004-10-08,112.404
2004-10-11,111.596
2004-10-12,109.587
2004-10-13,108.714
2004-10-14,108.292
2004-10-15,108.718
2004-10-18,108.546
2004-10-19,109.116
2004-10-20,107.762
2004-10-21,108.371
2004-10-22,108.914
2004-10-25,108.241
2004-10-26,108.635
2004-10-27,109.471
2004-10-28,109.984
2004-10-29,110.636
2004-11-01,111.062
2004-11-02,111.585
2004-11-03,113.322
2004-11-04,113.532
2004-11-05,114.216
2004-11-08,113.358
2004-11-09,113.765
2004-11-10,114.564
2004-11-11,114.749
2004-11-12,115.847
2004-11-15,116.982
2004-11-16,116.87
2004-11-17,118.687
2004-11-18,119.058
2004-11-19,118.452
2004-11-22,117.157
2004-11-23,117.744
2004-11-24,118.473
2004-11-25,118.902
2004-11-26,119.233
2004-11-29,119.869
2004-11-30,120.389
2004-12-01,120.179
2004-12-02,120.839
2004-12-03,120.69
2004-12-06,120.856
2004-12-07,120.181
2004-12-08,118.473
2004-12-09,117.515
2004-12-10,116.871
2004-12-13,117.834
2004-12-14,119.265
2004-12-15,120.891
2004-12-16,121.508
2004-12-17,121.378
2004-12-20,122.348
2004-12-21,122.908
2004-12-22,122.945
2004-12-23,123.257
2004-12-24,123.563
2004-12-27,123.841
2004-12-28,124.199
2004-12-29,124.989
2004-12-30,125.437
2004-12-31,126.314
2005-01-03,126.626
2005-01-04,124.122
2005-01-05,122.074
2005-01-06,120.182
2005-01-07,120.612
2005-01-10,120.725
2005-01-11,121.082
