Date,SWEDEN IMI GROWTH IMI (Large+Mid+Small Cap)
2003-10-01,336.155
2003-10-02,337.459
2003-10-03,344.334
2003-10-06,348.819
2003-10-07,352.113
2003-10-08,355.436
2003-10-09,355.737
2003-10-10,355.23
2003-10-13,357.091
2003-10-14,361.576
2003-10-15,358.572
2003-10-16,356.371
2003-10-17,353.52
2003-10-20,352.567
2003-10-21,354.94
2003-10-22,350.164
2003-10-23,349.489
2003-10-24,353.115
2003-10-27,355.666
2003-10-28,357.511
2003-10-29,359.405
2003-10-30,358.291
2003-10-31,352.702
2003-11-03,350.528
2003-11-04,352.996
2003-11-05,347.369
2003-11-06,349.133
2003-11-07,358.091
2003-11-10,355.645
2003-11-11,353.442
2003-11-12,359.599
2003-11-13,365.93
2003-11-14,371.798
2003-11-17,367.152
2003-11-18,369.784
2003-11-19,366.629
2003-11-20,364.704
2003-11-21,364.706
2003-11-24,366.179
2003-11-25,365.266
2003-11-26,365.724
2003-11-27,368.719
2003-11-28,368.352
2003-12-01,374.0
2003-12-02,379.905
2003-12-03,382.16
2003-12-04,385.16
2003-12-05,383.064
2003-12-08,381.295
2003-12-09,379.303
2003-12-10,376.985
2003-12-11,374.17
2003-12-12,378.389
2003-12-15,378.985
2003-12-16,372.147
2003-12-17,369.601
2003-12-18,374.966
2003-12-19,377.41
2003-12-22,378.145
2003-12-23,383.926
2003-12-24,384.268
2003-12-25,384.268
2003-12-26,383.818
2003-12-29,394.955
2003-12-30,394.88
2003-12-31,397.297
2004-01-01,397.297
2004-01-02,402.934
2004-01-05,404.727
2004-01-06,404.942
2004-01-07,400.123
2004-01-08,419.226
2004-01-09,430.695
2004-01-12,434.411
2004-01-13,433.828
2004-01-14,430.517
2004-01-15,430.364
2004-01-16,433.194
2004-01-19,437.127
2004-01-20,436.456
2004-01-21,435.178
2004-01-22,439.096
2004-01-23,438.075
2004-01-26,435.727
2004-01-27,440.683
2004-01-28,436.896
2004-01-29,423.22
2004-01-30,434.093
2004-02-02,434.404
2004-02-03,440.052
2004-02-04,438.936
2004-02-05,447.677
2004-02-06,481.079
2004-02-09,486.625
2004-02-10,497.809
2004-02-11,498.189
2004-02-12,500.598
2004-02-13,495.03
2004-02-16,499.917
2004-02-17,500.899
2004-02-18,508.051
2004-02-19,504.096
2004-02-20,492.108
2004-02-23,494.139
2004-02-24,485.876
2004-02-25,484.362
2004-02-26,486.136
2004-02-27,489.004
2004-03-01,492.403
2004-03-02,493.857
2004-03-03,495.354
2004-03-04,495.507
2004-03-05,509.242
2004-03-08,508.989
2004-03-09,497.245
2004-03-10,485.387
2004-03-11,464.876
2004-03-12,464.362
2004-03-15,462.937
2004-03-16,469.059
2004-03-17,472.829
2004-03-18,466.007
2004-03-19,466.732
2004-03-22,451.432
2004-03-23,453.894
2004-03-24,447.376
2004-03-25,456.816
2004-03-26,453.672
2004-03-29,468.17
2004-03-30,467.189
2004-03-31,471.992
2004-04-01,493.528
2004-04-02,491.969
2004-04-05,495.583
2004-04-06,493.376
2004-04-07,504.412
2004-04-08,501.856
2004-04-09,501.856
2004-04-12,499.302
2004-04-13,492.11
2004-04-14,483.318
2004-04-15,482.531
2004-04-16,486.08
2004-04-19,488.577
2004-04-20,496.063
2004-04-21,488.31
2004-04-22,499.959
2004-04-23,486.492
2004-04-26,480.729
2004-04-27,481.749
2004-04-28,467.934
2004-04-29,468.933
2004-04-30,463.374
2004-05-03,467.461
2004-05-04,470.107
2004-05-05,482.532
2004-05-06,468.441
2004-05-07,460.942
2004-05-10,433.829
2004-05-11,441.129
2004-05-12,434.376
2004-05-13,445.073
2004-05-14,441.892
2004-05-17,436.277
2004-05-18,440.828
2004-05-19,457.898
2004-05-20,454.514
2004-05-21,456.136
2004-05-24,455.127
2004-05-25,452.301
2004-05-26,458.488
2004-05-27,471.113
2004-05-28,470.035
2004-05-31,470.035
2004-06-01,463.431
2004-06-02,467.754
2004-06-03,466.14
2004-06-04,476.465
2004-06-07,488.629
2004-06-08,488.366
2004-06-09,474.6
2004-06-10,471.158
2004-06-11,467.14
2004-06-14,461.566
2004-06-15,466.138
2004-06-16,467.157
2004-06-17,466.384
2004-06-18,465.216
2004-06-21,464.002
2004-06-22,459.426
2004-06-23,471.852
2004-06-24,485.868
2004-06-25,484.667
2004-06-28,489.897
2004-06-29,486.713
2004-06-30,486.028
