Date,CANADA LARGE VALUE Large Cap
2005-01-04,569.038
2005-01-05,562.464
2005-01-06,557.99
2005-01-07,554.464
2005-01-10,558.204
2005-01-11,560.549
2005-01-12,567.867
2005-01-13,564.133
2005-01-14,559.053
2005-01-17,559.202
2005-01-18,557.027
2005-01-19,553.607
2005-01-20,548.647
2005-01-21,550.441
2005-01-24,552.202
2005-01-25,547.565
2005-01-26,553.703
2005-01-27,549.98
2005-01-28,543.974
2005-01-31,547.359
2005-02-01,547.535
2005-02-02,550.02
2005-02-03,547.988
2005-02-04,546.429
2005-02-07,549.601
2005-02-08,552.362
2005-02-09,553.311
2005-02-10,562.409
2005-02-11,564.077
2005-02-14,567.919
2005-02-15,566.464
2005-02-16,565.972
2005-02-17,573.167
2005-02-18,575.423
2005-02-21,577.005
2005-02-22,571.657
2005-02-23,567.97
2005-02-24,564.595
2005-02-25,575.379
2005-02-28,577.269
2005-03-01,574.454
2005-03-02,578.434
2005-03-03,578.875
2005-03-04,588.826
2005-03-07,587.578
2005-03-08,598.056
2005-03-09,595.35
2005-03-10,593.731
2005-03-11,590.647
2005-03-14,590.905
2005-03-15,594.161
2005-03-16,592.945
2005-03-17,594.221
2005-03-18,588.563
2005-03-21,583.368
2005-03-22,588.915
2005-03-23,579.086
2005-03-24,576.969
2005-03-25,576.969
2005-03-28,573.195
2005-03-29,575.408
2005-03-30,578.635
2005-03-31,588.384
2005-04-01,584.384
2005-04-04,580.242
2005-04-05,583.272
2005-04-06,585.025
2005-04-07,582.141
2005-04-08,579.577
2005-04-11,579.146
2005-04-12,579.665
2005-04-13,577.397
2005-04-14,573.261
2005-04-15,566.564
2005-04-18,566.634
2005-04-19,568.54
2005-04-20,568.721
2005-04-21,570.521
2005-04-22,569.661
2005-04-25,566.242
2005-04-26,563.753
2005-04-27,563.895
2005-04-28,563.758
2005-04-29,566.558
2005-05-02,569.665
2005-05-03,567.616
2005-05-04,576.348
2005-05-05,574.934
2005-05-06,578.323
2005-05-09,582.549
2005-05-10,580.793
2005-05-11,571.6
2005-05-12,567.41
2005-05-13,557.662
2005-05-16,557.925
2005-05-17,558.496
2005-05-18,564.749
2005-05-19,567.536
2005-05-20,566.837
2005-05-23,569.972
2005-05-24,569.686
2005-05-25,562.536
2005-05-26,564.034
2005-05-27,566.997
2005-05-30,572.218
2005-05-31,570.672
2005-06-01,573.621
2005-06-02,571.806
2005-06-03,575.802
2005-06-06,579.336
2005-06-07,579.051
2005-06-08,586.07
2005-06-09,583.121
2005-06-10,588.201
2005-06-13,584.193
2005-06-14,581.92
2005-06-15,591.695
2005-06-16,596.752
2005-06-17,596.821
2005-06-20,603.186
2005-06-21,601.167
2005-06-22,609.894
2005-06-23,607.901
2005-06-24,610.084
2005-06-27,611.01
2005-06-28,612.564
2005-06-29,614.281
2005-06-30,605.809
2005-07-01,597.997
2005-07-04,599.6
2005-07-05,604.318
2005-07-06,610.142
2005-07-07,614.873
2005-07-08,625.997
2005-07-11,629.412
2005-07-12,634.564
2005-07-13,633.015
2005-07-14,627.637
2005-07-15,623.737
2005-07-18,626.152
2005-07-19,631.059
2005-07-20,633.695
2005-07-21,637.214
2005-07-22,641.117
2005-07-25,640.275
2005-07-26,636.735
2005-07-27,640.796
2005-07-28,640.248
2005-07-29,636.208
2005-08-01,643.027
2005-08-02,655.67
2005-08-03,646.5
2005-08-04,644.305
2005-08-05,635.934
2005-08-08,638.279
2005-08-09,635.973
2005-08-10,644.037
2005-08-11,650.998
2005-08-12,653.507
2005-08-15,651.859
2005-08-16,646.591
2005-08-17,641.681
2005-08-18,624.309
2005-08-19,632.578
2005-08-22,636.969
2005-08-23,635.651
2005-08-24,640.533
2005-08-25,650.252
2005-08-26,644.663
2005-08-29,650.969
2005-08-30,655.252
2005-08-31,661.686
2005-09-01,670.546
2005-09-02,665.017
2005-09-05,664.206
2005-09-06,667.41
2005-09-07,666.974
2005-09-08,665.166
2005-09-09,675.797
2005-09-12,667.873
2005-09-13,670.351
2005-09-14,676.5
2005-09-15,674.736
2005-09-16,678.48
2005-09-19,689.674
2005-09-20,689.317
2005-09-21,695.048
2005-09-22,695.725
2005-09-23,692.391
2005-09-26,697.88
2005-09-27,704.898
2005-09-28,698.501
2005-09-29,702.704
2005-09-30,711.807
2005-10-03,716.517
2005-10-04,701.831
2005-10-05,685.509
2005-10-06,672.261
2005-10-07,677.729
2005-10-10,677.729
2005-10-11,674.426
2005-10-12,673.276
2005-10-13,665.609
2005-10-14,667.676
2005-10-17,675.011
2005-10-18,661.315
2005-10-19,679.54
2005-10-20,666.305
2005-10-21,665.444
2005-10-24,665.115
2005-10-25,669.857
2005-10-26,665.683
2005-10-27,664.716
2005-10-28,662.667
2005-10-31,666.686
2005-11-01,668.678
2005-11-02,675.367
2005-11-03,679.754
2005-11-04,681.114
