Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
2005-06-22,466.719
2005-06-23,462.286
2005-06-24,462.712
2005-06-27,456.801
2005-06-28,455.467
2005-06-29,456.147
2005-06-30,458.472
2005-07-01,454.244
2005-07-04,454.706
2005-07-05,457.886
2005-07-06,459.142
2005-07-07,452.36
2005-07-08,455.446
2005-07-11,466.428
2005-07-12,473.512
2005-07-13,476.833
2005-07-14,476.474
2005-07-15,475.312
2005-07-18,475.749
2005-07-19,474.184
2005-07-20,470.633
2005-07-21,481.086
2005-07-22,482.451
2005-07-25,480.074
2005-07-26,477.812
2005-07-27,480.214
2005-07-28,485.693
2005-07-29,488.524
2005-08-01,492.924
2005-08-02,499.951
2005-08-03,503.876
2005-08-04,507.841
2005-08-05,504.026
2005-08-08,505.4
2005-08-09,506.187
2005-08-10,509.968
2005-08-11,511.747
2005-08-12,509.675
2005-08-15,507.324
2005-08-16,504.844
2005-08-17,503.102
2005-08-18,496.323
2005-08-19,496.614
2005-08-22,502.118
2005-08-23,497.701
2005-08-24,493.642
2005-08-25,490.345
2005-08-26,490.263
2005-08-29,488.694
2005-08-30,485.137
2005-08-31,494.096
2005-09-01,504.642
2005-09-02,511.972
2005-09-05,511.72
2005-09-06,513.707
2005-09-07,515.823
2005-09-08,511.0
2005-09-09,514.277
2005-09-12,511.953
2005-09-13,507.936
2005-09-14,511.385
2005-09-15,506.768
2005-09-16,508.846
2005-09-19,509.048
2005-09-20,509.32
2005-09-21,506.659
2005-09-22,504.851
2005-09-23,502.221
2005-09-26,506.912
2005-09-27,504.912
2005-09-28,508.782
2005-09-29,511.499
2005-09-30,518.202
2005-10-03,515.95
2005-10-04,516.706
2005-10-05,514.251
2005-10-06,513.324
2005-10-07,510.117
2005-10-10,510.568
2005-10-11,509.683
2005-10-12,505.97
2005-10-13,492.12
2005-10-14,492.402
2005-10-17,491.061
2005-10-18,486.853
2005-10-19,480.128
2005-10-20,481.193
2005-10-21,477.147
2005-10-24,481.913
2005-10-25,493.068
2005-10-26,494.748
2005-10-27,490.532
2005-10-28,488.169
2005-10-31,494.275
