Date,FINLAND SMALL CAP Small Cap
2003-11-17,177.832
2003-11-18,179.795
2003-11-19,181.213
2003-11-20,182.702
2003-11-21,183.982
2003-11-24,183.914
2003-11-25,186.36
2003-11-26,188.592
2003-11-27,188.773
2003-11-28,190.854
2003-12-01,191.17
2003-12-02,192.249
2003-12-03,193.77
2003-12-04,191.564
2003-12-05,191.951
2003-12-08,192.562
2003-12-09,192.281
2003-12-10,191.677
2003-12-11,189.733
2003-12-12,192.241
2003-12-15,191.961
2003-12-16,189.728
2003-12-17,190.002
2003-12-18,189.213
2003-12-19,186.92
2003-12-22,187.467
2003-12-23,188.538
2003-12-24,189.069
2003-12-25,189.069
2003-12-26,188.993
2003-12-29,190.346
2003-12-30,192.616
2003-12-31,193.892
2004-01-01,193.892
2004-01-02,197.902
2004-01-05,200.881
2004-01-06,202.086
2004-01-07,201.473
2004-01-08,203.78
2004-01-09,204.951
2004-01-12,203.331
2004-01-13,203.082
2004-01-14,203.11
2004-01-15,202.649
2004-01-16,200.58
2004-01-19,202.692
2004-01-20,203.21
2004-01-21,202.708
2004-01-22,205.592
2004-01-23,205.961
2004-01-26,204.03
2004-01-27,206.711
2004-01-28,205.145
2004-01-29,200.403
2004-01-30,199.522
2004-02-02,200.014
2004-02-03,202.735
2004-02-04,202.974
2004-02-05,205.49
2004-02-06,207.994
2004-02-09,210.778
2004-02-10,212.382
2004-02-11,210.333
2004-02-12,215.412
2004-02-13,215.695
2004-02-16,215.795
2004-02-17,217.681
2004-02-18,219.661
2004-02-19,218.989
2004-02-20,216.917
2004-02-23,217.285
2004-02-24,218.685
2004-02-25,215.551
2004-02-26,214.461
2004-02-27,215.274
2004-03-01,218.582
2004-03-02,217.414
2004-03-03,215.091
2004-03-04,215.719
2004-03-05,220.166
2004-03-08,220.526
2004-03-09,218.881
2004-03-10,213.48
2004-03-11,211.617
2004-03-12,210.674
2004-03-15,208.851
2004-03-16,208.818
2004-03-17,208.091
2004-03-18,209.281
2004-03-19,209.535
2004-03-22,207.361
2004-03-23,207.402
2004-03-24,207.302
2004-03-25,209.774
2004-03-26,208.615
2004-03-29,209.921
2004-03-30,211.073
2004-03-31,215.003
2004-04-01,218.788
2004-04-02,219.128
2004-04-05,217.97
2004-04-06,218.432
2004-04-07,218.44
