Date,GERMANY GROWTH Standard (Large+Mid Cap)
2013-01-31,3229.011
2013-02-28,3142.983
2013-03-29,3155.302
2013-04-30,3262.01
2013-05-31,3316.134
2013-06-28,3278.209
2013-07-31,3449.009
2013-08-30,3357.945
2013-09-30,3530.721
2013-10-31,3695.354
2013-11-29,3927.581
2013-12-31,4051.576
2014-01-31,3810.283
2014-02-28,4061.454
2014-03-31,3962.28
2014-04-30,3993.447
2014-05-30,4064.488
2014-06-30,4020.192
2014-07-31,3782.771
2014-08-29,3766.355
2014-09-30,3642.292
2014-10-31,3607.808
2014-11-28,3823.909
2014-12-31,3668.974
2015-01-30,3765.388
2015-02-27,3966.896
2015-03-31,3980.125
2015-04-30,3990.732
2015-05-29,3962.096
2015-06-30,3870.709
2015-07-31,3982.507
2015-08-31,3700.026
2015-09-30,3555.841
2015-10-30,3921.111
2015-11-30,3916.622
2015-12-31,3823.796
2016-01-29,3572.513
2016-02-29,3479.482
2016-03-31,3795.402
2016-04-29,3778.467
2016-05-31,3748.395
2016-06-30,3652.342
2016-07-29,3953.703
2016-08-31,3971.11
2016-09-30,4015.471
2016-10-31,3853.323
2016-11-30,3669.058
2016-12-30,3875.028
2017-01-31,4005.816
2017-02-28,4049.615
2017-03-31,4230.246
2017-04-28,4402.656
2017-05-31,4696.658
2017-06-30,4638.565
2017-07-31,4724.972
2017-08-31,4732.017
2017-09-29,4948.502
2017-10-31,4984.325
2017-11-30,5024.239
2017-12-29,5038.415
2018-01-31,5306.708
2018-02-28,4972.227
2018-03-30,4873.557
2018-04-30,4966.554
2018-05-31,4949.036
2018-06-29,4884.528
2018-07-31,5041.917
2018-08-31,4983.397
2018-09-28,4860.547
2018-10-31,4387.934
2018-11-30,4263.274
2018-12-31,3998.623
2019-01-31,4255.805
2019-02-28,4290.196
2019-03-29,4350.266
2019-04-30,4649.437
2019-05-31,4453.819
2019-06-28,4766.685
2019-07-31,4587.653
2019-08-30,4407.96
2019-09-30,4490.458
2019-10-31,4704.823
2019-11-29,4895.187
2019-12-31,4990.12
2020-01-31,4963.972
2020-02-28,4538.139
2020-03-31,3896.341
2020-04-30,4226.346
2020-05-29,4619.17
2020-06-30,4741.378
2020-07-31,5151.877
2020-08-31,5429.236
2020-09-30,5301.995
2020-10-30,4570.578
2020-11-30,5110.289
2020-12-31,5546.646
2021-01-29,5406.563
2021-02-26,5419.96
2021-03-31,5311.322
2021-04-30,5680.991
2021-05-31,5824.924
2021-06-30,5874.129
2021-07-30,5953.239
2021-08-31,6121.851
2021-09-30,5663.145
2021-10-29,5880.858
2021-11-30,5598.886
2021-12-31,5760.446
2022-01-31,5190.3
2022-02-28,4774.04
2022-03-31,4673.575
2022-04-29,4198.701
2022-05-31,4243.286
2022-06-30,3830.601
2022-07-29,3988.078
2022-08-31,3710.439
2022-09-30,3373.953
2022-10-31,3554.904
2022-11-30,4068.948
2022-12-30,4083.078
2023-01-31,4549.139
2023-02-28,4425.548
2023-03-31,4745.269
2023-04-28,4818.337
2023-05-31,4518.552
2023-06-30,4732.027
2023-07-31,4871.334
2023-08-31,4679.454
2023-09-29,4361.42
2023-10-31,4239.874
2023-11-30,4939.222
2023-12-29,4998.324
2024-01-31,5081.95
2024-02-29,5397.211
2024-03-29,5598.224
2024-04-30,5334.28
2024-05-31,5554.951
2024-06-28,5634.358
2024-07-31,5767.048
2024-08-30,6044.732
2024-09-30,6238.627
2024-10-31,6040.297
2024-11-29,6143.972
2024-12-31,6146.285
2025-01-31,6791.907
2025-02-28,6959.897
2025-03-31,6956.475
2025-04-30,7577.542
2025-05-30,8177.6
2025-06-30,8343.831
