Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2004-04-21,602.487
2004-04-22,605.206
2004-04-23,604.112
2004-04-26,605.784
2004-04-27,606.916
2004-04-28,587.456
2004-04-29,586.216
2004-04-30,583.004
2004-05-03,588.154
2004-05-04,595.444
2004-05-05,601.824
2004-05-06,586.706
2004-05-07,580.493
2004-05-10,562.355
2004-05-11,563.884
2004-05-12,559.965
2004-05-13,560.187
2004-05-14,555.96
2004-05-17,559.608
2004-05-18,564.345
2004-05-19,575.063
2004-05-20,567.486
2004-05-21,571.544
2004-05-24,572.886
2004-05-25,575.146
2004-05-26,578.517
2004-05-27,591.862
2004-05-28,594.601
2004-05-31,594.936
2004-06-01,586.364
2004-06-02,590.868
2004-06-03,594.038
2004-06-04,596.65
2004-06-07,603.667
2004-06-08,601.431
2004-06-09,593.408
2004-06-10,594.168
2004-06-11,590.634
2004-06-14,588.451
2004-06-15,592.52
2004-06-16,592.95
2004-06-17,594.721
2004-06-18,599.848
2004-06-21,599.735
2004-06-22,593.64
2004-06-23,594.248
2004-06-24,598.793
2004-06-25,597.514
2004-06-28,606.39
2004-06-29,603.891
2004-06-30,604.803
2004-07-01,604.613
2004-07-02,604.273
2004-07-05,598.319
2004-07-06,593.836
2004-07-07,594.828
2004-07-08,596.845
2004-07-09,593.729
2004-07-12,589.564
2004-07-13,583.779
2004-07-14,585.742
2004-07-15,579.298
2004-07-16,584.152
2004-07-19,578.746
2004-07-20,578.252
2004-07-21,575.531
2004-07-22,568.451
2004-07-23,562.822
2004-07-26,558.358
2004-07-27,557.23
2004-07-28,548.32
2004-07-29,560.041
2004-07-30,558.352
2004-08-02,552.514
2004-08-03,554.927
2004-08-04,547.758
2004-08-05,549.96
2004-08-06,544.246
2004-08-09,539.969
2004-08-10,548.16
2004-08-11,536.769
2004-08-12,535.249
2004-08-13,539.115
2004-08-16,542.595
2004-08-17,544.808
2004-08-18,542.98
2004-08-19,547.881
2004-08-20,542.198
2004-08-23,546.24
2004-08-24,542.082
2004-08-25,539.738
2004-08-26,539.363
2004-08-27,539.176
2004-08-30,538.74
2004-08-31,538.632
2004-09-01,542.892
2004-09-02,542.019
2004-09-03,539.418
2004-09-06,546.101
2004-09-07,548.639
2004-09-08,549.171
2004-09-09,546.141
2004-09-10,556.212
2004-09-13,561.93
2004-09-14,561.632
2004-09-15,549.82
2004-09-16,550.387
2004-09-17,552.25
2004-09-20,542.292
2004-09-21,551.248
2004-09-22,545.99
2004-09-23,545.343
2004-09-24,542.916
2004-09-27,538.675
2004-09-28,540.723
2004-09-29,540.496
2004-09-30,540.196
2004-10-01,548.787
2004-10-04,550.677
2004-10-05,553.661
2004-10-06,553.166
2004-10-07,552.524
2004-10-08,554.191
2004-10-11,549.866
2004-10-12,538.476
2004-10-13,541.61
2004-10-14,545.082
