Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2003-02-24,452.48
2003-02-25,456.08
2003-02-26,450.676
2003-02-27,456.304
2003-02-28,457.481
2003-03-03,456.167
2003-03-04,449.392
2003-03-05,453.228
2003-03-06,448.185
2003-03-07,451.274
2003-03-10,439.736
2003-03-11,435.339
2003-03-12,435.486
2003-03-13,448.115
2003-03-14,449.403
2003-03-17,462.738
2003-03-18,464.33
2003-03-19,469.047
2003-03-20,470.416
2003-03-21,481.196
2003-03-24,465.368
2003-03-25,470.339
2003-03-26,467.547
2003-03-27,467.27
2003-03-28,465.452
2003-03-31,457.603
2003-04-01,464.519
2003-04-02,474.575
2003-04-03,471.256
2003-04-04,473.428
2003-04-07,474.494
2003-04-08,473.851
2003-04-09,468.606
2003-04-10,470.986
2003-04-11,469.313
2003-04-14,478.138
2003-04-15,481.893
2003-04-16,475.856
2003-04-17,482.06
2003-04-18,482.06
2003-04-21,481.918
2003-04-22,493.01
2003-04-23,498.969
2003-04-24,495.047
2003-04-25,488.803
2003-04-28,496.945
2003-04-29,497.544
2003-04-30,499.347
2003-05-01,498.716
2003-05-02,505.799
2003-05-05,503.541
2003-05-06,506.937
2003-05-07,505.403
2003-05-08,500.468
2003-05-09,506.259
2003-05-12,512.111
2003-05-13,511.555
2003-05-14,511.063
2003-05-15,514.417
2003-05-16,514.112
2003-05-19,503.209
2003-05-20,503.035
2003-05-21,506.733
2003-05-22,511.477
2003-05-23,515.035
2003-05-26,515.035
2003-05-27,523.832
2003-05-28,524.141
2003-05-29,520.749
2003-05-30,529.927
2003-06-02,534.282
2003-06-03,535.696
2003-06-04,543.491
2003-06-05,546.25
2003-06-06,546.129
2003-06-09,538.406
2003-06-10,543.099
2003-06-11,550.698
2003-06-12,551.324
2003-06-13,545.976
2003-06-16,556.374
2003-06-17,555.893
2003-06-18,553.789
2003-06-19,545.792
2003-06-20,547.375
2003-06-23,540.102
2003-06-24,541.828
2003-06-25,538.052
2003-06-26,542.782
2003-06-27,538.121
2003-06-30,537.292
2003-07-01,540.913
2003-07-02,546.502
2003-07-03,542.773
2003-07-04,542.773
2003-07-07,550.701
2003-07-08,551.766
2003-07-09,549.599
2003-07-10,541.87
2003-07-11,546.517
2003-07-14,549.768
2003-07-15,546.361
2003-07-16,541.809
2003-07-17,536.088
2003-07-18,543.702
2003-07-21,535.848
2003-07-22,541.037
2003-07-23,540.004
2003-07-24,537.464
2003-07-25,545.804
2003-07-28,545.454
2003-07-29,541.959
2003-07-30,541.103
2003-07-31,542.666
2003-08-01,536.714
2003-08-04,537.561
2003-08-05,529.266
2003-08-06,531.618
2003-08-07,534.676
2003-08-08,537.328
2003-08-11,538.553
2003-08-12,543.688
2003-08-13,540.623
2003-08-14,544.909
2003-08-15,544.887
2003-08-18,548.922
2003-08-19,550.71
2003-08-20,550.532
2003-08-21,552.803
2003-08-22,544.989
2003-08-25,544.3
2003-08-26,545.776
2003-08-27,545.875
2003-08-28,549.287
2003-08-29,552.209
2003-09-01,552.209
2003-09-02,560.113
2003-09-03,563.021
2003-09-04,562.916
2003-09-05,559.696
2003-09-08,564.772
2003-09-09,560.423
2003-09-10,553.859
2003-09-11,556.085
2003-09-12,557.277
2003-09-15,555.232
2003-09-16,561.7
2003-09-17,560.258
2003-09-18,568.139
2003-09-19,567.21
2003-09-22,560.561
2003-09-23,562.542
2003-09-24,554.181
2003-09-25,550.209
2003-09-26,546.803
2003-09-29,551.491
2003-09-30,547.625
2003-10-01,559.084
2003-10-02,560.677
2003-10-03,564.597
2003-10-06,567.939
2003-10-07,570.031
2003-10-08,567.448
2003-10-09,569.724
2003-10-10,569.105
2003-10-13,573.311
2003-10-14,575.607
2003-10-15,573.369
2003-10-16,574.836
2003-10-17,569.834
