Date,ITALY LARGE CAP Large Cap
2003-07-08,429.397
2003-07-09,427.7
2003-07-10,426.557
2003-07-11,429.476
2003-07-14,432.193
2003-07-15,429.521
2003-07-16,426.302
2003-07-17,424.343
2003-07-18,427.337
2003-07-21,428.912
2003-07-22,431.581
2003-07-23,432.584
2003-07-24,439.556
2003-07-25,437.976
2003-07-28,439.159
2003-07-29,434.938
2003-07-30,430.146
2003-07-31,428.702
2003-08-01,425.804
2003-08-04,426.75
2003-08-05,428.013
2003-08-06,425.693
2003-08-07,428.034
2003-08-08,428.932
2003-08-11,433.675
2003-08-12,434.275
2003-08-13,434.099
2003-08-14,437.651
2003-08-15,437.34
2003-08-18,436.698
2003-08-19,432.125
2003-08-20,429.295
2003-08-21,420.55
2003-08-22,416.583
2003-08-25,414.316
2003-08-26,410.341
2003-08-27,412.509
2003-08-28,413.649
2003-08-29,412.138
2003-09-01,416.559
2003-09-02,412.605
2003-09-03,414.636
2003-09-04,417.403
2003-09-05,419.912
2003-09-08,425.629
2003-09-09,426.315
2003-09-10,425.647
2003-09-11,424.158
2003-09-12,427.412
2003-09-15,426.155
2003-09-16,424.87
2003-09-17,426.543
2003-09-18,433.815
2003-09-19,436.329
2003-09-22,431.634
2003-09-23,430.873
2003-09-24,431.141
2003-09-25,429.456
2003-09-26,425.062
2003-09-29,426.766
2003-09-30,424.586
2003-10-01,433.601
2003-10-02,428.802
2003-10-03,434.988
2003-10-06,433.459
2003-10-07,436.307
2003-10-08,438.468
2003-10-09,440.913
2003-10-10,440.947
2003-10-13,440.005
2003-10-14,440.281
2003-10-15,443.329
2003-10-16,445.651
2003-10-17,440.9
2003-10-20,443.948
2003-10-21,444.627
2003-10-22,442.273
2003-10-23,438.816
2003-10-24,441.105
2003-10-27,442.1
2003-10-28,440.225
2003-10-29,441.174
2003-10-30,443.974
2003-10-31,442.419
2003-11-03,443.247
2003-11-04,445.088
2003-11-05,443.134
2003-11-06,443.301
2003-11-07,450.21
2003-11-10,449.619
2003-11-11,446.97
2003-11-12,453.181
2003-11-13,459.212
2003-11-14,465.384
2003-11-17,458.976
2003-11-18,465.491
2003-11-19,465.468
2003-11-20,465.004
2003-11-21,465.061
2003-11-24,467.521
2003-11-25,469.422
2003-11-26,475.427
2003-11-27,475.908
2003-11-28,479.811
2003-12-01,484.814
2003-12-02,490.451
2003-12-03,493.536
2003-12-04,494.218
2003-12-05,494.642
2003-12-08,495.786
2003-12-09,497.484
2003-12-10,495.961
2003-12-11,496.781
2003-12-12,499.828
2003-12-15,504.432
2003-12-16,505.059
2003-12-17,508.469
2003-12-18,511.13
2003-12-19,507.433
2003-12-22,503.706
2003-12-23,502.534
2003-12-24,503.95
2003-12-25,503.95
2003-12-26,503.748
2003-12-29,508.182
2003-12-30,506.424
2003-12-31,509.778
2004-01-01,509.778
2004-01-02,519.445
2004-01-05,525.976
2004-01-06,532.871
2004-01-07,520.927
2004-01-08,528.92
2004-01-09,531.429
2004-01-12,529.707
2004-01-13,528.541
2004-01-14,528.364
2004-01-15,526.916
2004-01-16,519.684
2004-01-19,523.304
2004-01-20,530.388
2004-01-21,534.578
2004-01-22,538.125
2004-01-23,536.589
2004-01-26,530.217
2004-01-27,534.046
2004-01-28,533.827
2004-01-29,520.557
2004-01-30,517.467
2004-02-02,519.59
2004-02-03,522.532
2004-02-04,521.112
2004-02-05,522.164
2004-02-06,527.613
2004-02-09,533.034
2004-02-10,533.132
2004-02-11,533.81
2004-02-12,540.733
2004-02-13,533.687
2004-02-16,535.567
2004-02-17,540.072
2004-02-18,539.808
2004-02-19,537.987
2004-02-20,529.711
2004-02-23,532.351
2004-02-24,533.585
2004-02-25,528.594
2004-02-26,524.914
2004-02-27,525.936
2004-03-01,533.146
2004-03-02,528.282
2004-03-03,519.206
2004-03-04,522.974
2004-03-05,533.927
2004-03-08,533.026
2004-03-09,535.656
2004-03-10,528.962
2004-03-11,518.835
2004-03-12,511.803
2004-03-15,501.94
2004-03-16,506.999
2004-03-17,505.152
2004-03-18,507.38
2004-03-19,507.932
2004-03-22,503.242
2004-03-23,499.377
2004-03-24,497.159
2004-03-25,502.396
2004-03-26,500.961
2004-03-29,509.956
2004-03-30,510.804
2004-03-31,514.704
2004-04-01,522.435
2004-04-02,522.563
2004-04-05,519.886
2004-04-06,521.062
2004-04-07,521.251
2004-04-08,520.91
2004-04-09,520.91
2004-04-12,519.446
2004-04-13,522.373
2004-04-14,519.538
2004-04-15,520.346
2004-04-16,529.003
2004-04-19,528.353
2004-04-20,526.305
2004-04-21,520.264
2004-04-22,521.708
2004-04-23,521.132
2004-04-26,523.71
2004-04-27,525.978
2004-04-28,519.428
2004-04-29,520.822
2004-04-30,521.916
2004-05-03,524.528
2004-05-04,530.089
2004-05-05,534.398
2004-05-06,521.492
2004-05-07,512.045
2004-05-10,498.765
2004-05-11,503.016
2004-05-12,502.512
2004-05-13,505.595
2004-05-14,504.9
2004-05-17,505.914
2004-05-18,505.586
2004-05-19,516.116
2004-05-20,510.2
2004-05-21,512.527
2004-05-24,516.575
2004-05-25,520.546
2004-05-26,524.841
2004-05-27,534.067
2004-05-28,530.052
2004-05-31,530.983
2004-06-01,529.35
2004-06-02,534.428
2004-06-03,532.842
2004-06-04,536.521
2004-06-07,544.97
2004-06-08,544.377
2004-06-09,536.003
2004-06-10,539.577
2004-06-11,536.045
2004-06-14,536.127
2004-06-15,542.15
2004-06-16,540.916
2004-06-17,543.814
2004-06-18,549.746
2004-06-21,549.746
2004-06-22,545.848
2004-06-23,547.802
2004-06-24,553.31
2004-06-25,551.841
2004-06-28,555.208
2004-06-29,550.105
2004-06-30,548.53
2004-07-01,544.644
2004-07-02,551.677
2004-07-05,551.852
2004-07-06,550.883
2004-07-07,554.782
2004-07-08,559.264
2004-07-09,560.724
2004-07-12,557.447
2004-07-13,554.155
2004-07-14,554.824
2004-07-15,550.704
2004-07-16,553.034
2004-07-19,550.062
2004-07-20,549.436
2004-07-21,544.077
2004-07-22,539.64
2004-07-23,532.986
2004-07-26,529.307
2004-07-27,530.433
2004-07-28,528.836
2004-07-29,536.403
2004-07-30,537.999
2004-08-02,535.378
2004-08-03,539.119
2004-08-04,534.604
2004-08-05,531.361
2004-08-06,532.079
2004-08-09,527.25
2004-08-10,533.21
2004-08-11,523.278
2004-08-12,523.47
2004-08-13,527.732
2004-08-16,532.169
2004-08-17,531.193
2004-08-18,530.851
2004-08-19,533.953
2004-08-20,530.848
2004-08-23,531.144
2004-08-24,527.501
2004-08-25,528.862
2004-08-26,530.717
2004-08-27,532.257
2004-08-30,531.015
2004-08-31,534.177
2004-09-01,540.265
