Date,SINGAPORE Standard (Large+Mid Cap)
2003-08-11,3011.306
2003-08-12,3030.566
2003-08-13,3094.419
2003-08-14,3130.402
2003-08-15,3126.051
2003-08-18,3175.837
2003-08-19,3165.226
2003-08-20,3170.028
2003-08-21,3225.574
2003-08-22,3226.83
2003-08-25,3190.774
2003-08-26,3112.391
2003-08-27,3111.592
2003-08-28,3113.486
2003-08-29,3126.602
2003-09-01,3147.955
2003-09-02,3118.011
2003-09-03,3133.109
2003-09-04,3136.59
2003-09-05,3153.86
2003-09-08,3162.716
2003-09-09,3079.295
2003-09-10,3061.294
2003-09-11,3117.285
2003-09-12,3098.387
2003-09-15,3081.84
2003-09-16,3100.004
2003-09-17,3127.715
2003-09-18,3134.062
2003-09-19,3125.083
2003-09-22,3136.248
2003-09-23,3142.991
2003-09-24,3228.652
2003-09-25,3224.349
2003-09-26,3216.42
2003-09-29,3216.788
2003-09-30,3226.943
2003-10-01,3228.311
2003-10-02,3264.107
2003-10-03,3324.567
2003-10-06,3425.307
2003-10-07,3446.469
2003-10-08,3472.616
2003-10-09,3475.216
2003-10-10,3491.842
2003-10-13,3500.555
2003-10-14,3421.156
2003-10-15,3454.459
2003-10-16,3471.797
2003-10-17,3511.528
2003-10-20,3516.163
2003-10-21,3544.047
2003-10-22,3518.773
2003-10-23,3422.789
2003-10-24,3426.308
2003-10-27,3378.958
2003-10-28,3432.203
2003-10-29,3430.807
2003-10-30,3416.354
2003-10-31,3417.693
2003-11-03,3478.502
2003-11-04,3535.253
2003-11-05,3511.208
2003-11-06,3483.594
2003-11-07,3490.047
2003-11-10,3440.491
2003-11-11,3347.506
2003-11-12,3400.428
2003-11-13,3468.795
2003-11-14,3455.737
2003-11-17,3359.053
2003-11-18,3384.918
2003-11-19,3331.828
2003-11-20,3292.664
2003-11-21,3274.604
2003-11-24,3298.103
2003-11-25,3298.103
2003-11-26,3334.383
2003-11-27,3347.747
2003-11-28,3391.443
2003-12-01,3445.493
2003-12-02,3434.654
2003-12-03,3461.817
2003-12-04,3443.791
2003-12-05,3447.118
2003-12-08,3432.427
2003-12-09,3420.577
2003-12-10,3415.152
2003-12-11,3433.626
2003-12-12,3455.782
2003-12-15,3494.754
2003-12-16,3468.942
2003-12-17,3439.854
2003-12-18,3422.033
2003-12-19,3413.465
2003-12-22,3439.014
2003-12-23,3442.888
2003-12-24,3458.167
2003-12-25,3458.167
2003-12-26,3466.529
2003-12-29,3495.984
2003-12-30,3542.244
2003-12-31,3551.927
2004-01-01,3551.927
2004-01-02,3603.211
2004-01-05,3665.283
2004-01-06,3664.394
