Date,NETHERLANDS LARGE VALUE Large Cap
2004-10-12,461.595
2004-10-13,459.76
2004-10-14,461.278
2004-10-15,462.293
2004-10-18,462.849
2004-10-19,467.259
2004-10-20,463.463
2004-10-21,465.916
2004-10-22,467.237
2004-10-25,464.321
2004-10-26,465.706
2004-10-27,474.364
2004-10-28,478.477
2004-10-29,476.276
2004-11-01,477.414
2004-11-02,478.55
2004-11-03,483.729
2004-11-04,485.045
2004-11-05,488.642
2004-11-08,490.223
2004-11-09,488.898
2004-11-10,491.001
2004-11-11,495.48
2004-11-12,497.846
2004-11-15,496.392
2004-11-16,493.37
2004-11-17,499.434
2004-11-18,498.146
2004-11-19,498.819
2004-11-22,495.272
2004-11-23,496.231
2004-11-24,497.659
2004-11-25,507.417
2004-11-26,508.342
2004-11-29,508.142
2004-11-30,505.843
2004-12-01,512.694
2004-12-02,511.98
2004-12-03,514.952
2004-12-06,515.43
2004-12-07,517.162
2004-12-08,510.57
2004-12-09,505.925
2004-12-10,506.819
2004-12-13,514.548
2004-12-14,515.704
2004-12-15,518.409
2004-12-16,515.547
2004-12-17,509.692
2004-12-20,515.166
2004-12-21,514.619
2004-12-22,519.496
2004-12-23,526.513
2004-12-24,526.734
2004-12-27,529.298
2004-12-28,529.816
2004-12-29,527.022
2004-12-30,528.976
2004-12-31,529.356
2005-01-03,527.353
2005-01-04,520.347
2005-01-05,516.613
2005-01-06,518.739
2005-01-07,515.568
2005-01-10,518.025
2005-01-11,516.333
2005-01-12,516.964
2005-01-13,516.056
2005-01-14,512.24
2005-01-17,514.364
2005-01-18,513.044
2005-01-19,513.61
2005-01-20,508.76
2005-01-21,513.642
2005-01-24,517.644
2005-01-25,516.572
2005-01-26,521.985
2005-01-27,523.091
2005-01-28,520.681
2005-01-31,526.902
2005-02-01,535.595
2005-02-02,537.293
2005-02-03,530.673
2005-02-04,537.41
2005-02-07,534.275
2005-02-08,532.179
2005-02-09,530.402
2005-02-10,534.205
2005-02-11,539.446
2005-02-14,543.324
2005-02-15,546.794
2005-02-16,547.527
2005-02-17,552.88
2005-02-18,554.802
2005-02-21,558.415
2005-02-22,561.169
2005-02-23,553.98
2005-02-24,554.007
2005-02-25,561.983
2005-02-28,566.827
2005-03-01,565.863
2005-03-02,564.52
2005-03-03,566.92
2005-03-04,576.939
2005-03-07,573.852
2005-03-08,577.283
2005-03-09,573.865
2005-03-10,567.783
2005-03-11,570.368
2005-03-14,566.579
2005-03-15,567.059
2005-03-16,562.492
2005-03-17,559.014
2005-03-18,558.43
2005-03-21,551.64
2005-03-22,554.332
2005-03-23,542.92
2005-03-24,542.934
2005-03-25,542.934
2005-03-28,539.123
2005-03-29,541.134
2005-03-30,538.2
2005-03-31,540.36
2005-04-01,538.359
2005-04-04,533.138
2005-04-05,537.154
2005-04-06,539.035
2005-04-07,546.345
2005-04-08,543.564
2005-04-11,546.371
2005-04-12,540.729
2005-04-13,541.469
2005-04-14,535.872
2005-04-15,533.287
2005-04-18,524.503
2005-04-19,527.667
2005-04-20,523.627
2005-04-21,522.707
2005-04-22,528.302
2005-04-25,527.757
2005-04-26,526.702
2005-04-27,518.378
2005-04-28,513.509
2005-04-29,517.376
2005-05-02,516.77
2005-05-03,519.212
2005-05-04,523.938
2005-05-05,529.35
2005-05-06,527.989
2005-05-09,524.18
2005-05-10,522.487
2005-05-11,516.314
2005-05-12,516.744
2005-05-13,513.538
2005-05-16,510.256
2005-05-17,511.804
2005-05-18,522.277
2005-05-19,526.638
2005-05-20,522.791
2005-05-23,527.507
2005-05-24,527.35
2005-05-25,528.306
2005-05-26,529.151
2005-05-27,529.977
2005-05-30,529.484
2005-05-31,518.797
2005-06-01,526.823
2005-06-02,529.482
2005-06-03,526.054
2005-06-06,523.374
2005-06-07,528.232
2005-06-08,531.495
2005-06-09,526.03
2005-06-10,528.286
2005-06-13,528.057
2005-06-14,529.733
2005-06-15,529.665
2005-06-16,534.5
2005-06-17,544.431
2005-06-20,541.252
2005-06-21,542.399
2005-06-22,542.401
2005-06-23,542.154
2005-06-24,541.453
2005-06-27,543.535
2005-06-28,550.731
2005-06-29,549.614
2005-06-30,551.885
2005-07-01,552.788
2005-07-04,555.052
2005-07-05,554.017
2005-07-06,557.812
2005-07-07,547.8
2005-07-08,553.415
2005-07-11,558.504
2005-07-12,561.233
2005-07-13,560.582
2005-07-14,563.757
2005-07-15,559.422
2005-07-18,556.588
2005-07-19,553.67
2005-07-20,552.417
2005-07-21,558.181
2005-07-22,556.556
2005-07-25,553.506
2005-07-26,553.455
2005-07-27,553.815
2005-07-28,556.599
2005-07-29,558.614
2005-08-01,560.618
2005-08-02,564.07
2005-08-03,568.068
2005-08-04,564.969
2005-08-05,555.757
2005-08-08,556.078
2005-08-09,562.042
2005-08-10,571.855
2005-08-11,570.153
2005-08-12,564.571
2005-08-15,561.785
2005-08-16,559.341
2005-08-17,556.677
2005-08-18,549.661
2005-08-19,551.963
2005-08-22,556.317
2005-08-23,550.806
2005-08-24,552.185
2005-08-25,547.385
2005-08-26,546.936
2005-08-29,545.011
2005-08-30,541.767
2005-08-31,552.72
2005-09-01,558.739
2005-09-02,560.936
2005-09-05,562.922
2005-09-06,567.275
2005-09-07,567.247
2005-09-08,565.726
2005-09-09,567.469
2005-09-12,561.194
2005-09-13,556.952
2005-09-14,559.048
2005-09-15,555.615
2005-09-16,560.119
2005-09-19,555.911
2005-09-20,561.669
2005-09-21,556.354
2005-09-22,545.949
2005-09-23,545.287
2005-09-26,554.129
2005-09-27,551.908
2005-09-28,558.515
2005-09-29,555.665
2005-09-30,561.513
2005-10-03,562.441
2005-10-04,566.483
2005-10-05,562.539
2005-10-06,566.484
2005-10-07,563.691
2005-10-10,558.778
2005-10-11,554.304
2005-10-12,549.907
2005-10-13,542.395
2005-10-14,555.519
2005-10-17,553.322
2005-10-18,549.199
2005-10-19,544.183
2005-10-20,546.398
2005-10-21,543.766
2005-10-24,546.845
2005-10-25,550.708
2005-10-26,552.298
2005-10-27,547.484
2005-10-28,545.174
2005-10-31,553.755
2005-11-01,555.17
2005-11-02,564.284
