Date,FINLAND LARGE GROWTH Large Cap
2004-07-14,488.267
2004-07-15,429.617
2004-07-16,423.983
2004-07-19,419.752
2004-07-20,421.667
2004-07-21,423.664
2004-07-22,412.947
2004-07-23,408.605
2004-07-26,407.644
2004-07-27,403.57
2004-07-28,392.192
2004-07-29,402.398
2004-07-30,398.04
2004-08-02,395.402
2004-08-03,401.311
2004-08-04,397.314
2004-08-05,398.689
2004-08-06,388.663
2004-08-09,386.93
2004-08-10,395.597
2004-08-11,386.982
2004-08-12,380.594
2004-08-13,389.104
2004-08-16,395.672
2004-08-17,404.633
2004-08-18,405.551
2004-08-19,412.445
2004-08-20,405.785
2004-08-23,409.523
2004-08-24,403.694
2004-08-25,403.701
2004-08-26,411.906
2004-08-27,408.797
2004-08-30,407.731
2004-08-31,405.586
2004-09-01,408.704
2004-09-02,423.381
2004-09-03,427.355
2004-09-06,432.815
2004-09-07,433.653
2004-09-08,441.759
2004-09-09,470.615
2004-09-10,476.07
2004-09-13,480.853
2004-09-14,478.045
2004-09-15,470.262
2004-09-16,477.111
2004-09-17,482.775
2004-09-20,486.315
2004-09-21,487.237
2004-09-22,481.891
2004-09-23,475.643
2004-09-24,477.075
2004-09-27,474.441
2004-09-28,468.574
2004-09-29,472.495
2004-09-30,477.404
2004-10-01,496.203
2004-10-04,499.366
2004-10-05,499.511
2004-10-06,495.548
2004-10-07,496.954
2004-10-08,490.153
2004-10-11,484.905
2004-10-12,474.38
2004-10-13,485.547
2004-10-14,495.733
2004-10-15,511.81
2004-10-18,507.682
2004-10-19,525.446
2004-10-20,516.417
2004-10-21,519.164
2004-10-22,520.591
2004-10-25,514.116
2004-10-26,511.416
2004-10-27,527.205
2004-10-28,532.829
2004-10-29,533.526
2004-11-01,540.743
2004-11-02,543.659
2004-11-03,548.871
2004-11-04,547.471
2004-11-05,558.558
2004-11-08,554.854
2004-11-09,557.748
2004-11-10,563.703
2004-11-11,573.501
2004-11-12,572.926
2004-11-15,570.587
2004-11-16,565.465
2004-11-17,579.261
2004-11-18,580.814
2004-11-19,573.071
2004-11-22,567.845
2004-11-23,559.858
2004-11-24,564.721
2004-11-25,568.154
2004-11-26,572.714
2004-11-29,570.589
2004-11-30,564.349
2004-12-01,570.986
2004-12-02,582.331
2004-12-03,570.065
2004-12-06,572.453
2004-12-07,570.166
2004-12-08,556.447
2004-12-09,544.551
2004-12-10,541.278
2004-12-13,539.735
2004-12-14,538.706
2004-12-15,545.234
2004-12-16,530.531
2004-12-17,517.278
2004-12-20,529.316
2004-12-21,536.427
2004-12-22,545.185
2004-12-23,552.74
2004-12-24,554.173
2004-12-27,551.961
2004-12-28,552.587
2004-12-29,550.954
2004-12-30,549.448
2004-12-31,547.937
2005-01-03,544.504
2005-01-04,541.838
2005-01-05,537.041
2005-01-06,532.813
2005-01-07,530.946
2005-01-10,541.077
2005-01-11,531.488
2005-01-12,530.03
2005-01-13,523.971
2005-01-14,522.41
2005-01-17,526.51
2005-01-18,519.578
2005-01-19,514.551
2005-01-20,494.259
2005-01-21,487.916
2005-01-24,486.438
2005-01-25,484.991
2005-01-26,497.459
2005-01-27,525.604
2005-01-28,522.63
2005-01-31,531.362
2005-02-01,536.497
2005-02-02,542.584
2005-02-03,539.296
2005-02-04,544.633
2005-02-07,540.407
2005-02-08,543.555
2005-02-09,542.631
2005-02-10,546.554
2005-02-11,551.683
2005-02-14,555.453
2005-02-15,555.582
2005-02-16,549.553
2005-02-17,547.047
2005-02-18,548.449
2005-02-21,547.341
2005-02-22,563.254
2005-02-23,549.703
2005-02-24,551.993
2005-02-25,565.594
2005-02-28,565.469
2005-03-01,563.55
2005-03-02,558.262
2005-03-03,554.24
2005-03-04,560.558
2005-03-07,560.103
2005-03-08,566.684
2005-03-09,565.931
2005-03-10,565.215
2005-03-11,566.41
2005-03-14,563.571
2005-03-15,568.516
2005-03-16,562.331
2005-03-17,566.271
2005-03-18,560.534
2005-03-21,551.074
2005-03-22,551.952
2005-03-23,537.196
2005-03-24,534.397
2005-03-25,534.397
2005-03-28,530.647
2005-03-29,533.109
2005-03-30,535.132
2005-03-31,539.241
2005-04-01,541.793
2005-04-04,525.471
2005-04-05,530.458
2005-04-06,530.487
2005-04-07,541.201
2005-04-08,543.501
2005-04-11,544.572
2005-04-12,534.564
2005-04-13,539.686
2005-04-14,534.128
2005-04-15,522.772
2005-04-18,519.643
2005-04-19,533.933
2005-04-20,544.929
2005-04-21,573.089
2005-04-22,581.581
2005-04-25,578.423
2005-04-26,571.115
2005-04-27,565.855
2005-04-28,565.565
2005-04-29,562.562
2005-05-02,565.372
2005-05-03,567.074
2005-05-04,586.563
2005-05-05,585.861
2005-05-06,598.418
2005-05-09,603.861
2005-05-10,601.298
2005-05-11,593.777
2005-05-12,598.044
2005-05-13,603.886
2005-05-16,606.263
2005-05-17,605.004
