Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2002-11-07,340.786
2002-11-08,338.645
2002-11-11,336.03
2002-11-12,340.204
2002-11-13,337.138
2002-11-14,341.729
2002-11-15,344.254
2002-11-18,348.024
2002-11-19,347.156
2002-11-20,344.062
2002-11-21,353.303
2002-11-22,353.49
2002-11-25,348.854
2002-11-26,342.87
2002-11-27,348.639
2002-11-28,352.976
2002-11-29,352.084
2002-12-02,352.154
2002-12-03,345.923
2002-12-04,345.389
2002-12-05,341.948
2002-12-06,342.769
2002-12-09,335.803
2002-12-10,337.107
2002-12-11,340.292
2002-12-12,337.62
2002-12-13,335.319
2002-12-16,343.067
2002-12-17,341.432
2002-12-18,334.697
2002-12-19,333.321
2002-12-20,336.919
2002-12-23,337.538
2002-12-24,338.943
2002-12-25,338.94
2002-12-26,339.398
2002-12-27,331.986
2002-12-30,336.751
2002-12-31,340.174
2003-01-01,340.171
2003-01-02,346.042
2003-01-03,349.083
2003-01-06,352.336
2003-01-07,348.148
2003-01-08,342.165
2003-01-09,346.795
2003-01-10,349.474
2003-01-13,349.817
2003-01-14,352.194
2003-01-15,347.29
2003-01-16,346.872
2003-01-17,342.112
2003-01-20,338.11
2003-01-21,335.119
2003-01-22,330.129
2003-01-23,329.34
2003-01-24,328.193
2003-01-27,317.949
2003-01-28,318.411
2003-01-29,320.189
2003-01-30,324.641
2003-01-31,324.426
2003-02-03,329.819
2003-02-04,323.645
2003-02-05,328.204
2003-02-06,321.517
2003-02-07,318.344
2003-02-10,315.155
2003-02-11,320.336
2003-02-12,315.23
2003-02-13,316.28
2003-02-14,319.608
2003-02-17,323.45
2003-02-18,324.835
2003-02-19,319.58
2003-02-20,319.894
2003-02-21,322.239
2003-02-24,317.502
2003-02-25,308.291
2003-02-26,307.515
2003-02-27,308.282
2003-02-28,314.176
2003-03-03,317.25
2003-03-04,312.138
2003-03-05,311.304
2003-03-06,308.979
2003-03-07,304.621
2003-03-10,298.232
2003-03-11,298.274
2003-03-12,288.56
2003-03-13,300.229
2003-03-14,308.58
2003-03-17,315.569
2003-03-18,315.188
2003-03-19,318.148
2003-03-20,317.601
2003-03-21,325.406
2003-03-24,316.034
2003-03-25,319.967
2003-03-26,320.227
2003-03-27,316.059
2003-03-28,315.867
2003-03-31,310.147
2003-04-01,313.669
2003-04-02,320.375
2003-04-03,321.85
2003-04-04,324.483
2003-04-07,332.765
2003-04-08,329.123
2003-04-09,329.785
2003-04-10,328.132
2003-04-11,328.992
2003-04-14,333.032
2003-04-15,338.483
2003-04-16,337.282
2003-04-17,341.232
2003-04-18,341.228
2003-04-21,338.915
2003-04-22,344.29
2003-04-23,348.681
2003-04-24,346.027
2003-04-25,342.234
2003-04-28,348.92
2003-04-29,348.338
2003-04-30,352.26
2003-05-01,353.949
2003-05-02,355.028
2003-05-05,358.978
2003-05-06,365.986
2003-05-07,362.448
2003-05-08,357.581
2003-05-09,361.436
2003-05-12,363.654
2003-05-13,363.804
2003-05-14,364.194
2003-05-15,367.407
2003-05-16,371.38
2003-05-19,364.303
2003-05-20,364.886
2003-05-21,363.252
2003-05-22,367.312
2003-05-23,368.427
2003-05-26,369.195
2003-05-27,371.452
2003-05-28,375.414
2003-05-29,379.355
2003-05-30,377.361
2003-06-02,383.16
2003-06-03,380.653
2003-06-04,383.178
2003-06-05,386.228
2003-06-06,390.517
2003-06-09,387.716
2003-06-10,386.703
2003-06-11,394.358
2003-06-12,396.464
2003-06-13,393.592
2003-06-16,400.947
2003-06-17,403.969
2003-06-18,402.003
2003-06-19,395.987
2003-06-20,396.413
2003-06-23,387.74
2003-06-24,385.312
2003-06-25,388.213
2003-06-26,383.868
2003-06-27,383.757
2003-06-30,381.408
2003-07-01,378.062
2003-07-02,382.608
2003-07-03,384.842
2003-07-04,383.041
2003-07-07,386.693
2003-07-08,384.954
2003-07-09,383.021
2003-07-10,380.406
2003-07-11,383.111
2003-07-14,387.902
2003-07-15,383.588
2003-07-16,380.8
2003-07-17,376.512
2003-07-18,378.107
2003-07-21,378.089
2003-07-22,380.69
2003-07-23,383.416
2003-07-24,390.497
2003-07-25,389.908
2003-07-28,392.731
2003-07-29,391.669
2003-07-30,389.947
2003-07-31,389.505
2003-08-01,385.983
2003-08-04,386.39
2003-08-05,388.965
2003-08-06,384.918
2003-08-07,386.516
2003-08-08,387.499
2003-08-11,388.66
2003-08-12,390.025
2003-08-13,391.677
2003-08-14,395.035
2003-08-15,395.634
2003-08-18,396.055
2003-08-19,394.452
2003-08-20,394.413
2003-08-21,392.767
2003-08-22,390.656
2003-08-25,389.234
2003-08-26,385.082
2003-08-27,388.227
2003-08-28,389.974
2003-08-29,389.776
2003-09-01,393.959
2003-09-02,391.682
2003-09-03,396.988
2003-09-04,398.67
2003-09-05,401.258
2003-09-08,405.492
2003-09-09,403.805
2003-09-10,400.881
2003-09-11,401.329
2003-09-12,403.068
2003-09-15,404.404
2003-09-16,404.48
2003-09-17,407.77
2003-09-18,411.475
2003-09-19,411.173
2003-09-22,408.698
2003-09-23,407.579
2003-09-24,407.322
2003-09-25,405.881
2003-09-26,401.728
2003-09-29,401.906
2003-09-30,398.884
2003-10-01,406.398
2003-10-02,407.802
2003-10-03,415.049
2003-10-06,415.283
2003-10-07,415.684
2003-10-08,416.521
2003-10-09,421.147
2003-10-10,422.013
2003-10-13,424.583
2003-10-14,423.903
2003-10-15,426.073
2003-10-16,426.706
2003-10-17,423.796
2003-10-20,425.153
2003-10-21,426.338
2003-10-22,423.079
2003-10-23,419.839
2003-10-24,420.88
2003-10-27,422.551
2003-10-28,423.764
2003-10-29,425.565
2003-10-30,428.305
2003-10-31,426.181
2003-11-03,427.414
2003-11-04,426.66
2003-11-05,423.786
2003-11-06,423.732
2003-11-07,429.314
2003-11-10,427.06
2003-11-11,425.709
2003-11-12,431.222
2003-11-13,434.982
2003-11-14,438.974
2003-11-17,431.91
2003-11-18,435.469
2003-11-19,433.868
2003-11-20,432.763
2003-11-21,434.442
2003-11-24,436.797
2003-11-25,437.858
2003-11-26,441.056
2003-11-27,442.306
2003-11-28,443.722
2003-12-01,449.489
2003-12-02,451.898
2003-12-03,454.976
2003-12-04,452.68
2003-12-05,452.595
2003-12-08,453.433
2003-12-09,456.11
2003-12-10,453.822
2003-12-11,452.836
2003-12-12,456.599
