Date,ACWI SMALL VALUE Small Cap
2004-01-16,518.023
2004-01-19,518.31
2004-01-20,523.518
2004-01-21,525.536
2004-01-22,525.758
2004-01-23,526.812
2004-01-26,527.456
2004-01-27,527.128
2004-01-28,522.224
2004-01-29,516.531
2004-01-30,518.741
2004-02-02,519.773
2004-02-03,520.429
2004-02-04,513.384
2004-02-05,516.288
2004-02-06,523.915
2004-02-09,526.03
2004-02-10,529.264
2004-02-11,532.06
2004-02-12,533.844
2004-02-13,532.559
2004-02-16,533.443
2004-02-17,538.289
2004-02-18,537.566
2004-02-19,533.475
2004-02-20,529.585
2004-02-23,527.691
2004-02-24,528.277
2004-02-25,529.273
2004-02-26,529.799
2004-02-27,533.417
2004-03-01,540.445
2004-03-02,538.354
2004-03-03,535.839
2004-03-04,539.056
2004-03-05,543.198
2004-03-08,540.569
2004-03-09,538.809
2004-03-10,530.37
2004-03-11,524.311
2004-03-12,528.405
2004-03-15,522.719
2004-03-16,525.392
2004-03-17,531.987
2004-03-18,533.548
2004-03-19,532.327
2004-03-22,525.662
2004-03-23,525.838
2004-03-24,524.017
2004-03-25,529.814
2004-03-26,530.953
2004-03-29,537.369
2004-03-30,540.686
2004-03-31,545.362
2004-04-01,550.251
2004-04-02,550.835
2004-04-05,549.346
2004-04-06,547.14
2004-04-07,549.834
2004-04-08,547.439
2004-04-09,546.482
2004-04-12,546.608
2004-04-13,540.073
2004-04-14,533.54
2004-04-15,532.578
2004-04-16,537.33
2004-04-19,537.212
2004-04-20,533.152
2004-04-21,532.851
2004-04-22,537.065
2004-04-23,537.021
2004-04-26,537.65
2004-04-27,537.672
2004-04-28,530.256
2004-04-29,523.978
2004-04-30,519.808
2004-05-03,521.507
2004-05-04,525.623
2004-05-05,526.509
2004-05-06,520.006
2004-05-07,508.198
2004-05-10,492.782
2004-05-11,497.173
2004-05-12,500.318
2004-05-13,497.612
2004-05-14,496.088
2004-05-17,489.086
2004-05-18,493.833
2004-05-19,499.973
2004-05-20,498.936
2004-05-21,504.094
2004-05-24,507.132
2004-05-25,513.473
2004-05-26,517.371
2004-05-27,521.121
2004-05-28,523.192
2004-05-31,523.188
2004-06-01,524.129
2004-06-02,525.28
2004-06-03,519.171
2004-06-04,522.354
2004-06-07,530.932
2004-06-08,531.001
2004-06-09,526.921
2004-06-10,528.262
2004-06-11,526.523
2004-06-14,520.446
2004-06-15,524.774
2004-06-16,526.807
2004-06-17,528.73
2004-06-18,529.943
2004-06-21,531.081
2004-06-22,531.441
2004-06-23,534.888
2004-06-24,536.994
2004-06-25,539.149
2004-06-28,540.532
2004-06-29,540.18
2004-06-30,543.851
2004-07-01,541.374
2004-07-02,542.525
2004-07-05,540.544
