Date,IRELAND Standard (Large+Mid Cap)
2004-11-24,568.432
2004-11-25,569.121
2004-11-26,568.678
2004-11-29,574.167
2004-11-30,565.97
2004-12-01,574.15
2004-12-02,577.743
2004-12-03,584.903
2004-12-06,586.123
2004-12-07,581.259
2004-12-08,576.52
2004-12-09,577.487
2004-12-10,579.504
2004-12-13,584.628
2004-12-14,586.826
2004-12-15,593.33
2004-12-16,588.955
2004-12-17,586.26
2004-12-20,590.56
2004-12-21,586.355
2004-12-22,589.624
2004-12-23,592.97
2004-12-24,594.507
2004-12-27,598.218
2004-12-28,597.362
2004-12-29,603.056
2004-12-30,605.589
2004-12-31,604.263
2005-01-03,598.417
2005-01-04,600.57
2005-01-05,595.732
2005-01-06,593.923
2005-01-07,593.213
2005-01-10,599.14
2005-01-11,599.638
2005-01-12,608.187
2005-01-13,606.907
2005-01-14,600.158
2005-01-17,606.267
2005-01-18,603.052
2005-01-19,606.799
2005-01-20,601.907
2005-01-21,599.693
2005-01-24,597.716
2005-01-25,596.791
2005-01-26,601.189
2005-01-27,601.505
2005-01-28,595.624
2005-01-31,589.476
2005-02-01,598.485
2005-02-02,600.015
2005-02-03,600.473
2005-02-04,605.503
2005-02-07,601.576
2005-02-08,596.209
2005-02-09,601.228
2005-02-10,607.434
2005-02-11,614.042
2005-02-14,620.086
2005-02-15,623.982
2005-02-16,622.625
2005-02-17,629.771
2005-02-18,628.826
2005-02-21,627.651
2005-02-22,634.52
2005-02-23,623.223
2005-02-24,621.404
2005-02-25,623.49
2005-02-28,575.656
2005-03-01,578.603
2005-03-02,572.721
2005-03-03,571.908
2005-03-04,575.868
2005-03-07,568.811
2005-03-08,575.178
2005-03-09,570.997
2005-03-10,566.489
2005-03-11,566.182
2005-03-14,559.715
2005-03-15,561.154
2005-03-16,558.595
2005-03-17,561.776
2005-03-18,560.078
2005-03-21,555.864
2005-03-22,556.914
2005-03-23,547.778
2005-03-24,550.166
2005-03-25,550.166
2005-03-28,546.305
2005-03-29,545.457
2005-03-30,544.594
2005-03-31,535.523
2005-04-01,538.657
2005-04-04,532.827
2005-04-05,536.587
2005-04-06,542.712
2005-04-07,543.302
2005-04-08,543.339
2005-04-11,547.69
2005-04-12,543.476
2005-04-13,550.5
2005-04-14,544.65
2005-04-15,543.517
2005-04-18,537.798
2005-04-19,539.982
2005-04-20,541.253
2005-04-21,541.121
2005-04-22,538.784
2005-04-25,533.225
2005-04-26,531.46
2005-04-27,523.374
2005-04-28,516.932
2005-04-29,521.936
2005-05-02,519.066
2005-05-03,528.289
2005-05-04,537.816
2005-05-05,546.301
2005-05-06,539.812
2005-05-09,536.804
2005-05-10,538.204
2005-05-11,533.571
2005-05-12,533.968
2005-05-13,529.366
2005-05-16,528.626
2005-05-17,531.915
2005-05-18,541.088
2005-05-19,540.851
2005-05-20,534.864
2005-05-23,542.529
2005-05-24,543.896
2005-05-25,544.687
2005-05-26,544.405
2005-05-27,546.834
2005-05-30,546.127
2005-05-31,534.28
2005-06-01,537.782
2005-06-02,536.45
2005-06-03,536.696
2005-06-06,537.089
2005-06-07,539.399
2005-06-08,541.472
2005-06-09,532.139
2005-06-10,531.878
2005-06-13,531.994
2005-06-14,534.832
2005-06-15,538.166
2005-06-16,538.679
2005-06-17,551.235
2005-06-20,544.03
2005-06-21,544.998
2005-06-22,546.307
2005-06-23,545.461
2005-06-24,547.418
2005-06-27,548.652
2005-06-28,545.769
2005-06-29,548.157
2005-06-30,552.671
2005-07-01,547.906
2005-07-04,543.546
2005-07-05,540.488
2005-07-06,543.321
2005-07-07,538.503
2005-07-08,542.258
2005-07-11,553.571
2005-07-12,557.483
2005-07-13,554.453
2005-07-14,556.0
2005-07-15,552.933
2005-07-18,556.524
2005-07-19,561.278
2005-07-20,559.182
2005-07-21,569.432
2005-07-22,572.287
2005-07-25,567.322
2005-07-26,564.818
2005-07-27,568.664
2005-07-28,569.533
2005-07-29,570.698
2005-08-01,576.901
2005-08-02,577.86
2005-08-03,579.132
2005-08-04,574.774
2005-08-05,573.526
2005-08-08,575.582
2005-08-09,575.766
2005-08-10,582.695
2005-08-11,583.761
2005-08-12,580.239
2005-08-15,572.792
2005-08-16,573.569
2005-08-17,570.019
2005-08-18,561.368
2005-08-19,559.69
2005-08-22,564.039
2005-08-23,562.438
2005-08-24,560.966
2005-08-25,560.584
2005-08-26,562.497
2005-08-29,562.332
2005-08-30,555.364
2005-08-31,563.413
2005-09-01,573.42
2005-09-02,580.243
2005-09-05,578.893
2005-09-06,585.048
2005-09-07,583.271
2005-09-08,582.941
2005-09-09,580.438
2005-09-12,569.826
2005-09-13,564.334
2005-09-14,565.944
2005-09-15,561.272
2005-09-16,557.291
2005-09-19,555.724
2005-09-20,560.028
2005-09-21,556.779
2005-09-22,547.482
2005-09-23,550.029
2005-09-26,553.891
2005-09-27,552.118
2005-09-28,556.839
2005-09-29,555.895
2005-09-30,563.355
2005-10-03,557.092
2005-10-04,563.426
2005-10-05,563.466
2005-10-06,567.081
2005-10-07,565.717
2005-10-10,559.587
2005-10-11,556.515
2005-10-12,552.862
2005-10-13,542.739
2005-10-14,546.455
2005-10-17,545.009
2005-10-18,537.109
2005-10-19,528.399
2005-10-20,527.884
2005-10-21,522.298
2005-10-24,529.632
2005-10-25,539.641
2005-10-26,539.995
2005-10-27,534.714
2005-10-28,533.63
2005-10-31,537.389
2005-11-01,543.92
2005-11-02,551.193
2005-11-03,552.648
