Date,USA SMID VALUE SMID (Small+Mid Cap)
2003-09-16,505.086
2003-09-17,503.076
2003-09-18,508.89
2003-09-19,509.633
2003-09-22,504.302
2003-09-23,507.659
2003-09-24,500.371
2003-09-25,494.94
2003-09-26,490.715
2003-09-29,496.087
2003-09-30,493.296
2003-10-01,503.661
2003-10-02,505.976
2003-10-03,511.858
2003-10-06,514.867
2003-10-07,516.557
2003-10-08,515.107
2003-10-09,517.785
2003-10-10,517.229
2003-10-13,522.548
2003-10-14,524.962
2003-10-15,522.285
2003-10-16,523.558
2003-10-17,518.042
2003-10-20,518.669
2003-10-21,519.174
2003-10-22,512.382
2003-10-23,513.127
2003-10-24,511.4
2003-10-27,516.386
2003-10-28,521.705
2003-10-29,524.812
2003-10-30,525.942
2003-10-31,526.88
2003-11-03,532.89
2003-11-04,532.185
2003-11-05,532.344
2003-11-06,536.219
2003-11-07,535.678
2003-11-10,530.374
2003-11-11,528.768
2003-11-12,535.683
2003-11-13,536.798
2003-11-14,532.857
2003-11-17,528.158
2003-11-18,524.049
2003-11-19,526.372
2003-11-20,523.534
2003-11-21,525.535
2003-11-24,534.611
2003-11-25,538.865
2003-11-26,541.6
2003-11-27,541.6
2003-11-28,541.952
2003-12-01,549.274
2003-12-02,548.728
2003-12-03,546.612
2003-12-04,547.342
2003-12-05,544.678
2003-12-08,549.586
2003-12-09,545.335
2003-12-10,541.832
2003-12-11,549.437
2003-12-12,552.321
2003-12-15,546.491
2003-12-16,549.187
2003-12-17,550.571
2003-12-18,557.321
2003-12-19,557.507
2003-12-22,560.779
2003-12-23,562.774
2003-12-24,562.091
2003-12-25,562.091
2003-12-26,563.473
2003-12-29,569.991
2003-12-30,571.054
2003-12-31,568.173
2004-01-01,568.173
2004-01-02,567.62
2004-01-05,572.238
2004-01-06,572.639
2004-01-07,573.813
2004-01-08,576.51
2004-01-09,574.74
2004-01-12,577.482
2004-01-13,576.234
2004-01-14,580.769
2004-01-15,581.002
2004-01-16,584.078
2004-01-19,584.078
2004-01-20,587.284
2004-01-21,591.027
2004-01-22,588.956
2004-01-23,590.668
2004-01-26,594.17
2004-01-27,590.571
2004-01-28,582.708
2004-01-29,581.726
2004-01-30,582.473
2004-02-02,583.691
2004-02-03,583.444
2004-02-04,575.118
2004-02-05,577.414
2004-02-06,586.737
2004-02-09,588.399
2004-02-10,592.596
2004-02-11,598.275
2004-02-12,596.417
2004-02-13,593.033
2004-02-16,593.033
2004-02-17,599.038
2004-02-18,596.343
2004-02-19,593.293
2004-02-20,590.875
2004-02-23,587.594
2004-02-24,587.341
2004-02-25,591.857
2004-02-26,594.946
2004-02-27,598.638
2004-03-01,606.002
2004-03-02,604.331
2004-03-03,605.314
2004-03-04,608.062
2004-03-05,611.166
2004-03-08,607.121
2004-03-09,602.347
2004-03-10,592.361
2004-03-11,584.171
2004-03-12,593.735
2004-03-15,584.973
2004-03-16,586.595
2004-03-17,595.686
2004-03-18,594.626
2004-03-19,590.877
2004-03-22,582.571
2004-03-23,583.326
2004-03-24,579.513
2004-03-25,588.022
2004-03-26,588.492
2004-03-29,596.267
2004-03-30,600.583
2004-03-31,603.165
2004-04-01,606.943
2004-04-02,609.504
2004-04-05,609.624
2004-04-06,605.803
2004-04-07,604.761
2004-04-08,602.023
2004-04-09,602.023
2004-04-12,600.417
2004-04-13,590.373
2004-04-14,586.415
2004-04-15,588.467
2004-04-16,593.838
2004-04-19,594.225
2004-04-20,585.171
2004-04-21,588.589
2004-04-22,599.173
2004-04-23,596.628
2004-04-26,595.026
2004-04-27,597.361
2004-04-28,588.685
2004-04-29,580.123
2004-04-30,577.512
2004-05-03,582.538
2004-05-04,584.396
2004-05-05,585.546
2004-05-06,580.443
2004-05-07,566.839
2004-05-10,557.289
2004-05-11,563.663
2004-05-12,564.246
2004-05-13,564.973
2004-05-14,565.843
2004-05-17,559.512
2004-05-18,564.816
2004-05-19,562.674
2004-05-20,563.97
2004-05-21,566.993
2004-05-24,572.171
2004-05-25,582.854
2004-05-26,585.705
2004-05-27,587.785
2004-05-28,590.112
2004-05-31,590.112
2004-06-01,590.486
2004-06-02,592.71
2004-06-03,586.426
2004-06-04,589.908
2004-06-07,598.892
2004-06-08,598.52
2004-06-09,592.316
2004-06-10,593.896
2004-06-11,593.896
2004-06-14,585.617
2004-06-15,592.547
2004-06-16,593.887
2004-06-17,595.879
2004-06-18,597.63
2004-06-21,598.251
2004-06-22,600.874
2004-06-23,607.511
2004-06-24,605.866
2004-06-25,608.349
2004-06-28,606.877
2004-06-29,607.154
2004-06-30,612.4
2004-07-01,606.451
2004-07-02,607.278
2004-07-05,607.278
2004-07-06,601.958
2004-07-07,603.186
2004-07-08,595.542
2004-07-09,598.204
2004-07-12,598.703
2004-07-13,599.183
2004-07-14,598.822
2004-07-15,600.338
2004-07-16,598.464
2004-07-19,599.473
2004-07-20,604.395
2004-07-21,594.724
2004-07-22,590.601
2004-07-23,586.039
2004-07-26,582.389
2004-07-27,588.116
2004-07-28,588.693
2004-07-29,594.367
2004-07-30,595.111
2004-08-02,597.938
2004-08-03,593.911
2004-08-04,593.359
2004-08-05,583.565
2004-08-06,575.214
2004-08-09,575.983
2004-08-10,584.339
2004-08-11,582.239
2004-08-12,575.462
2004-08-13,575.291
2004-08-16,585.101
2004-08-17,586.77
2004-08-18,594.533
2004-08-19,590.735
2004-08-20,597.612
2004-08-23,594.716
2004-08-24,596.951
2004-08-25,600.422
2004-08-26,600.999
2004-08-27,602.815
2004-08-30,599.096
2004-08-31,602.826
2004-09-01,605.375
2004-09-02,611.596
2004-09-03,610.868
2004-09-06,610.868
2004-09-07,616.748
2004-09-08,611.889
2004-09-09,613.787
2004-09-10,614.8
2004-09-13,616.362
2004-09-14,614.552
2004-09-15,612.422
2004-09-16,618.078
2004-09-17,618.471
2004-09-20,615.521
2004-09-21,620.698
2004-09-22,613.695
2004-09-23,611.442
2004-09-24,613.495
2004-09-27,609.288
2004-09-28,614.238
2004-09-29,616.862
2004-09-30,621.68
2004-10-01,630.591
2004-10-04,632.574
2004-10-05,631.853
2004-10-06,636.745
2004-10-07,629.137
2004-10-08,626.494
2004-10-11,626.739
2004-10-12,626.257
2004-10-13,618.965
2004-10-14,615.668
2004-10-15,619.849
2004-10-18,620.833
2004-10-19,615.229
2004-10-20,616.834
2004-10-21,621.15
2004-10-22,616.585
2004-10-25,618.853
2004-10-26,627.126
2004-10-27,633.182
2004-10-28,632.018
2004-10-29,633.91
2004-11-01,635.712
2004-11-02,634.026
2004-11-03,642.516
2004-11-04,652.932
2004-11-05,652.417
2004-11-08,651.727
2004-11-09,653.66
2004-11-10,656.188
2004-11-11,662.236
2004-11-12,669.379
2004-11-15,669.376
2004-11-16,665.115
2004-11-17,667.69
2004-11-18,668.073
2004-11-19,661.798
2004-11-22,668.969
2004-11-23,671.537
2004-11-24,677.036
2004-11-25,677.036
2004-11-26,678.804
2004-11-29,677.759
2004-11-30,676.812
2004-12-01,685.15
2004-12-02,681.077
2004-12-03,683.495
2004-12-06,681.984
2004-12-07,671.753
2004-12-08,674.209
2004-12-09,676.12
2004-12-10,677.843
2004-12-13,683.175
2004-12-14,686.81
2004-12-15,692.455
2004-12-16,688.53
2004-12-17,688.714
2004-12-20,687.435
2004-12-21,694.487
2004-12-22,696.527
2004-12-23,696.273
2004-12-24,696.273
2004-12-27,692.03
2004-12-28,699.167
2004-12-29,700.123
2004-12-30,701.062
2004-12-31,700.579
2005-01-03,689.985
2005-01-04,680.044
2005-01-05,670.253
2005-01-06,673.843
2005-01-07,670.847
2005-01-10,673.467
2005-01-11,668.485
2005-01-12,670.223
2005-01-13,669.061
2005-01-14,674.96
2005-01-17,674.96
2005-01-18,681.859
2005-01-19,677.167
2005-01-20,672.503
2005-01-21,670.408
2005-01-24,665.873
2005-01-25,665.079
2005-01-26,670.422
2005-01-27,671.158
2005-01-28,669.295
2005-01-31,678.595
2005-02-01,683.774
2005-02-02,687.531
2005-02-03,686.649
2005-02-04,695.27
2005-02-07,694.167
2005-02-08,695.929
2005-02-09,689.049
2005-02-10,691.595
2005-02-11,697.412
2005-02-14,698.04
2005-02-15,699.442
2005-02-16,702.645
2005-02-17,697.255
2005-02-18,696.882
2005-02-21,696.882
2005-02-22,684.599
2005-02-23,687.587
2005-02-24,693.731
2005-02-25,703.979
2005-02-28,700.19
2005-03-01,705.489
2005-03-02,704.355
2005-03-03,706.109
2005-03-04,715.572
2005-03-07,717.685
2005-03-08,713.513
2005-03-09,704.444
2005-03-10,703.883
2005-03-11,702.581
2005-03-14,708.329
2005-03-15,704.393
2005-03-16,698.002
2005-03-17,701.536
2005-03-18,698.525
2005-03-21,696.46
2005-03-22,690.528
2005-03-23,686.301
2005-03-24,688.167
2005-03-25,688.167
2005-03-28,687.511
2005-03-29,679.384
2005-03-30,689.332
2005-03-31,692.577
2005-04-01,691.25
2005-04-04,691.249
2005-04-05,691.92
2005-04-06,694.113
2005-04-07,697.348
2005-04-08,690.272
2005-04-11,689.578
2005-04-12,694.545
2005-04-13,684.428
2005-04-14,673.845
2005-04-15,661.398
2005-04-18,666.339
2005-04-19,674.388
2005-04-20,664.742
2005-04-21,675.96
2005-04-22,671.665
2005-04-25,679.647
2005-04-26,672.152
2005-04-27,672.36
2005-04-28,664.141
2005-04-29,670.915
2005-05-02,675.46
2005-05-03,673.132
2005-05-04,683.097
2005-05-05,683.026
2005-05-06,683.855
2005-05-09,689.663
2005-05-10,683.332
2005-05-11,685.432
2005-05-12,674.751
2005-05-13,669.06
2005-05-16,677.685
2005-05-17,683.391
2005-05-18,693.687
2005-05-19,695.816
2005-05-20,695.6
2005-05-23,698.815
2005-05-24,697.593
2005-05-25,692.518
2005-05-26,698.128
2005-05-27,701.014
2005-05-30,701.014
2005-05-31,700.98
2005-06-01,707.772
2005-06-02,708.399
2005-06-03,704.814
2005-06-06,706.927
2005-06-07,708.253
2005-06-08,707.128
2005-06-09,710.331
2005-06-10,710.781
2005-06-13,714.055
2005-06-14,718.649
2005-06-15,720.813
2005-06-16,725.471
2005-06-17,728.848
2005-06-20,726.484
2005-06-21,724.947
2005-06-22,726.393
2005-06-23,720.097
2005-06-24,714.361
2005-06-27,714.252
2005-06-28,723.979
2005-06-29,724.87
2005-06-30,722.89
2005-07-01,728.054
2005-07-04,728.054
2005-07-05,734.851
2005-07-06,730.329
2005-07-07,732.781
2005-07-08,742.763
2005-07-11,749.335
2005-07-12,749.596
2005-07-13,748.478
2005-07-14,745.367
2005-07-15,746.051
2005-07-18,744.505
2005-07-19,752.279
2005-07-20,759.255
2005-07-21,751.023
2005-07-22,758.291
2005-07-25,754.202
2005-07-26,756.863
2005-07-27,758.248
2005-07-28,765.104
2005-07-29,762.037
2005-08-01,762.788
2005-08-02,769.118
2005-08-03,768.036
2005-08-04,759.062
2005-08-05,748.387
2005-08-08,742.478
2005-08-09,745.122
2005-08-10,745.985
2005-08-11,751.5
2005-08-12,748.23
2005-08-15,751.803
2005-08-16,742.626
2005-08-17,741.713
2005-08-18,739.177
2005-08-19,741.072
2005-08-22,744.151
2005-08-23,742.083
2005-08-24,740.553
2005-08-25,744.097
2005-08-26,737.592
2005-08-29,741.874
2005-08-30,739.912
2005-08-31,751.525
2005-09-01,754.535
2005-09-02,750.995
2005-09-05,750.995
2005-09-06,760.074
2005-09-07,761.54
2005-09-08,757.758
2005-09-09,764.462
2005-09-12,765.694
2005-09-13,759.423
2005-09-14,756.481
2005-09-15,756.802
2005-09-16,760.907
2005-09-19,755.711
2005-09-20,749.047
2005-09-21,738.815
2005-09-22,739.893
2005-09-23,742.958
2005-09-26,745.478
2005-09-27,744.9
2005-09-28,744.16
2005-09-29,753.428
2005-09-30,757.322
2005-10-03,759.615
2005-10-04,749.709
2005-10-05,732.34
2005-10-06,726.013
2005-10-07,729.982
2005-10-10,721.738
2005-10-11,717.094
2005-10-12,709.007
2005-10-13,707.493
2005-10-14,716.559
2005-10-17,719.592
2005-10-18,711.003
2005-10-19,720.486
2005-10-20,710.307
2005-10-21,714.851
2005-10-24,729.844
2005-10-25,726.776
2005-10-26,722.558
2005-10-27,711.298
2005-10-28,724.799
2005-10-31,734.956
2005-11-01,732.177
