Date,USA SMID VALUE SMID (Small+Mid Cap)
2004-04-22,586.589
2004-04-23,584.098
2004-04-26,582.53
2004-04-27,584.816
2004-04-28,576.363
2004-04-29,568.019
2004-04-30,565.471
2004-05-03,570.399
2004-05-04,572.234
2004-05-05,573.394
2004-05-06,568.431
2004-05-07,555.109
2004-05-10,545.784
2004-05-11,552.031
2004-05-12,552.655
2004-05-13,553.394
2004-05-14,554.267
2004-05-17,548.081
2004-05-18,553.286
2004-05-19,551.209
2004-05-20,552.487
2004-05-21,555.456
2004-05-24,560.53
2004-05-25,570.996
2004-05-26,573.823
2004-05-27,575.893
2004-05-28,578.179
2004-05-31,578.179
2004-06-01,578.546
2004-06-02,580.755
2004-06-03,574.61
2004-06-04,578.037
2004-06-07,586.853
2004-06-08,586.526
2004-06-09,580.481
2004-06-10,582.033
2004-06-11,582.033
2004-06-14,573.977
2004-06-15,580.787
2004-06-16,582.124
2004-06-17,584.092
2004-06-18,585.812
2004-06-21,586.43
2004-06-22,589.008
2004-06-23,595.525
2004-06-24,593.915
2004-06-25,596.35
2004-06-28,594.975
2004-06-29,595.266
2004-06-30,600.433
2004-07-01,594.623
2004-07-02,595.44
2004-07-05,595.44
2004-07-06,590.225
2004-07-07,591.459
2004-07-08,583.977
2004-07-09,586.587
2004-07-12,587.084
2004-07-13,587.571
2004-07-14,587.229
2004-07-15,588.717
2004-07-16,586.886
2004-07-19,587.876
2004-07-20,592.707
2004-07-21,583.234
2004-07-22,579.195
2004-07-23,574.723
2004-07-26,571.143
2004-07-27,576.759
2004-07-28,577.373
2004-07-29,582.973
2004-07-30,583.708
2004-08-02,586.495
2004-08-03,582.557
2004-08-04,582.048
2004-08-05,572.461
2004-08-06,564.286
2004-08-09,565.075
2004-08-10,573.277
2004-08-11,571.248
2004-08-12,564.633
2004-08-13,564.506
2004-08-16,574.151
2004-08-17,575.791
2004-08-18,583.456
2004-08-19,579.735
2004-08-20,586.485
2004-08-23,583.652
2004-08-24,585.85
2004-08-25,589.27
2004-08-26,589.841
2004-08-27,591.642
2004-08-30,588.026
2004-08-31,591.691
2004-09-01,594.22
2004-09-02,600.331
2004-09-03,599.62
2004-09-06,599.62
2004-09-07,605.421
2004-09-08,600.713
2004-09-09,602.584
2004-09-10,603.587
2004-09-13,605.158
2004-09-14,603.394
2004-09-15,601.336
2004-09-16,606.902
2004-09-17,607.297
2004-09-20,604.405
2004-09-21,609.493
2004-09-22,602.631
2004-09-23,600.424
2004-09-24,602.442
2004-09-27,598.316
2004-09-28,603.255
2004-09-29,605.865
2004-09-30,610.601
2004-10-01,619.371
2004-10-04,621.321
2004-10-05,620.619
2004-10-06,625.463
2004-10-07,618.007
2004-10-08,615.419
2004-10-11,615.659
2004-10-12,615.187
2004-10-13,608.046
2004-10-14,604.821
2004-10-15,608.933
2004-10-18,609.9
2004-10-19,604.399
2004-10-20,605.989
2004-10-21,610.232
2004-10-22,605.748
2004-10-25,607.977
2004-10-26,616.104
2004-10-27,622.089
2004-10-28,620.981
2004-10-29,622.846
2004-11-01,624.618
2004-11-02,622.967
2004-11-03,631.334
2004-11-04,641.601
2004-11-05,641.096
2004-11-08,640.479
2004-11-09,642.404
2004-11-10,644.937
2004-11-11,650.888
2004-11-12,657.975
2004-11-15,657.986
2004-11-16,653.807
2004-11-17,656.38
2004-11-18,656.767
2004-11-19,650.598
2004-11-22,657.657
2004-11-23,660.197
2004-11-24,665.616
2004-11-25,665.616
2004-11-26,667.37
2004-11-29,666.389
2004-11-30,665.458
2004-12-01,673.679
2004-12-02,669.679
2004-12-03,672.058
2004-12-06,670.589
2004-12-07,660.549
2004-12-08,663.038
2004-12-09,664.918
2004-12-10,666.614
2004-12-13,671.923
2004-12-14,675.503
2004-12-15,681.088
2004-12-16,677.256
2004-12-17,677.442
2004-12-20,676.199
2004-12-21,683.176
2004-12-22,685.195
2004-12-23,684.945
2004-12-24,684.945
2004-12-27,680.772
2004-12-28,687.801
2004-12-29,688.853
2004-12-30,689.825
2004-12-31,689.351
2005-01-03,678.936
2005-01-04,669.157
2005-01-05,659.533
2005-01-06,663.084
2005-01-07,660.142
2005-01-10,662.731
2005-01-11,657.829
2005-01-12,659.573
2005-01-13,658.43
2005-01-14,664.24
2005-01-17,664.24
2005-01-18,671.031
2005-01-19,666.429
2005-01-20,661.84
2005-01-21,659.779
2005-01-24,655.316
2005-01-25,654.537
2005-01-26,659.802
2005-01-27,660.571
2005-01-28,658.765
2005-01-31,667.92
2005-02-01,673.021
2005-02-02,676.751
2005-02-03,675.915
2005-02-04,684.405
2005-02-07,683.333
2005-02-08,685.087
2005-02-09,678.326
2005-02-10,680.871
2005-02-11,686.633
2005-02-14,687.279
2005-02-15,688.665
2005-02-16,691.864
2005-02-17,686.585
2005-02-18,686.223
2005-02-21,686.223
2005-02-22,674.128
2005-02-23,677.091
2005-02-24,683.181
2005-02-25,693.329
2005-02-28,689.6
2005-03-01,694.819
2005-03-02,693.725
2005-03-03,695.463
2005-03-04,704.786
2005-03-07,706.902
2005-03-08,702.831
2005-03-09,693.935
2005-03-10,693.389
2005-03-11,692.15
2005-03-14,697.824
2005-03-15,693.96
2005-03-16,687.706
2005-03-17,691.206
2005-03-18,688.246
2005-03-21,686.212
2005-03-22,680.393
2005-03-23,676.234
2005-03-24,678.073
2005-03-25,678.073
2005-03-28,677.427
2005-03-29,669.512
2005-03-30,679.349
2005-03-31,682.556
2005-04-01,681.267
2005-04-04,681.27
2005-04-05,681.936
2005-04-06,684.129
2005-04-07,687.336
2005-04-08,680.366
2005-04-11,679.689
2005-04-12,684.587
2005-04-13,674.651
2005-04-14,664.227
2005-04-15,651.966
2005-04-18,656.842
2005-04-19,664.775
2005-04-20,655.276
2005-04-21,666.337
2005-04-22,662.104
2005-04-25,669.972
2005-04-26,662.585
2005-04-27,662.834
2005-04-28,654.776
2005-04-29,661.459
2005-05-02,665.948
2005-05-03,663.67
2005-05-04,673.516
2005-05-05,673.464
2005-05-06,674.311
2005-05-09,680.053
2005-05-10,673.823
2005-05-11,675.934
2005-05-12,665.456
2005-05-13,659.857
2005-05-16,668.391
2005-05-17,674.021
2005-05-18,684.222
2005-05-19,686.328
2005-05-20,686.118
2005-05-23,689.301
2005-05-24,688.099
2005-05-25,683.121
2005-05-26,688.676
2005-05-27,691.564
2005-05-30,691.564
2005-05-31,691.531
2005-06-01,698.248
2005-06-02,698.881
2005-06-03,695.354
2005-06-06,697.471
2005-06-07,698.794
2005-06-08,697.764
2005-06-09,700.928
2005-06-10,701.374
2005-06-13,704.66
2005-06-14,709.209
2005-06-15,711.38
2005-06-16,715.998
2005-06-17,719.331
2005-06-20,717.001
2005-06-21,715.497
2005-06-22,716.939
2005-06-23,710.727
2005-06-24,705.068
2005-06-27,704.961
2005-06-28,714.682
2005-06-29,715.59
2005-06-30,713.642
2005-07-01,718.76
2005-07-04,718.76
2005-07-05,725.479
2005-07-06,721.041
2005-07-07,723.476
2005-07-08,733.338
2005-07-11,739.834
2005-07-12,740.095
2005-07-13,739.027
2005-07-14,735.961
2005-07-15,736.643
2005-07-18,735.127
2005-07-19,742.808
2005-07-20,749.705
2005-07-21,741.586
2005-07-22,748.763
2005-07-25,744.725
2005-07-26,747.355
2005-07-27,748.778
2005-07-28,755.594
2005-07-29,752.572
2005-08-01,753.316
2005-08-02,759.588
2005-08-03,758.548
2005-08-04,749.721
2005-08-05,739.195
2005-08-08,733.386
2005-08-09,736.008
2005-08-10,736.898
2005-08-11,742.382
2005-08-12,739.173
2005-08-15,742.741
2005-08-16,733.681
2005-08-17,732.813
2005-08-18,730.326
2005-08-19,732.203
2005-08-22,735.245
2005-08-23,733.225
2005-08-24,731.73
2005-08-25,735.243
2005-08-26,728.82
2005-08-29,733.064
2005-08-30,731.162
2005-08-31,742.655
2005-09-01,745.635
2005-09-02,742.14
2005-09-05,742.14
2005-09-06,751.149
2005-09-07,752.691
2005-09-08,748.966
2005-09-09,755.594
2005-09-12,756.816
2005-09-13,750.667
2005-09-14,747.791
2005-09-15,748.143
2005-09-16,752.22
2005-09-19,747.087
2005-09-20,740.505
2005-09-21,730.409
2005-09-22,731.48
2005-09-23,734.51
2005-09-26,737.005
2005-09-27,736.451
2005-09-28,735.867
2005-09-29,745.056
2005-09-30,748.908
2005-10-03,751.198
2005-10-04,741.407
2005-10-05,724.274
2005-10-06,718.019
2005-10-07,721.956
2005-10-10,713.803
2005-10-11,709.212
2005-10-12,701.232
2005-10-13,699.747
2005-10-14,708.733
2005-10-17,711.734
2005-10-18,703.256
2005-10-19,712.654
2005-10-20,702.587
2005-10-21,707.083
2005-10-24,721.913
2005-10-25,718.879
2005-10-26,714.719
2005-10-27,703.631
2005-10-28,717.032
2005-10-31,727.081
2005-11-01,724.332
