Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
2004-03-01,568.466
2004-03-02,565.566
2004-03-03,562.223
2004-03-04,566.365
2004-03-05,570.861
2004-03-08,565.716
2004-03-09,561.653
2004-03-10,551.646
2004-03-11,544.616
2004-03-12,549.736
2004-03-15,541.724
2004-03-16,545.498
2004-03-17,552.623
2004-03-18,553.603
2004-03-19,551.032
2004-03-22,542.686
2004-03-23,542.509
2004-03-24,541.536
2004-03-25,551.149
2004-03-26,552.361
2004-03-29,559.794
2004-03-30,562.597
2004-03-31,566.177
2004-04-01,572.349
2004-04-02,576.726
2004-04-05,579.2
2004-04-06,576.928
2004-04-07,578.617
2004-04-08,577.683
2004-04-09,576.539
2004-04-12,579.675
2004-04-13,571.812
2004-04-14,566.765
2004-04-15,563.53
2004-04-16,566.579
2004-04-19,567.863
2004-04-20,563.196
2004-04-21,563.376
2004-04-22,569.498
2004-04-23,570.225
2004-04-26,570.037
2004-04-27,568.943
2004-04-28,559.596
2004-04-29,553.755
2004-04-30,548.067
2004-05-03,551.568
2004-05-04,555.661
2004-05-05,558.858
2004-05-06,550.73
2004-05-07,539.991
2004-05-10,523.477
2004-05-11,529.588
2004-05-12,531.274
2004-05-13,529.613
2004-05-14,526.151
2004-05-17,518.643
2004-05-18,524.121
2004-05-19,531.409
2004-05-20,527.859
2004-05-21,533.761
2004-05-24,536.877
2004-05-25,543.992
2004-05-26,547.796
2004-05-27,552.721
2004-05-28,554.72
2004-05-31,554.908
2004-06-01,555.775
2004-06-02,556.307
2004-06-03,549.431
2004-06-04,553.434
2004-06-07,563.909
2004-06-08,563.946
2004-06-09,557.319
2004-06-10,558.399
2004-06-11,556.574
2004-06-14,550.825
2004-06-15,555.278
2004-06-16,557.704
2004-06-17,557.557
2004-06-18,558.793
2004-06-21,557.964
2004-06-22,559.076
2004-06-23,563.407
2004-06-24,566.638
2004-06-25,568.972
2004-06-28,569.021
2004-06-29,569.189
2004-06-30,572.209
2004-07-01,568.149
2004-07-02,566.611
2004-07-05,564.383
2004-07-06,557.345
2004-07-07,559.202
2004-07-08,554.062
2004-07-09,556.415
2004-07-12,555.908
2004-07-13,554.282
2004-07-14,551.822
2004-07-15,550.74
2004-07-16,550.694
2004-07-19,549.361
2004-07-20,551.506
2004-07-21,543.119
2004-07-22,541.508
2004-07-23,534.571
2004-07-26,528.765
2004-07-27,531.143
2004-07-28,530.265
2004-07-29,534.618
2004-07-30,537.09
2004-08-02,536.963
2004-08-03,532.703
2004-08-04,528.357
2004-08-05,523.192
2004-08-06,517.15
2004-08-09,514.829
2004-08-10,521.661
2004-08-11,517.426
2004-08-12,512.592
2004-08-13,513.148
2004-08-16,518.452
2004-08-17,520.645
2004-08-18,525.937
2004-08-19,527.68
2004-08-20,531.264
2004-08-23,530.132
2004-08-24,528.191
2004-08-25,531.996
2004-08-26,532.889
2004-08-27,535.244
2004-08-30,530.822
2004-08-31,532.945
2004-09-01,537.224
2004-09-02,541.25
2004-09-03,537.063
2004-09-06,539.186
2004-09-07,542.249
2004-09-08,541.279
2004-09-09,542.989
2004-09-10,548.324
2004-09-13,552.081
2004-09-14,553.4
2004-09-15,546.995
2004-09-16,549.836
2004-09-17,550.97
2004-09-20,549.873
2004-09-21,554.687
2004-09-22,549.258
2004-09-23,549.293
2004-09-24,549.161
2004-09-27,544.64
2004-09-28,547.214
2004-09-29,550.036
2004-09-30,554.141
2004-10-01,561.812
2004-10-04,565.108
2004-10-05,564.705
2004-10-06,567.437
2004-10-07,563.907
2004-10-08,562.184
2004-10-11,562.225
2004-10-12,557.61
2004-10-13,554.561
2004-10-14,552.637
2004-10-15,554.918
2004-10-18,556.426
2004-10-19,556.607
2004-10-20,557.772
2004-10-21,563.222
2004-10-22,560.598
2004-10-25,560.566
2004-10-26,563.752
2004-10-27,571.011
2004-10-28,571.994
2004-10-29,572.344
2004-11-01,573.562
2004-11-02,575.614
2004-11-03,582.016
2004-11-04,587.167
2004-11-05,591.988
2004-11-08,590.452
2004-11-09,591.069
2004-11-10,591.936
2004-11-11,595.964
2004-11-12,602.604
2004-11-15,604.125
2004-11-16,601.567
2004-11-17,607.027
2004-11-18,606.304
2004-11-19,603.854
2004-11-22,604.488
2004-11-23,606.739
2004-11-24,611.836
2004-11-25,614.445
2004-11-26,614.655
2004-11-29,615.737
2004-11-30,613.632
2004-12-01,619.007
2004-12-02,618.862
2004-12-03,621.528
2004-12-06,621.112
2004-12-07,615.303
2004-12-08,612.071
2004-12-09,611.363
2004-12-10,611.659
2004-12-13,617.017
2004-12-14,620.212
2004-12-15,625.423
2004-12-16,622.165
2004-12-17,622.225
2004-12-20,624.054
2004-12-21,626.995
2004-12-22,629.159
2004-12-23,631.529
2004-12-24,633.192
2004-12-27,632.758
2004-12-28,637.38
2004-12-29,637.075
2004-12-30,640.04
2004-12-31,640.392
2005-01-03,633.352
2005-01-04,623.928
2005-01-05,618.604
2005-01-06,618.612
2005-01-07,616.809
2005-01-10,620.097
2005-01-11,618.957
2005-01-12,622.89
2005-01-13,621.521
2005-01-14,624.09
2005-01-17,626.056
2005-01-18,628.539
2005-01-19,626.174
2005-01-20,621.272
2005-01-21,620.249
2005-01-24,618.194
2005-01-25,618.04
2005-01-26,625.459
2005-01-27,626.676
2005-01-28,623.799
2005-01-31,630.606
2005-02-01,633.227
2005-02-02,637.012
2005-02-03,635.154
2005-02-04,641.852
2005-02-07,640.379
2005-02-08,639.387
2005-02-09,633.81
2005-02-10,636.549
2005-02-11,642.094
2005-02-14,644.801
2005-02-15,646.45
2005-02-16,645.507
2005-02-17,644.11
2005-02-18,644.405
2005-02-21,644.247
2005-02-22,640.192
2005-02-23,639.787
2005-02-24,644.565
2005-02-25,651.467
2005-02-28,652.049
2005-03-01,653.816
2005-03-02,652.884
2005-03-03,653.062
2005-03-04,660.043
2005-03-07,660.458
2005-03-08,659.495
2005-03-09,655.668
2005-03-10,652.919
2005-03-11,654.265
2005-03-14,654.037
2005-03-15,652.476
2005-03-16,650.132
2005-03-17,649.502
2005-03-18,648.393
2005-03-21,645.811
2005-03-22,644.492
2005-03-23,636.177
2005-03-24,637.039
2005-03-25,637.043
2005-03-28,635.381
2005-03-29,629.384
2005-03-30,633.824
2005-03-31,638.154
2005-04-01,638.031
2005-04-04,634.801
2005-04-05,637.765
2005-04-06,639.692
2005-04-07,643.418
2005-04-08,640.054
2005-04-11,640.53
2005-04-12,639.931
2005-04-13,636.148
2005-04-14,627.231
2005-04-15,617.525
2005-04-18,613.929
2005-04-19,622.625
2005-04-20,618.492
2005-04-21,624.933
2005-04-22,624.399
2005-04-25,627.432
2005-04-26,621.783
2005-04-27,618.093
2005-04-28,610.193
2005-04-29,613.02
2005-05-02,615.367
2005-05-03,615.59
2005-05-04,622.324
2005-05-05,623.522
2005-05-06,624.494
2005-05-09,626.598
2005-05-10,622.793
2005-05-11,622.562
2005-05-12,616.855
2005-05-13,613.525
2005-05-16,615.283
2005-05-17,616.656
2005-05-18,624.033
2005-05-19,628.159
2005-05-20,626.734
2005-05-23,631.293
2005-05-24,632.137
2005-05-25,628.896
2005-05-26,632.881
2005-05-27,634.802
2005-05-30,635.547
2005-05-31,634.718
2005-06-01,638.01
2005-06-02,640.397
2005-06-03,639.816
2005-06-06,641.337
2005-06-07,642.545
2005-06-08,642.5
2005-06-09,642.711
2005-06-10,642.588
2005-06-13,643.127
2005-06-14,645.046
2005-06-15,647.782
2005-06-16,652.76
2005-06-17,656.902
2005-06-20,654.883
2005-06-21,654.622
2005-06-22,655.531
2005-06-23,651.553
2005-06-24,647.255
2005-06-27,646.013
2005-06-28,651.664
2005-06-29,652.562
2005-06-30,651.21
2005-07-01,651.049
2005-07-04,650.965
2005-07-05,654.874
2005-07-06,654.671
2005-07-07,653.16
2005-07-08,659.922
2005-07-11,667.756
2005-07-12,671.191
2005-07-13,668.219
2005-07-14,667.769
2005-07-15,667.253
2005-07-18,666.399
2005-07-19,669.707
2005-07-20,672.826
2005-07-21,673.516
2005-07-22,677.351
2005-07-25,674.516
2005-07-26,674.723
2005-07-27,677.176
2005-07-28,683.187
2005-07-29,683.294
2005-08-01,686.821
2005-08-02,690.813
2005-08-03,691.508
2005-08-04,687.52
2005-08-05,680.56
2005-08-08,681.064
2005-08-09,683.334
2005-08-10,688.189
2005-08-11,693.129
2005-08-12,691.252
2005-08-15,691.245
2005-08-16,685.829
2005-08-17,684.29
2005-08-18,679.948
2005-08-19,681.324
2005-08-22,686.084
2005-08-23,684.642
2005-08-24,683.95
2005-08-25,684.408
2005-08-26,682.072
2005-08-29,682.342
2005-08-30,680.742
2005-08-31,690.47
2005-09-01,697.815
2005-09-02,696.829
2005-09-05,697.829
2005-09-06,702.204
2005-09-07,704.772
2005-09-08,701.958
2005-09-09,708.346
2005-09-12,707.655
2005-09-13,702.921
2005-09-14,702.78
2005-09-15,701.581
2005-09-16,704.204
2005-09-19,702.148
2005-09-20,700.014
2005-09-21,695.601
