Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
2005-03-04,663.334
2005-03-07,663.749
2005-03-08,662.776
2005-03-09,658.923
2005-03-10,656.155
2005-03-11,657.484
2005-03-14,657.251
2005-03-15,655.676
2005-03-16,653.318
2005-03-17,652.68
2005-03-18,651.553
2005-03-21,648.952
2005-03-22,647.622
2005-03-23,639.265
2005-03-24,640.126
2005-03-25,640.13
2005-03-28,638.441
2005-03-29,632.404
2005-03-30,636.859
2005-03-31,641.206
2005-04-01,641.079
2005-04-04,637.83
2005-04-05,640.802
2005-04-06,642.735
2005-04-07,646.478
2005-04-08,643.091
2005-04-11,643.567
2005-04-12,642.965
2005-04-13,639.152
2005-04-14,630.19
2005-04-15,620.432
2005-04-18,616.808
2005-04-19,625.544
2005-04-20,621.384
2005-04-21,627.853
2005-04-22,627.312
2005-04-25,630.355
2005-04-26,624.678
2005-04-27,620.964
2005-04-28,613.002
2005-04-29,615.833
2005-05-02,618.166
2005-05-03,618.377
2005-05-04,625.129
2005-05-05,626.323
2005-05-06,627.299
2005-05-09,629.401
2005-05-10,625.579
2005-05-11,625.337
2005-05-12,619.594
2005-05-13,616.238
2005-05-16,618.0
2005-05-17,619.368
2005-05-18,626.763
2005-05-19,630.892
2005-05-20,629.457
2005-05-23,633.971
2005-05-24,634.816
2005-05-25,631.55
2005-05-26,635.543
2005-05-27,637.457
2005-05-30,638.203
2005-05-31,637.362
2005-06-01,640.66
2005-06-02,643.053
2005-06-03,642.466
2005-06-06,643.983
2005-06-07,645.193
2005-06-08,645.138
2005-06-09,645.341
2005-06-10,645.216
2005-06-13,645.745
2005-06-14,647.669
2005-06-15,650.413
2005-06-16,655.41
2005-06-17,659.563
2005-06-20,657.526
2005-06-21,657.262
2005-06-22,658.171
2005-06-23,654.175
2005-06-24,649.85
2005-06-27,648.601
2005-06-28,654.263
2005-06-29,655.162
2005-06-30,653.804
2005-07-01,653.635
2005-07-04,653.55
2005-07-05,657.472
2005-07-06,657.261
2005-07-07,655.743
2005-07-08,662.532
2005-07-11,670.39
2005-07-12,673.838
2005-07-13,670.844
2005-07-14,670.392
2005-07-15,669.87
2005-07-18,669.013
2005-07-19,672.334
2005-07-20,675.464
2005-07-21,676.155
2005-07-22,680.005
2005-07-25,677.159
2005-07-26,677.366
2005-07-27,679.826
2005-07-28,685.858
2005-07-29,685.963
2005-08-01,689.5
2005-08-02,693.506
2005-08-03,694.198
2005-08-04,690.189
2005-08-05,683.202
2005-08-08,683.706
2005-08-09,685.982
2005-08-10,690.85
2005-08-11,695.803
2005-08-12,693.915
2005-08-15,693.905
2005-08-16,688.466
2005-08-17,686.911
2005-08-18,682.55
2005-08-19,683.931
2005-08-22,688.705
2005-08-23,687.251
2005-08-24,686.553
2005-08-25,687.011
2005-08-26,684.663
2005-08-29,684.927
2005-08-30,683.309
2005-08-31,693.069
2005-09-01,700.435
2005-09-02,699.442
2005-09-05,700.44
2005-09-06,704.828
2005-09-07,707.402
2005-09-08,704.574
2005-09-09,710.985
2005-09-12,710.288
2005-09-13,705.523
2005-09-14,705.378
2005-09-15,704.171
2005-09-16,706.802
2005-09-19,704.73
2005-09-20,702.584
2005-09-21,698.154
2005-09-22,695.571
2005-09-23,696.038
2005-09-26,700.914
2005-09-27,698.884
2005-09-28,701.553
2005-09-29,707.163
2005-09-30,710.954
2005-10-03,711.201
2005-10-04,708.468
2005-10-05,696.894
2005-10-06,689.787
2005-10-07,691.549
2005-10-10,687.427
2005-10-11,686.375
2005-10-12,680.55
2005-10-13,673.732
2005-10-14,680.947
2005-10-17,681.909
2005-10-18,672.63
2005-10-19,673.873
2005-10-20,669.918
2005-10-21,672.369
2005-10-24,681.124
2005-10-25,684.102
2005-10-26,682.474
2005-10-27,674.717
2005-10-28,678.823
2005-10-31,688.153
