Date,ACWI SMID GROWTH SMID (Small+Mid Cap)
2003-09-12,460.734
2003-09-15,460.182
2003-09-16,465.292
2003-09-17,466.696
2003-09-18,471.289
2003-09-19,472.829
2003-09-22,468.35
2003-09-23,471.051
2003-09-24,465.547
2003-09-25,459.982
2003-09-26,454.453
2003-09-29,457.849
2003-09-30,455.848
2003-10-01,463.182
2003-10-02,467.347
2003-10-03,473.806
2003-10-06,476.382
2003-10-07,479.853
2003-10-08,478.574
2003-10-09,481.917
2003-10-10,484.392
2003-10-13,487.459
2003-10-14,489.131
2003-10-15,488.503
2003-10-16,491.983
2003-10-17,487.047
2003-10-20,488.695
2003-10-21,491.247
2003-10-22,485.879
2003-10-23,480.516
2003-10-24,480.792
2003-10-27,484.443
2003-10-28,491.107
2003-10-29,495.347
2003-10-30,495.665
2003-10-31,494.523
2003-11-03,497.437
2003-11-04,499.139
2003-11-05,498.622
2003-11-06,498.606
2003-11-07,500.57
2003-11-10,496.728
2003-11-11,492.315
2003-11-12,499.019
2003-11-13,501.799
2003-11-14,497.414
2003-11-17,489.467
2003-11-18,488.047
2003-11-19,487.293
2003-11-20,486.156
2003-11-21,487.666
2003-11-24,494.051
2003-11-25,497.136
2003-11-26,501.776
2003-11-27,502.129
2003-11-28,504.132
2003-12-01,510.539
2003-12-02,511.588
2003-12-03,509.137
2003-12-04,507.567
2003-12-05,504.606
2003-12-08,504.991
2003-12-09,500.553
2003-12-10,495.846
2003-12-11,501.355
2003-12-12,504.708
2003-12-15,502.638
2003-12-16,500.654
2003-12-17,501.008
2003-12-18,506.263
2003-12-19,505.589
2003-12-22,507.281
2003-12-23,510.187
2003-12-24,510.863
2003-12-25,511.088
2003-12-26,512.341
2003-12-29,518.149
2003-12-30,520.732
2003-12-31,520.68
2004-01-01,520.699
2004-01-02,522.313
2004-01-05,530.169
2004-01-06,532.152
2004-01-07,532.727
2004-01-08,537.162
2004-01-09,538.532
2004-01-12,540.336
2004-01-13,538.346
2004-01-14,540.778
2004-01-15,540.125
2004-01-16,543.656
2004-01-19,544.471
2004-01-20,549.573
2004-01-21,550.081
2004-01-22,548.717
2004-01-23,548.647
2004-01-26,549.591
2004-01-27,548.077
2004-01-28,542.612
2004-01-29,536.393
2004-01-30,538.531
2004-02-02,539.566
2004-02-03,540.107
2004-02-04,533.129
2004-02-05,535.737
2004-02-06,545.423
2004-02-09,547.47
2004-02-10,549.537
2004-02-11,552.879
2004-02-12,554.663
2004-02-13,552.285
2004-02-16,552.89
