Date,NETHERLANDS Standard (Large+Mid Cap)
2004-03-22,7544.231
2004-03-23,7497.685
2004-03-24,7404.604
2004-03-25,7543.109
2004-03-26,7537.04
2004-03-29,7682.058
2004-03-30,7698.305
2004-03-31,7745.732
2004-04-01,7856.123
2004-04-02,7895.247
2004-04-05,7854.296
2004-04-06,7841.031
2004-04-07,7922.536
2004-04-08,7888.401
2004-04-09,7888.401
2004-04-12,7866.244
2004-04-13,7821.414
2004-04-14,7763.779
2004-04-15,7798.184
2004-04-16,7918.98
2004-04-19,7923.859
2004-04-20,7907.06
2004-04-21,7839.125
2004-04-22,7871.895
2004-04-23,7875.89
2004-04-26,7889.648
2004-04-27,7916.779
2004-04-28,7739.687
2004-04-29,7755.515
2004-04-30,7738.267
2004-05-03,7792.598
2004-05-04,7894.062
2004-05-05,7984.485
2004-05-06,7821.771
2004-05-07,7706.149
2004-05-10,7491.289
2004-05-11,7534.578
2004-05-12,7464.954
2004-05-13,7518.827
2004-05-14,7475.076
2004-05-17,7462.781
2004-05-18,7490.938
2004-05-19,7666.092
2004-05-20,7548.173
2004-05-21,7598.753
2004-05-24,7636.226
2004-05-25,7694.371
2004-05-26,7753.447
2004-05-27,7918.621
2004-05-28,7882.283
2004-05-31,7900.899
2004-06-01,7797.452
2004-06-02,7884.423
2004-06-03,7898.361
2004-06-04,7941.317
2004-06-07,8066.389
2004-06-08,8049.505
2004-06-09,7909.415
2004-06-10,7932.498
2004-06-11,7872.944
2004-06-14,7827.578
2004-06-15,7874.869
2004-06-16,7913.491
2004-06-17,7945.709
2004-06-18,8037.654
2004-06-21,8020.774
2004-06-22,7909.199
2004-06-23,7926.036
2004-06-24,8054.844
2004-06-25,8036.702
2004-06-28,8141.487
2004-06-29,8066.661
2004-06-30,8047.501
2004-07-01,8056.679
2004-07-02,8061.389
2004-07-05,8005.903
2004-07-06,7937.155
2004-07-07,7965.341
2004-07-08,8008.966
2004-07-09,8021.438
2004-07-12,7973.682
2004-07-13,7916.139
2004-07-14,7938.486
2004-07-15,7847.709
2004-07-16,7901.108
2004-07-19,7841.406
2004-07-20,7841.64
2004-07-21,7807.427
2004-07-22,7691.014
