Date,USA SMALL GROWTH Small Cap
2004-04-29,611.336
2004-04-30,603.477
2004-05-03,610.187
2004-05-04,614.045
2004-05-05,617.339
2004-05-06,609.572
2004-05-07,596.79
2004-05-10,584.29
2004-05-11,595.178
2004-05-12,594.206
2004-05-13,594.175
2004-05-14,590.31
2004-05-17,581.524
2004-05-18,587.365
2004-05-19,586.991
2004-05-20,585.161
2004-05-21,589.834
2004-05-24,596.239
2004-05-25,610.128
2004-05-26,613.43
2004-05-27,614.796
2004-05-28,616.536
2004-05-31,616.536
2004-06-01,620.601
2004-06-02,620.986
2004-06-03,610.362
2004-06-04,616.064
2004-06-07,627.612
2004-06-08,626.762
2004-06-09,617.018
2004-06-10,616.791
2004-06-11,616.791
2004-06-14,608.153
2004-06-15,616.912
2004-06-16,619.124
2004-06-17,617.668
2004-06-18,618.615
2004-06-21,615.902
2004-06-22,620.154
2004-06-23,628.389
2004-06-24,626.982
2004-06-25,632.784
2004-06-28,627.773
2004-06-29,631.958
2004-06-30,636.455
2004-07-01,627.052
2004-07-02,624.697
2004-07-05,624.697
2004-07-06,613.811
2004-07-07,614.473
2004-07-08,604.287
2004-07-09,606.786
2004-07-12,604.0
2004-07-13,604.49
2004-07-14,602.36
2004-07-15,605.128
2004-07-16,598.899
2004-07-19,597.07
2004-07-20,606.139
2004-07-21,590.364
2004-07-22,589.769
2004-07-23,580.814
2004-07-26,573.74
2004-07-27,584.775
2004-07-28,580.932
2004-07-29,590.967
2004-07-30,593.144
2004-08-02,592.832
2004-08-03,584.3
2004-08-04,580.416
2004-08-05,568.348
2004-08-06,555.334
2004-08-09,554.409
2004-08-10,564.621
2004-08-11,560.841
2004-08-12,551.168
2004-08-13,550.588
2004-08-16,560.806
2004-08-17,564.107
2004-08-18,575.493
2004-08-19,572.889
2004-08-20,582.614
2004-08-23,579.498
2004-08-24,578.62
2004-08-25,584.596
2004-08-26,582.618
2004-08-27,586.96
2004-08-30,579.123
2004-08-31,581.93
2004-09-01,587.884
2004-09-02,594.714
2004-09-03,590.758
2004-09-06,590.758
2004-09-07,595.27
2004-09-08,591.178
2004-09-09,597.369
2004-09-10,602.105
2004-09-13,607.62
2004-09-14,607.354
2004-09-15,603.2
2004-09-16,607.608
2004-09-17,607.576
2004-09-20,605.898
2004-09-21,612.264
2004-09-22,602.922
2004-09-23,602.738
2004-09-24,603.832
2004-09-27,596.33
2004-09-28,602.128
2004-09-29,606.76
2004-09-30,609.296
2004-10-01,619.181
2004-10-04,623.63
2004-10-05,622.023
2004-10-06,627.405
2004-10-07,619.636
2004-10-08,611.862
2004-10-11,612.982
2004-10-12,610.627
2004-10-13,605.242
2004-10-14,601.67
2004-10-15,604.05
2004-10-18,608.184
2004-10-19,604.071
2004-10-20,607.711
2004-10-21,614.661
2004-10-22,607.159
2004-10-25,609.09
2004-10-26,614.287
2004-10-27,624.889
2004-10-28,624.13
2004-10-29,624.076
2004-11-01,626.05
2004-11-02,625.902
2004-11-03,634.901
2004-11-04,642.839
2004-11-05,647.352
2004-11-08,645.258
2004-11-09,648.549
2004-11-10,651.022
2004-11-11,657.295
2004-11-12,663.778
2004-11-15,664.973
2004-11-16,660.172
2004-11-17,665.938
2004-11-18,665.183
2004-11-19,656.256
2004-11-22,662.161
2004-11-23,665.229
2004-11-24,670.872
2004-11-25,670.872
2004-11-26,672.612
2004-11-29,673.46
2004-11-30,671.594
2004-12-01,681.193
2004-12-02,680.23
2004-12-03,681.169
2004-12-06,679.252
2004-12-07,667.493
2004-12-08,672.126
2004-12-09,673.297
2004-12-10,675.595
2004-12-13,681.21
2004-12-14,687.756
2004-12-15,692.594
2004-12-16,688.153
2004-12-17,688.007
2004-12-20,683.566
2004-12-21,690.949
2004-12-22,693.891
2004-12-23,695.131
2004-12-24,695.131
2004-12-27,690.255
2004-12-28,700.561
2004-12-29,700.728
2004-12-30,701.222
2004-12-31,700.187
2005-01-03,688.489
2005-01-04,675.042
2005-01-05,667.146
2005-01-06,670.863
2005-01-07,666.105
2005-01-10,671.828
2005-01-11,666.562
2005-01-12,668.971
2005-01-13,667.617
2005-01-14,673.887
2005-01-17,673.887
2005-01-18,681.07
2005-01-19,674.549
2005-01-20,670.287
2005-01-21,667.96
2005-01-24,660.922
2005-01-25,663.721
2005-01-26,672.996
2005-01-27,675.746
2005-01-28,672.063
2005-01-31,682.581
2005-02-01,687.561
2005-02-02,691.26
2005-02-03,689.822
2005-02-04,699.05
2005-02-07,697.886
2005-02-08,699.726
2005-02-09,687.87
2005-02-10,688.721
2005-02-11,697.055
2005-02-14,696.869
2005-02-15,697.96
2005-02-16,701.33
2005-02-17,695.204
2005-02-18,694.831
2005-02-21,694.831
2005-02-22,683.869
2005-02-23,688.026
2005-02-24,695.845
2005-02-25,704.145
2005-02-28,700.206
2005-03-01,703.455
2005-03-02,704.728
2005-03-03,704.823
2005-03-04,710.994
2005-03-07,712.442
2005-03-08,706.904
2005-03-09,700.077
2005-03-10,695.806
2005-03-11,696.669
2005-03-14,700.092
2005-03-15,696.618
2005-03-16,691.56
2005-03-17,693.173
2005-03-18,690.972
2005-03-21,690.009
2005-03-22,687.046
2005-03-23,681.357
2005-03-24,683.945
2005-03-25,683.945
2005-03-28,682.992
2005-03-29,672.691
2005-03-30,681.724
2005-03-31,683.457
2005-04-01,681.947
2005-04-04,683.059
2005-04-05,684.749
2005-04-06,686.86
2005-04-07,690.4
2005-04-08,682.949
2005-04-11,680.579
2005-04-12,683.859
2005-04-13,673.811
2005-04-14,663.182
2005-04-15,650.288
2005-04-18,654.122
2005-04-19,664.333
2005-04-20,654.933
2005-04-21,668.876
2005-04-22,660.793
2005-04-25,668.196
2005-04-26,660.054
2005-04-27,658.611
2005-04-28,646.462
2005-04-29,649.83
2005-05-02,655.686
2005-05-03,654.726
2005-05-04,663.922
2005-05-05,666.061
2005-05-06,668.361
2005-05-09,673.408
2005-05-10,666.81
2005-05-11,668.613
2005-05-12,660.313
2005-05-13,656.231
2005-05-16,664.584
2005-05-17,668.531
2005-05-18,680.898
2005-05-19,685.557
2005-05-20,684.069
2005-05-23,689.031
2005-05-24,689.446
2005-05-25,683.383
2005-05-26,692.261
2005-05-27,694.985
2005-05-30,694.985
2005-05-31,694.781
2005-06-01,699.966
2005-06-02,702.432
2005-06-03,698.214
2005-06-06,700.843
2005-06-07,701.568
2005-06-08,697.683
2005-06-09,704.085
2005-06-10,704.277
2005-06-13,707.782
2005-06-14,710.652
2005-06-15,712.956
2005-06-16,720.167
2005-06-17,719.78
2005-06-20,718.126
2005-06-21,716.709
2005-06-22,718.653
2005-06-23,710.87
2005-06-24,704.651
2005-06-27,703.692
2005-06-28,714.99
2005-06-29,717.047
2005-06-30,715.684
2005-07-01,719.749
2005-07-04,719.749
2005-07-05,728.776
2005-07-06,724.628
2005-07-07,727.453
2005-07-08,738.68
2005-07-11,746.847
2005-07-12,747.438
2005-07-13,743.919
2005-07-14,741.03
2005-07-15,741.745
2005-07-18,737.511
2005-07-19,747.201
2005-07-20,754.073
2005-07-21,744.955
2005-07-22,752.125
2005-07-25,746.828
2005-07-26,750.021
2005-07-27,751.767
2005-07-28,761.665
2005-07-29,758.938
2005-08-01,762.11
2005-08-02,766.46
2005-08-03,762.987
2005-08-04,754.568
2005-08-05,747.059
2005-08-08,743.528
2005-08-09,745.365
2005-08-10,746.834
2005-08-11,752.392
2005-08-12,747.954
2005-08-15,750.81
2005-08-16,739.687
2005-08-17,738.753
2005-08-18,736.019
2005-08-19,737.777
2005-08-22,739.768
2005-08-23,738.398
2005-08-24,737.935
2005-08-25,739.751
2005-08-26,732.202
2005-08-29,738.31
2005-08-30,737.341
2005-08-31,749.875
2005-09-01,751.464
2005-09-02,745.54
2005-09-05,745.54
2005-09-06,755.4
2005-09-07,760.037
2005-09-08,755.987
2005-09-09,761.808
2005-09-12,762.98
2005-09-13,757.186
2005-09-14,751.762
2005-09-15,751.07
2005-09-16,756.047
2005-09-19,753.058
2005-09-20,745.951
2005-09-21,736.105
2005-09-22,737.165
2005-09-23,741.588
2005-09-26,746.867
2005-09-27,747.082
2005-09-28,746.821
2005-09-29,755.591
2005-09-30,759.206
2005-10-03,764.528
2005-10-04,756.187
2005-10-05,737.056
2005-10-06,728.16
2005-10-07,733.62
2005-10-10,726.432
2005-10-11,720.121
2005-10-12,710.016
2005-10-13,708.923
2005-10-14,719.716
2005-10-17,722.568
2005-10-18,713.005
2005-10-19,723.629
2005-10-20,712.41
2005-10-21,717.111
2005-10-24,730.844
2005-10-25,729.287
2005-10-26,725.34
2005-10-27,710.454
2005-10-28,720.485
2005-10-31,732.747
2005-11-01,731.813
2005-11-02,746.6
2005-11-03,751.41
2005-11-04,749.104
